ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box,distance_to_nearest_grid_edge_deg,log2_rf_area_deg2,rf_eccentricity_deg,session_standardized_log2_rf_area
915960249,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.182,9.091,1100,0,55,15,3.182,-5.909,True,True,31.818,10.1033,58.888,1.40893
915960253,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.842,-5.263,1900,0.006,55,15,1.842,-20.263,True,False,24.737,10.8918,57.0851,2.38557
915960262,732592105,733744649,717038288,Brain Observatory 1.1,V1,33.333,18.889,900,0,55,15,-21.667,3.889,True,True,23.333,9.81378,38.313,1.05034
915960279,732592105,733744649,717038288,Brain Observatory 1.1,V1,42,16,500,0,55,15,-13,1,True,True,32,8.96578,44.9444,0
915960271,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,600,0,55,15,0,5,True,True,30,9.22882,58.5235,0.325798
915960330,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,10,900,0.002,55,15,-25,-5,True,True,20,9.81378,31.6228,1.05034
915960337,732592105,733744649,717038288,Brain Observatory 1.1,V1,68.75,11.25,800,0,55,15,13.75,-3.75,True,True,21.25,9.64386,69.6644,0.839868
915960341,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,15,400,0,55,15,10,0,True,True,25,8.64386,66.7083,-0.398744
915960348,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.273,14.545,1100,0,55,15,2.273,-0.455,True,True,32.727,10.1033,59.0911,1.40893
915960374,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,14,500,0.005,55,15,-7,-1,True,True,36,8.96578,50,0
915960409,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,16.25,800,0,55,15,-3.75,1.25,True,True,33.75,9.64386,53.7645,0.839868
915960413,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,33.333,8.22882,49.554,-0.912815
915960427,732592105,733744649,717038288,Brain Observatory 1.1,V1,40,15,600,0,55,15,-15,0,True,True,30,9.22882,42.72,0.325798
915961088,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,33.333,8.22882,49.554,-0.912815
915960446,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0.005,55,15,1.667,-1.667,True,True,33.333,8.22882,58.2144,-0.912815
915960454,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960456,732592105,733744649,717038288,Brain Observatory 1.1,V1,32,16,500,0,55,15,-23,1,True,True,22,8.96578,35.7771,0
915960460,732592105,733744649,717038288,Brain Observatory 1.1,V1,67.143,10,700,0,55,15,12.143,-5,True,True,22.857,9.45121,67.8836,0.601256
915960463,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,18.75,800,0,55,15,-3.75,3.75,True,True,31.25,9.64386,54.5722,0.839868
915960467,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.429,19.286,1400,0.006,55,15,1.429,4.286,True,True,30.714,10.4512,59.6337,1.83987
915960489,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960504,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,16,500,0,55,15,-7,1,True,True,34,8.96578,50.5964,0
915960530,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960539,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,400,0,55,15,-5,0,True,True,35,8.64386,52.2015,-0.398744
915960518,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,33.333,8.22882,49.554,-0.912815
915960522,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960553,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,8.889,900,0,55,15,1.667,-6.111,True,True,33.333,9.81378,57.3599,1.05034
915960562,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,12.857,700,0,55,15,5,-2.143,True,True,30,9.45121,61.3621,0.601256
915960566,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,34,8.96578,52.1536,0
915960569,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,6.667,600,0,55,15,0,-8.333,True,True,35,9.22882,55.4026,0.325798
915961096,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,10,700,0,55,15,15,-5,True,True,20,9.45121,70.7107,0.601256
915960572,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,22.609,2300,0,55,15,-5,7.609,True,True,27.391,11.1674,54.8741,2.72697
915960575,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.857,15.714,700,0,55,15,-2.143,0.714,True,True,34.286,9.45121,55.1434,0.601256
915960581,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,36,8.96578,53.8516,0
915960586,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960589,732592105,733744649,717038288,Brain Observatory 1.1,V1,63.333,8.889,900,0,55,15,8.333,-6.111,True,True,26.667,9.81378,63.9538,1.05034
915960595,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,15,600,0,55,15,-25,0,True,True,20,9.22882,33.541,0.325798
915960621,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960599,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,14.286,700,0,55,15,2.143,-0.714,True,True,32.857,9.45121,58.9017,0.601256
915960602,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.875,13.75,1600,0,55,15,-3.125,-1.25,True,True,36.25,10.6439,53.6664,2.07848
915960606,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,16.667,300,0,55,15,1.667,1.667,True,True,33.333,8.22882,59.0672,-0.912815
915960609,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,17.143,700,0,55,15,-5,2.143,True,True,32.857,9.45121,52.8572,0.601256
915960612,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960615,732592105,733744649,717038288,Brain Observatory 1.1,V1,68,6,500,0,55,15,13,-9,True,True,22,8.96578,68.2642,0
915960618,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,600,0,55,15,5,0,True,True,30,9.22882,61.8466,0.325798
915961098,732592105,733744649,717038288,Brain Observatory 1.1,V1,61.333,19.333,1500,0.005,55,15,6.333,4.333,True,True,28.667,10.5507,64.3079,1.96315
915960624,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.75,11.25,800,0,55,15,3.75,-3.75,True,True,31.25,9.64386,59.8174,0.839868
915960627,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,18,1000,0,55,15,-10,3,True,True,32,9.96578,48.4665,1.23861
915960630,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960634,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,34,8.96578,52.1536,0
915960637,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,200,0,55,15,0,-5,True,True,35,7.64386,55.9017,-1.63736
915960640,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,35,8.64386,55.2268,-0.398744
915960642,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,23.333,300,0,55,15,-8.333,8.333,True,True,26.667,8.22882,52.1751,-0.912815
915960648,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960652,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,35,8.64386,55.2268,-0.398744
915960656,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,16.667,600,0,55,15,-10,1.667,True,True,33.333,9.22882,47.9874,0.325798
915960670,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.5,6.25,800,0,55,15,2.5,-8.75,True,True,32.5,9.64386,57.8387,0.839868
915960700,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,22.857,700,0,55,15,5,7.857,True,True,27.143,9.45121,64.2062,0.601256
915960665,732592105,733744649,717038288,Brain Observatory 1.1,V1,48.333,11.667,600,0,55,15,-6.667,-3.333,True,True,38.333,9.22882,49.7212,0.325798
915960674,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,13.333,300,0,55,15,-8.333,-1.667,True,True,36.667,8.22882,48.5343,-0.912815
915960678,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,20,700,0,55,15,2.143,5,True,True,30,9.45121,60.5419,0.601256
915960683,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,5,600,0,55,15,15,-10,True,True,20,9.22882,70.1783,0.325798
915960688,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,400,0,55,15,0,5,True,True,30,8.64386,58.5235,-0.398744
915960693,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,35,8.64386,55.2268,-0.398744
915960696,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.333,13.333,300,0,55,15,-1.667,-1.667,True,True,36.667,8.22882,54.9743,-0.912815
915960704,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960718,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960732,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,36,8.96578,53.8516,0
915960737,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960754,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,36,8.96578,53.8516,0
915961104,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,20,100,0,55,15,-5,5,True,True,30,6.64386,53.8516,-2.87597
915960765,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,26.25,800,0,55,15,15,11.25,True,True,20,9.64386,74.76,0.839868
915960770,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960799,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,22.5,400,0,55,15,5,7.5,True,True,27.5,8.64386,64.08,-0.398744
915960773,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,35,9.22882,52.2015,0.325798
915960775,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,200,0,55,15,0,5,True,True,30,7.64386,58.5235,-1.63736
915960780,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,200,0,55,15,0,5,True,True,30,7.64386,58.5235,-1.63736
915960783,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0,55,15,1.667,-1.667,True,True,33.333,8.22882,58.2144,-0.912815
915960790,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,1000,0,55,15,5,0,True,True,30,9.96578,61.8466,1.23861
915960830,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,36,8.96578,53.8516,0
915960845,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,20,100,0,55,15,-5,5,True,True,30,6.64386,53.8516,-2.87597
915960848,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,17.5,400,0,55,15,-5,2.5,True,True,32.5,8.64386,52.9741,-0.398744
915960851,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,5,400,0,55,15,-10,-10,True,True,35,8.64386,45.2769,-0.398744
915960857,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,5,600,0,55,15,5,-10,True,True,30,9.22882,60.208,0.325798
915960804,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,16,500,0,55,15,3,1,True,True,32,8.96578,60.1664,0
915960807,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,14,500,0,55,15,3,-1,True,True,32,8.96578,59.6657,0
915960810,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,35,8.64386,55.2268,-0.398744
915960812,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,14,500,0.004,55,15,-7,-1,True,True,36,8.96578,50,0
915960815,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915961106,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,600,0,55,15,0,-5,True,True,35,9.22882,55.9017,0.325798
915960817,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960819,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,15,400,0,55,15,-10,0,True,True,35,8.64386,47.4342,-0.398744
915960823,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960825,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960838,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,12.5,400,0,55,15,5,-2.5,True,True,30,8.64386,61.2883,-0.398744
915960841,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915961109,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,10,200,0,55,15,10,-5,True,True,25,7.64386,65.7647,-1.63736
915960835,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960859,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,15,400,0,55,15,-10,0,True,True,35,8.64386,47.4342,-0.398744
915960861,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960865,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,14,500,0,55,15,3,-1,True,True,32,8.96578,59.6657,0
915960868,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960897,732592105,733744649,717038288,Brain Observatory 1.1,V1,56,8,500,0,55,15,1,-7,True,True,34,8.96578,56.5685,0
915960876,732592105,733744649,717038288,Brain Observatory 1.1,V1,42,14,500,0,55,15,-13,-1,True,True,32,8.96578,44.2719,0
915960882,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,7.5,400,0,55,15,5,-7.5,True,True,30,8.64386,60.4669,-0.398744
915960886,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,13.333,300,0,55,15,-8.333,-1.667,True,True,36.667,8.22882,48.5343,-0.912815
915960889,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,35,8.64386,55.2268,-0.398744
915960901,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,200,0,55,15,0,-5,True,True,35,7.64386,55.9017,-1.63736
915960906,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960908,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,16,500,0,55,15,3,1,True,True,32,8.96578,60.1664,0
915960914,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,6,500,0,55,15,-3,-9,True,True,36,8.96578,52.345,0
915960916,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.333,21.667,600,0,55,15,3.333,6.667,True,True,28.333,9.22882,62.227,0.325798
915960911,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.75,18.75,800,0.004,55,15,3.75,3.75,True,True,31.25,9.64386,61.6695,0.839868
915960921,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,10,200,0,55,15,10,-5,True,True,25,7.64386,65.7647,-1.63736
915960923,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,21.538,1300,0,55,15,-5,6.538,True,True,28.462,10.3443,54.4416,1.70744
915960926,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,20,900,0.005,55,15,5,5,True,True,30,9.81378,63.2456,1.05034
915960928,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,27.143,700,0,55,15,-5,12.143,True,True,22.857,9.45121,56.8924,0.601256
915960931,732592105,733744649,717038288,Brain Observatory 1.1,V1,66.923,3.077,1300,0,55,15,11.923,-11.923,True,True,23.077,10.3443,66.9937,1.70744
915961121,732592105,733744649,717038288,Brain Observatory 1.1,V1,61.667,16.667,600,0,55,15,6.667,1.667,True,True,28.333,9.22882,63.8796,0.325798
915961123,732592105,733744649,717038288,Brain Observatory 1.1,V1,48.889,27.778,900,0,55,15,-6.111,12.778,True,True,22.222,9.81378,56.2295,1.05034
915961119,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,15,200,0,55,15,-25,0,True,True,20,7.64386,33.541,-1.63736
915960947,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,35,8.64386,57.0088,-0.398744
915960949,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,7.5,400,0,55,15,5,-7.5,True,True,30,8.64386,60.4669,-0.398744
915960951,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.5,10,400,0,55,15,-2.5,-5,True,True,37.5,8.64386,53.4439,-0.398744
915960954,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,600,0,55,15,5,0,True,True,30,9.22882,61.8466,0.325798
915960964,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,600,0,55,15,5,0,True,True,30,9.22882,61.8466,0.325798
915960957,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.333,6.667,300,0,55,15,-1.667,-8.333,True,True,36.667,8.22882,53.7481,-0.912815
915960959,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,7.5,400,0,55,15,5,-7.5,True,True,30,8.64386,60.4669,-0.398744
915960968,732592105,733744649,717038288,Brain Observatory 1.1,V1,56,8,500,0,55,15,1,-7,True,True,34,8.96578,56.5685,0
915960970,732592105,733744649,717038288,Brain Observatory 1.1,V1,62,16,500,0,55,15,7,1,True,True,28,8.96578,64.0312,0
915960980,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.077,10.769,1300,0,55,15,-1.923,-4.231,True,True,36.923,10.3443,54.1585,1.70744
915961131,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.333,16.667,300,0,55,15,-1.667,1.667,True,True,33.333,8.22882,55.8766,-0.912815
915960998,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.857,4.286,700,0,55,15,-2.143,-10.714,True,True,34.286,9.45121,53.0305,0.601256
915961000,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.333,11.111,900,0,55,15,-1.667,-3.889,True,True,36.667,9.81378,54.4781,1.05034
915961003,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,13.333,600,0,55,15,0,-1.667,True,True,35,9.22882,56.593,0.325798
915961134,732592105,733744649,717038288,Brain Observatory 1.1,V1,63.333,11.111,900,0,55,15,8.333,-3.889,True,True,26.667,9.81378,64.3003,1.05034
950908404,721123822,760213145,707296982,Brain Observatory 1.1,V1,53.75,7.5,800,0,55,5,-1.25,2.5,True,True,36.25,9.64386,54.2707,0.484773
950908416,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0.001,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908418,721123822,760213145,707296982,Brain Observatory 1.1,V1,70,0,100,0,55,5,15,-5,True,True,20,6.64386,70,-2.17611
950908424,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908430,721123822,760213145,707296982,Brain Observatory 1.1,V1,32.727,5.455,1100,0,55,5,-22.273,0.455,True,True,22.727,10.1033,33.1785,0.892272
950908432,721123822,760213145,707296982,Brain Observatory 1.1,V1,50,5,200,0,55,5,-5,0,True,True,35,7.64386,50.2494,-1.28915
950908434,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908450,721123822,760213145,707296982,Brain Observatory 1.1,V1,41.667,8.333,600,0.002,55,5,-13.333,3.333,True,True,31.667,9.22882,42.4921,0.116651
950908436,721123822,760213145,707296982,Brain Observatory 1.1,V1,56.667,3.333,300,0,55,5,1.667,-1.667,True,True,33.333,8.22882,56.7649,-0.770311
950908452,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908454,721123822,760213145,707296982,Brain Observatory 1.1,V1,63.333,10,900,0.001,55,5,8.333,5,True,True,26.667,9.81378,64.1176,0.63549
950908457,721123822,760213145,707296982,Brain Observatory 1.1,V1,50,5,600,0,55,5,-5,0,True,True,35,9.22882,50.2494,0.116651
950908469,721123822,760213145,707296982,Brain Observatory 1.1,V1,49,6,1000,0,55,5,-6,1,True,True,36,9.96578,49.366,0.770311
950908472,721123822,760213145,707296982,Brain Observatory 1.1,V1,58,4,500,0,55,5,3,-1,True,True,32,8.96578,58.1378,-0.116651
950908475,721123822,760213145,707296982,Brain Observatory 1.1,V1,45,15,400,0,55,5,-10,10,True,True,35,8.64386,47.4342,-0.402189
950908489,721123822,760213145,707296982,Brain Observatory 1.1,V1,65,2,1000,0,55,5,10,-3,True,True,25,9.96578,65.0308,0.770311
950908496,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908501,721123822,760213145,707296982,Brain Observatory 1.1,V1,50,5,600,0,55,5,-5,0,True,True,35,9.22882,50.2494,0.116651
950908802,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908518,721123822,760213145,707296982,Brain Observatory 1.1,V1,40,-2,500,0,55,5,-15,-7,True,True,28,8.96578,40.05,-0.116651
950908522,721123822,760213145,707296982,Brain Observatory 1.1,V1,45.556,6.667,900,0,55,5,-9.444,1.667,True,True,35.556,9.81378,46.0413,0.63549
950908504,721123822,760213145,707296982,Brain Observatory 1.1,V1,47,8,1000,0,55,5,-8,3,True,True,37,9.96578,47.676,0.770311
950908507,721123822,760213145,707296982,Brain Observatory 1.1,V1,61.111,6.667,900,0,55,5,6.111,1.667,True,True,28.889,9.81378,61.4736,0.63549
950908537,721123822,760213145,707296982,Brain Observatory 1.1,V1,65,10,600,0,55,5,10,5,True,True,25,9.22882,65.7647,0.116651
950908529,721123822,760213145,707296982,Brain Observatory 1.1,V1,60,10,100,0,55,5,5,5,True,True,30,6.64386,60.8276,-2.17611
950908544,721123822,760213145,707296982,Brain Observatory 1.1,V1,58,6,500,0,55,5,3,1,True,True,32,8.96578,58.3095,-0.116651
950908547,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908551,721123822,760213145,707296982,Brain Observatory 1.1,V1,50,5,600,0,55,5,-5,0,True,True,35,9.22882,50.2494,0.116651
950908555,721123822,760213145,707296982,Brain Observatory 1.1,V1,60,10,700,0,55,5,5,5,True,True,30,9.45121,60.8276,0.313904
950908583,721123822,760213145,707296982,Brain Observatory 1.1,V1,60,10,100,0.001,55,5,5,5,True,True,30,6.64386,60.8276,-2.17611
950908596,721123822,760213145,707296982,Brain Observatory 1.1,V1,58.333,8.333,600,0,55,5,3.333,3.333,True,True,31.667,9.22882,58.9252,0.116651
950908576,721123822,760213145,707296982,Brain Observatory 1.1,V1,63.333,6.667,300,0,55,5,8.333,1.667,True,True,26.667,8.22882,63.6829,-0.770311
950908579,721123822,760213145,707296982,Brain Observatory 1.1,V1,58.75,11.25,800,0,55,5,3.75,6.25,True,True,31.25,9.64386,59.8174,0.484773
950908591,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908810,721123822,760213145,707296982,Brain Observatory 1.1,V1,56.667,6.667,300,0.001,55,5,1.667,1.667,True,True,33.333,8.22882,57.0578,-0.770311
950908611,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908614,721123822,760213145,707296982,Brain Observatory 1.1,V1,55,5,400,0,55,5,0,0,True,True,35,8.64386,55.2268,-0.402189
950908618,721123822,760213145,707296982,Brain Observatory 1.1,V1,50,2.5,400,0,55,5,-5,-2.5,True,True,32.5,8.64386,50.0625,-0.402189
950908621,721123822,760213145,707296982,Brain Observatory 1.1,V1,62.222,4.444,900,0,55,5,7.222,-0.556,True,True,27.778,9.81378,62.3805,0.63549
950908639,721123822,760213145,707296982,Brain Observatory 1.1,V1,62,4,500,0,55,5,7,-1,True,True,28,8.96578,62.1289,-0.116651
