ecephys_session_id,specimen_id,group,map,source_units,source_probes,source_areas,supported_grid_fraction
715093703,699733581,HVA pooled,rf_density,311,5,AM+LM+PM+RL,0.881023
715093703,699733581,HVA pooled,sf,213,5,AM+LM+PM+RL,0.819155
715093703,699733581,HVA pooled,tf,242,5,AM+LM+PM+RL,0.860797
715093703,699733581,V1,rf_density,93,1,V1,0.286734
715093703,699733581,V1,sf,66,1,V1,0.258775
715093703,699733581,V1,tf,72,1,V1,0.268293
719161530,703279284,HVA pooled,rf_density,179,5,AL+AM+LM+PM+RL,0.748959
719161530,703279284,HVA pooled,sf,109,5,AL+AM+LM+PM+RL,0.439619
719161530,703279284,HVA pooled,tf,127,5,AL+AM+LM+PM+RL,0.556217
719161530,703279284,V1,rf_density,82,1,V1,0.212374
719161530,703279284,V1,sf,54,1,V1,0.183224
719161530,703279284,V1,tf,66,1,V1,0.20583
721123822,707296982,HVA pooled,rf_density,286,4,AL+AM+LM+RL,0.971446
721123822,707296982,HVA pooled,sf,193,4,AL+AM+LM+RL,0.930993
721123822,707296982,HVA pooled,tf,232,4,AL+AM+LM+RL,0.954789
721123822,707296982,V1,rf_density,58,1,V1,0.227841
721123822,707296982,V1,sf,30,1,V1,0.167757
721123822,707296982,V1,tf,51,1,V1,0.220107
732592105,717038288,HVA pooled,rf_density,296,4,AL+LM+PM+RL,0.963712
732592105,717038288,HVA pooled,sf,203,4,AL+LM+PM+RL,0.809042
732592105,717038288,HVA pooled,tf,239,4,AL+LM+PM+RL,0.92564
732592105,717038288,V1,rf_density,154,1,V1,0.359905
732592105,717038288,V1,sf,94,1,V1,0.295657
732592105,717038288,V1,tf,121,1,V1,0.314694
737581020,718643567,HVA pooled,rf_density,128,4,LM+PM+RL,0.383105
737581020,718643567,HVA pooled,sf,80,4,LM+PM+RL,0.23022
737581020,718643567,HVA pooled,tf,85,4,LM+PM+RL,0.261154
737581020,718643567,V1,rf_density,85,1,V1,0.256395
737581020,718643567,V1,sf,55,1,V1,0.221892
737581020,718643567,V1,tf,65,1,V1,0.229625
739448407,716813543,HVA pooled,rf_density,183,3,AM+LM+RL,0.806663
739448407,716813543,HVA pooled,sf,97,3,AM+LM+RL,0.584176
739448407,716813543,HVA pooled,tf,98,3,AM+LM+RL,0.571684
739448407,716813543,V1,rf_density,40,1,V1,0.206425
739448407,716813543,V1,sf,29,1,V1,0.171327
739448407,716813543,V1,tf,30,1,V1,0.179655
742951821,723627604,HVA pooled,rf_density,245,4,AL+LM+PM+RL,0.92088
742951821,723627604,HVA pooled,sf,160,4,AL+LM+PM+RL,0.683522
742951821,723627604,HVA pooled,tf,172,4,AL+LM+PM+RL,0.762641
742951821,723627604,V1,rf_density,81,1,V1,0.229625
742951821,723627604,V1,sf,47,1,V1,0.185009
742951821,723627604,V1,tf,62,1,V1,0.202261
744228101,719817805,HVA pooled,rf_density,130,3,AL+LM+RL,0.569304
744228101,719817805,HVA pooled,sf,71,3,AL+LM+RL,0.337299
744228101,719817805,HVA pooled,tf,103,3,AL+LM+RL,0.518144
744228101,719817805,V1,rf_density,56,1,V1,0.221297
744228101,719817805,V1,sf,29,1,V1,0.172516
744228101,719817805,V1,tf,47,1,V1,0.212968
746083955,726170935,HVA pooled,rf_density,273,5,AL+LM+PM+RL,0.939322
746083955,726170935,HVA pooled,sf,145,5,AL+LM+PM+RL,0.618084
746083955,726170935,HVA pooled,tf,170,5,AL+LM+PM+RL,0.700773
746083955,726170935,V1,rf_density,45,1,V1,0.20345
746083955,726170935,V1,sf,28,1,V1,0.161214
746083955,726170935,V1,tf,33,1,V1,0.173706
750332458,726141251,HVA pooled,rf_density,299,4,AL+AM+LM+RL,0.702558
750332458,726141251,HVA pooled,sf,212,4,AL+AM+LM+RL,0.58834
750332458,726141251,HVA pooled,tf,217,4,AL+AM+LM+RL,0.624033
750332458,726141251,V1,rf_density,103,1,V1,0.308745
750332458,726141251,V1,sf,71,1,V1,0.273052
750332458,726141251,V1,tf,82,1,V1,0.286139
750749662,726162197,HVA pooled,rf_density,240,5,AL+AM+LM+PM+RL,0.800714
750749662,726162197,HVA pooled,sf,132,5,AL+AM+LM+PM+RL,0.627603
750749662,726162197,HVA pooled,tf,161,5,AL+AM+LM+PM+RL,0.707912
750749662,726162197,V1,rf_density,92,1,V1,0.259964
750749662,726162197,V1,sf,51,1,V1,0.215943
750749662,726162197,V1,tf,77,1,V1,0.242118
751348571,732548380,HVA pooled,rf_density,284,5,AM+LM+PM+RL,0.883998
751348571,732548380,HVA pooled,sf,153,5,AM+LM+PM+RL,0.734087
751348571,732548380,HVA pooled,tf,226,5,AM+LM+PM+RL,0.833432
751348571,732548380,V1,rf_density,74,1,V1,0.269482
751348571,732548380,V1,sf,40,1,V1,0.212374
751348571,732548380,V1,tf,52,1,V1,0.226651
754312389,719828690,HVA pooled,rf_density,214,5,AL+AM+LM+PM+RL,0.829863
754312389,719828690,HVA pooled,sf,94,5,AL+AM+LM+PM+RL,0.531231
754312389,719828690,HVA pooled,tf,155,5,AL+AM+LM+PM+RL,0.740036
754312389,719828690,V1,rf_density,144,1,V1,0.331945
754312389,719828690,V1,sf,79,1,V1,0.288519
754312389,719828690,V1,tf,125,1,V1,0.312314
754829445,726298253,HVA pooled,rf_density,119,3,AM+PM+RL,0.46163
754829445,726298253,HVA pooled,sf,38,3,AM+PM+RL,0.0707912
754829445,726298253,HVA pooled,tf,55,3,AM+PM+RL,0.192742
754829445,726298253,V1,rf_density,141,2,V1,0.475312
754829445,726298253,V1,sf,96,2,V1,0.375967
754829445,726298253,V1,tf,105,2,V1,0.399167
755434585,730760270,HVA pooled,rf_density,336,5,AL+AM+LM+PM+RL,0.989292
755434585,730760270,HVA pooled,sf,219,5,AL+AM+LM+PM+RL,0.949435
755434585,730760270,HVA pooled,tf,229,5,AL+AM+LM+PM+RL,0.969066
755434585,730760270,V1,rf_density,141,1,V1,0.311124
755434585,730760270,V1,sf,97,1,V1,0.284949
755434585,730760270,V1,tf,115,1,V1,0.28257
756029989,734865738,HVA pooled,rf_density,333,5,AL+AM+LM+PM+RL,0.95003
756029989,734865738,HVA pooled,sf,221,5,AL+AM+LM+PM+RL,0.875669
756029989,734865738,HVA pooled,tf,249,5,AL+AM+LM+PM+RL,0.906008
756029989,734865738,V1,rf_density,90,1,V1,0.273647
756029989,734865738,V1,sf,58,1,V1,0.225461
756029989,734865738,V1,tf,78,1,V1,0.25461
757216464,733457989,HVA pooled,rf_density,289,4,AL+AM+LM+RL,0.876264
757216464,733457989,HVA pooled,sf,183,4,AL+AM+LM+RL,0.708507
757216464,733457989,HVA pooled,tf,194,4,AL+AM+LM+RL,0.776324
757216464,733457989,V1,rf_density,149,1,V1,0.358715
757216464,733457989,V1,sf,104,1,V1,0.302201
757216464,733457989,V1,tf,117,1,V1,0.308745
757970808,730756780,HVA pooled,rf_density,235,3,AL+AM+RL,0.886377
757970808,730756780,HVA pooled,sf,151,3,AL+AM+RL,0.690065
757970808,730756780,HVA pooled,tf,179,3,AL+AM+RL,0.781678
757970808,730756780,V1,rf_density,148,1,V1,0.318263
757970808,730756780,V1,sf,106,1,V1,0.301606
757970808,730756780,V1,tf,128,1,V1,0.311719
758798717,735109609,HVA pooled,rf_density,221,3,AL+AM+PM,0.907198
758798717,735109609,HVA pooled,sf,147,3,AL+AM+PM,0.710886
758798717,735109609,HVA pooled,tf,162,3,AL+AM+PM,0.79298
758798717,735109609,V1,rf_density,83,1,V1,0.264723
758798717,735109609,V1,sf,61,1,V1,0.227841
758798717,735109609,V1,tf,68,1,V1,0.253421
759883607,740268986,HVA pooled,rf_density,218,3,AL+AM+PM,0.760857
759883607,740268986,HVA pooled,sf,149,3,AL+AM+PM,0.695419
759883607,740268986,HVA pooled,tf,163,3,AL+AM+PM,0.709102
759883607,740268986,V1,rf_density,90,1,V1,0.25461
759883607,740268986,V1,sf,70,1,V1,0.236169
759883607,740268986,V1,tf,79,1,V1,0.247472
760345702,739783171,HVA pooled,rf_density,247,4,AL+AM+LM+PM,0.891136
760345702,739783171,HVA pooled,sf,166,4,AL+AM+LM+PM,0.752528
760345702,739783171,HVA pooled,tf,154,4,AL+AM+LM+PM,0.698394
760345702,739783171,V1,rf_density,92,1,V1,0.270672
760345702,739783171,V1,sf,66,1,V1,0.245092
760345702,739783171,V1,tf,77,1,V1,0.258775
760693773,738651054,HVA pooled,rf_density,378,5,AL+AM+PM+RL,0.960143
760693773,738651054,HVA pooled,sf,238,5,AL+AM+PM+RL,0.762641
760693773,738651054,HVA pooled,tf,262,5,AL+AM+PM+RL,0.881023
760693773,738651054,V1,rf_density,153,1,V1,0.397977
760693773,738651054,V1,sf,132,1,V1,0.385485
760693773,738651054,V1,tf,133,1,V1,0.383105
761418226,742714475,HVA pooled,rf_density,342,5,AL+PM+RL,0.953004
761418226,742714475,HVA pooled,sf,200,5,AL+PM+RL,0.76978
761418226,742714475,HVA pooled,tf,204,5,AL+PM+RL,0.772754
761418226,742714475,V1,rf_density,58,1,V1,0.23141
761418226,742714475,V1,sf,41,1,V1,0.201071
761418226,742714475,V1,tf,47,1,V1,0.214158
762120172,745276236,HVA pooled,rf_density,187,3,AL+AM+LM,0.690065
762120172,745276236,HVA pooled,sf,122,3,AL+AM+LM,0.505057
762120172,745276236,HVA pooled,tf,143,3,AL+AM+LM,0.567519
762120172,745276236,V1,rf_density,127,1,V1,0.346817
762120172,745276236,V1,sf,107,1,V1,0.327781
762120172,745276236,V1,tf,102,1,V1,0.316478
762602078,744915204,HVA pooled,rf_density,156,2,AM+RL,0.302796
762602078,744915204,HVA pooled,sf,137,2,AM+RL,0.275431
762602078,744915204,HVA pooled,tf,130,2,AM+RL,0.258775
762602078,744915204,V1,rf_density,106,1,V1,0.333135
762602078,744915204,V1,sf,94,1,V1,0.327186
762602078,744915204,V1,tf,100,1,V1,0.333135
763673393,742602892,HVA pooled,rf_density,189,4,AM+LM+RL,0.724569
763673393,742602892,HVA pooled,sf,97,4,AM+LM+RL,0.472338
763673393,742602892,HVA pooled,tf,128,4,AM+LM+RL,0.532421
763673393,742602892,V1,rf_density,104,1,V1,0.301606
763673393,742602892,V1,sf,74,1,V1,0.270672
763673393,742602892,V1,tf,89,1,V1,0.285544
773418906,757329624,HVA pooled,rf_density,260,4,AL+AM+RL,0.938132
773418906,757329624,HVA pooled,sf,148,4,AL+AM+RL,0.615705
773418906,757329624,HVA pooled,tf,170,4,AL+AM+RL,0.74182
773418906,757329624,V1,rf_density,99,1,V1,0.251636
773418906,757329624,V1,sf,72,1,V1,0.227246
773418906,757329624,V1,tf,78,1,V1,0.224866
791319847,769360779,HVA pooled,rf_density,256,5,AL+AM+LM+PM+RL,0.928019
791319847,769360779,HVA pooled,sf,145,5,AL+AM+LM+PM+RL,0.779893
791319847,769360779,HVA pooled,tf,157,5,AL+AM+LM+PM+RL,0.787032
791319847,769360779,V1,rf_density,127,1,V1,0.345033
791319847,769360779,V1,sf,94,1,V1,0.30815
791319847,769360779,V1,tf,109,1,V1,0.323617
797828357,776061251,HVA pooled,rf_density,279,5,AL+AM+LM+PM+RL,0.971446
797828357,776061251,HVA pooled,sf,100,5,AL+AM+LM+PM+RL,0.323022
797828357,776061251,HVA pooled,tf,151,5,AL+AM+LM+PM+RL,0.658537
797828357,776061251,V1,rf_density,117,1,V1,0.359905
797828357,776061251,V1,sf,61,1,V1,0.25818
797828357,776061251,V1,tf,85,1,V1,0.303986
798911424,775876828,HVA pooled,rf_density,384,5,AL+AM+LM+RL,0.995836
798911424,775876828,HVA pooled,sf,266,5,AL+AM+LM+RL,0.926829
798911424,775876828,HVA pooled,tf,292,5,AL+AM+LM+RL,0.984533
798911424,775876828,V1,rf_density,127,1,V1,0.344438
798911424,775876828,V1,sf,90,1,V1,0.292088
