ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
715093703,V1,sf,raw,-0.642702,0.205889,386,0.887356
715093703,V1,tf,raw,0.809255,0.110201,399,0.884701
715093703,HVA pooled,sf,raw,0.211379,0.186505,1377,1
715093703,HVA pooled,tf,raw,0.404691,0.32759,1447,1
719161530,V1,sf,raw,0.144338,0.178623,305,0.99026
719161530,V1,tf,raw,-0.0363319,0.243102,346,1
719161530,HVA pooled,sf,raw,0.156128,0.277548,739,1
719161530,HVA pooled,tf,raw,0.746643,0.413419,935,1
721123822,V1,sf,raw,-0.742185,0.141255,282,1
721123822,V1,tf,raw,0.556803,0.17947,370,1
721123822,HVA pooled,sf,raw,0.137958,0.268304,1565,1
721123822,HVA pooled,tf,raw,0.528604,0.366164,1605,1
732592105,V1,sf,raw,0.572744,0.0719529,496,0.997988
732592105,V1,tf,raw,0.518795,0.13047,529,1
732592105,HVA pooled,sf,raw,-0.05823,0.28878,1360,1
732592105,HVA pooled,tf,raw,-0.0609892,0.410433,1556,1
737581020,V1,sf,raw,-0.7839,0.372936,373,1
737581020,V1,tf,raw,0.844469,0.190157,386,1
737581020,HVA pooled,sf,raw,-0.250139,0.260948,387,1
737581020,HVA pooled,tf,raw,0.528465,0.241643,439,1
739448407,V1,sf,raw,-0.462679,0.322304,288,1
739448407,V1,tf,raw,0.651282,0.340289,302,1
739448407,HVA pooled,sf,raw,-0.195502,0.387833,982,1
739448407,HVA pooled,tf,raw,0.566703,0.280417,961,1
742951821,V1,sf,raw,0.844376,0.0868845,311,1
742951821,V1,tf,raw,0.7678,0.0568582,340,1
742951821,HVA pooled,sf,raw,0.13103,0.531704,1149,1
742951821,HVA pooled,tf,raw,-0.055602,0.321174,1282,1
744228101,V1,sf,raw,-0.581763,0.265915,290,1
744228101,V1,tf,raw,0.103201,0.614917,354,0.988827
744228101,HVA pooled,sf,raw,-0.0782938,0.253366,567,1
744228101,HVA pooled,tf,raw,0.629173,0.369967,871,1
746083955,V1,sf,raw,-0.375943,0.331873,271,1
746083955,V1,tf,raw,-0.355376,0.149792,292,1
746083955,HVA pooled,sf,raw,-0.13437,0.238823,1039,1
746083955,HVA pooled,tf,raw,-0.330234,0.266556,1178,1
750332458,V1,sf,raw,-0.588011,0.172465,459,1
750332458,V1,tf,raw,0.717994,0.11063,481,1
750332458,HVA pooled,sf,raw,0.190969,0.276633,989,1
750332458,HVA pooled,tf,raw,-0.0411784,0.56519,1049,1
750749662,V1,sf,raw,-0.542435,0.701622,363,1
750749662,V1,tf,raw,0.694221,0.160436,407,1
750749662,HVA pooled,sf,raw,-0.476462,0.153451,1055,1
750749662,HVA pooled,tf,raw,-0.152603,0.54819,1190,1
751348571,V1,sf,raw,-0.91635,0.708801,357,1
751348571,V1,tf,raw,0.926867,0.237551,381,1
751348571,HVA pooled,sf,raw,-0.461319,0.354508,1234,1
751348571,HVA pooled,tf,raw,0.236804,0.516301,1401,1
754312389,V1,sf,raw,0.776058,0.289767,485,1
754312389,V1,tf,raw,0.730398,0.121344,525,1
754312389,HVA pooled,sf,raw,0.0850511,0.272514,893,1
754312389,HVA pooled,tf,raw,0.865918,0.252085,1244,1
754829445,V1,sf,raw,-0.822521,0.481244,618,0.977848
754829445,V1,tf,raw,0.659403,0.403576,656,0.977645
754829445,HVA pooled,sf,raw,0.448179,0.749733,119,1
754829445,HVA pooled,tf,raw,-0.314178,0.24533,324,1
755434585,V1,sf,raw,-0.801993,0.192231,479,1
755434585,V1,tf,raw,0.661567,0.102088,475,1
755434585,HVA pooled,sf,raw,0.038703,0.271948,1596,1
755434585,HVA pooled,tf,raw,0.572994,0.24484,1629,1
756029989,V1,sf,raw,0.684097,0.208013,379,1
756029989,V1,tf,raw,0.846189,0.165778,428,1
