ecephys_session_id,v1_rf_center_azimuth_deg,v1_rf_center_elevation_deg,v1_rf_units,v1_rf_probes,reference_azimuth_deg,reference_elevation_deg,translation_azimuth_deg,translation_elevation_deg
715093703,50,-7.5,93,1,52.857,5,2.857,12.5
719161530,76.667,5,82,1,52.857,5,-23.81,0
721123822,55,5,58,1,52.857,5,-2.143,0
744228101,65,15,56,1,52.857,5,-12.143,-10
750749662,53.333,15,92,1,52.857,5,-0.476,-10
751348571,55,0,74,1,52.857,5,-2.143,5
754312389,45,5,144,1,52.857,5,7.857,0
754829445,65,5,141,2,52.857,5,-12.143,0
755434585,56.667,5,141,1,52.857,5,-3.81,0
756029989,54.5,2.5,90,1,52.857,5,-1.643,2.5
757216464,50,15,149,1,52.857,5,2.857,-10
757970808,31.667,8.5415,148,1,52.857,5,21.19,-3.5415
758798717,46.667,13.333,83,1,52.857,5,6.19,-8.333
759883607,43.333,9.4735,90,1,52.857,5,9.524,-4.4735
760345702,45,0,92,1,52.857,5,7.857,5
761418226,30,3.452,58,1,52.857,5,22.857,1.548
762602078,35,22,106,1,52.857,5,17.857,-17
763673393,36.667,5,104,1,52.857,5,16.19,0
773418906,52.857,14,99,1,52.857,5,0,-9
791319847,56.667,5,127,1,52.857,5,-3.81,0
797828357,63.333,15,117,1,52.857,5,-10.476,-10
798911424,56.667,14,127,1,52.857,5,-3.81,-9
799864342,50,15,127,1,52.857,5,2.857,-10
