iteration,ecephys_session_id,objective,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,determinant,minimum_singular_value,maximum_singular_value
1,715093703,0.670157,-13.8225,10.473,-5.02706,-0.162519,0.0303897,-0.0101598,0.914894,0.851571,1.07436
1,719161530,0.331998,-13.6466,-3.43647,3.4475,-0.13937,-0.097936,0.111255,0.746383,0.831083,0.898086
1,721123822,0.64318,-6.15792,-14.9798,-4.02314,0.0823804,0.00191721,0.100255,0.731076,0.810364,0.902157
1,732592105,0.669822,-7.15292,-14.731,2.54446,-0.103644,-0.0880921,-0.116971,0.873629,0.839891,1.04017
1,737581020,0.699921,-12.8366,11.3885,-5.12028,-0.122818,-0.082332,-0.00134996,0.743904,0.820807,0.906308
1,739448407,0.582257,9.29353,-0.814652,3.62067,-0.130702,-0.154064,0.0797694,0.815672,0.84957,0.9601
1,742951821,0.375906,-5.32857,11.4795,11.0349,-0.0899738,0.0996437,0.105149,0.952437,0.853477,1.11595
1,744228101,0.737953,-13.1259,-14.6877,-11.7445,0.139762,-0.162519,0.0847245,0.979186,0.904516,1.08255
1,746083955,0.925606,-3.87697,-13.3797,9.50306,-0.029467,-0.152305,-0.067964,0.844578,0.857537,0.984888
1,750332458,0.769773,-1.89347,-14.7548,8.07447,-0.148038,-0.14269,0.0316097,0.747064,0.815976,0.915546
1,750749662,0.801779,-0.89919,-13.9326,-11.909,0.139762,-0.162519,0.103912,0.862587,0.855798,1.00793
1,751348571,0.98797,-10.2058,-5.50132,11.8274,0.0969692,0.0903,-0.113304,1.00308,0.875902,1.14519
1,754312389,0.211346,13.5319,6.33409,-6.47536,0.0546818,-0.0506481,-0.00600168,0.847531,0.856193,0.989884
1,754829445,0.874825,-1.29999,14.9633,-4.99249,-0.136411,-0.0915839,0.0983093,1.06403,0.931019,1.14287
1,755434585,0.603939,-12.7669,14.9396,11.751,0.0363561,-0.0925927,-0.0961265,0.923437,0.921202,1.00243
1,756029989,0.382234,0.503885,1.2902,-5.60366,0.00155654,-0.109677,-0.0286683,0.759686,0.852669,0.89095
1,757216464,0.619977,-12.036,-14.5005,4.58866,-0.161107,-0.0438021,-0.020175,0.7225,0.802542,0.900265
1,757970808,0.558509,-0.738737,10.8668,-8.92884,0.139599,-0.151062,0.00916735,0.972965,0.871885,1.11593
1,758798717,0.57735,-3.77329,1.77755,-5.35169,0.129097,-0.127714,-0.0675281,1.16026,1.01912,1.1385
1,759883607,0.636202,13.4749,-15,-0.156187,0.0879947,0.139762,0.118227,0.921638,0.935167,0.985533
1,760345702,0.527402,12.6512,-14.2875,7.58649,-0.0845762,0.0696635,0.10854,0.87039,0.838814,1.03764
1,760693773,0.50174,6.93203,6.97241,11.9473,0.00573656,0.0518162,-0.0946939,1.11495,0.983821,1.13329
1,761418226,0.516595,-7.97412,-2.72363,6.17174,-0.157378,0.135813,0.00735829,1.09231,0.950394,1.14932
1,762120172,0.384061,5.97569,-14.703,7.97023,-0.00739472,0.123494,0.0111682,1.016,0.922145,1.10178
1,762602078,0.289942,12.4169,-9.6526,1.78873,-0.00348712,0.134474,-0.0463572,0.934662,0.893532,1.04603
1,763673393,0.718149,-14.887,14.6955,2.69592,-0.00648816,-0.0433981,0.0491309,1.01814,0.884365,1.15126
1,773418906,0.767136,14.6918,-14.7622,3.84824,-0.097084,0.0321263,-0.0433613,0.894257,0.844649,1.05873
1,791319847,0.333427,-8.43006,-3.55815,-4.83164,-0.0533341,-0.156264,0.0710248,1.0392,0.927573,1.12034
1,797828357,0.813621,13.4303,12.5622,11.8278,-0.159486,0.13968,-0.0780121,1.28072,1.09571,1.16885
1,798911424,0.266594,-8.56486,-7.35744,-11.8872,0.0459354,0.0130784,0.0512674,1.1028,0.99339,1.11014
1,799864342,0.398548,-1.47929,7.10733,-11.3695,-0.121133,-0.133547,0.108799,0.828948,0.865848,0.957382
2,715093703,0.664157,-13.6166,2.00144,-10.0703,-0.158693,0.0697455,-0.0410347,0.914894,0.851571,1.07436
2,719161530,0.441605,-14.4811,9.43846,-7.16468,-0.14129,-0.151226,0.0664508,0.746383,0.831083,0.898086
2,721123822,0.625928,9.4072,-14.6455,-10.9269,-0.159645,-0.153593,0.091647,0.731076,0.810364,0.902157
2,732592105,0.610224,-12.662,-0.403554,8.44837,0.0189321,-0.154032,-0.117943,0.873629,0.839891,1.04017
2,737581020,0.865702,-2.97782,-14.2568,-10.0192,-0.144737,-0.151107,0.0853247,0.743904,0.820807,0.906308
2,739448407,0.507933,1.88408,9.55426,-3.56463,-0.101694,-0.102049,-0.110529,0.815672,0.84957,0.9601
2,742951821,0.371118,-11.0335,4.69061,4.58401,-0.158105,0.109373,0.0185153,0.952437,0.853477,1.11595
2,744228101,0.693679,-13.6284,-13.7366,-11.7934,0.0591296,-0.0801636,0.112551,0.979186,0.904516,1.08255
2,746083955,0.873062,-4.31048,-14.9363,2.80818,-0.136219,-0.0326987,0.0846133,0.844578,0.857537,0.984888
2,750332458,0.552021,-14.5628,-13.5956,11.9739,-0.134819,-0.156785,-0.0977424,0.747064,0.815976,0.915546
2,750749662,0.696523,-14.2397,-14.8972,-9.98144,-0.0103426,-0.137476,0.0958358,0.862587,0.855798,1.00793
2,751348571,0.900002,-12.1664,14.8808,-10.2523,0.130707,-0.127635,-0.0721036,1.00308,0.875902,1.14519
2,754312389,0.267133,9.83635,-14.2124,7.63115,-0.118793,-0.0466339,-0.11601,0.847531,0.856193,0.989884
2,754829445,0.607824,-11.883,14.3731,8.63558,-0.0697079,0.131772,-0.0392421,1.06403,0.931019,1.14287
2,755434585,0.564017,-3.79751,14.9897,10.7709,-0.0324562,-0.047197,-0.0799788,0.923437,0.921202,1.00243
2,756029989,0.365201,-6.28529,0.342317,-7.69554,-0.11711,-0.157741,0.014533,0.759686,0.852669,0.89095
2,757216464,0.529913,-14.5567,-14.8378,-1.72847,-0.162519,-0.162519,0.0977227,0.7225,0.802542,0.900265
2,757970808,0.582857,2.38518,-2.55563,11.629,0.109627,-0.137034,-0.00785476,0.972965,0.871885,1.11593
2,758798717,0.389187,-4.83478,-13.6923,7.40343,0.10838,0.0402682,-0.0941661,1.16026,1.01912,1.1385
2,759883607,0.748716,-0.937777,3.08148,11.6752,-0.0670104,-0.0145928,-0.00196359,0.921638,0.935167,0.985533
2,760345702,0.465148,-9.71837,3.50606,-11.8269,-0.154364,0.0155505,0.119767,0.87039,0.838814,1.03764
2,760693773,0.509887,-0.306843,0.832241,11.9968,-0.0143914,0.123201,-0.0346213,1.11495,0.983821,1.13329
