ecephys_unit_id,ecephys_session_id,specimen_id,area,group,map,lifetime_sparseness,stimulus_firing_rate_hz,fano_factor,tuning_strength,response_evidence,stability_proxy,raw_tuning_quality_weight,normalized_unit_weight
950930105,715093703,699733581,V1,V1,sf,0.117219,11.0514,4.69803,0.0191318,0.917022,0.175499,0.20039,0.582264
950930173,715093703,699733581,V1,V1,sf,0.368533,2.66177,1.17029,0.29837,0.726908,0.460768,0.464058,1.3484
950930215,715093703,699733581,V1,V1,sf,0.309006,6.44395,1.14251,0.232228,0.865663,0.466743,0.454409,1.32036
950930237,715093703,699733581,V1,V1,sf,0.56349,3.91872,4.06385,0.514989,0.796695,0.197478,0.432716,1.25733
950930276,715093703,699733581,V1,V1,sf,0.149341,8.71538,0.971354,0.0548228,0.89707,0.507266,0.292196,0.849022
950930295,715093703,699733581,V1,V1,sf,0.182005,1.74054,0.795894,0.0911165,0.635109,0.556826,0.318216,0.924627
950930375,715093703,699733581,V1,V1,sf,0.43734,6.51455,1.46243,0.374822,0.866925,0.406103,0.509113,1.47931
950930392,715093703,699733581,V1,V1,sf,0.182976,1.6746,0.540464,0.0921952,0.626112,0.649155,0.334634,0.972332
950930423,715093703,699733581,V1,V1,sf,0.530147,3.70957,2.9955,0.477942,0.787666,0.250282,0.455039,1.32219
950930437,715093703,699733581,V1,V1,sf,0.196752,1.13905,1.01676,0.107502,0.532502,0.495846,0.305044,0.886353
950930522,715093703,699733581,V1,V1,sf,0.452424,8.05926,4.76159,0.391582,0.889616,0.173563,0.392489,1.14044
950930541,715093703,699733581,V1,V1,sf,0.336062,2.20749,1.57212,0.262291,0.68823,0.388784,0.412485,1.19854
950930590,715093703,699733581,V1,V1,sf,0.229169,2.87693,1.05865,0.143521,0.742064,0.485756,0.372613,1.08269
950930689,715093703,699733581,V1,V1,sf,0.361367,2.85028,2.44454,0.290408,0.740279,0.290314,0.396665,1.15257
950930716,715093703,699733581,V1,V1,sf,0.71982,1.05578,3.49877,0.688689,0.513568,0.222283,0.428393,1.24476
950930767,715093703,699733581,V1,V1,sf,0.491582,4.67609,2.10562,0.435091,0.823822,0.321997,0.48688,1.41471
950930841,715093703,699733581,V1,V1,sf,0.200666,0.883928,2.46667,0.111851,0.469194,0.288462,0.247378,0.718795
950930866,715093703,699733581,V1,V1,sf,0.595803,2.75103,2.97231,0.550892,0.733407,0.251743,0.466791,1.35634
950930888,715093703,699733581,V1,V1,sf,0.519209,3.40582,1.18422,0.465788,0.773027,0.45783,0.548314,1.59321
950930923,715093703,699733581,V1,V1,sf,0.455845,4.20515,3.75333,0.395383,0.807883,0.210379,0.406558,1.18132
950934181,715093703,699733581,V1,V1,sf,0.226107,0.49825,1.39184,0.140119,0.332555,0.418089,0.269077,0.781845
950931004,715093703,699733581,V1,V1,sf,0.480427,4.40432,6.91111,0.422696,0.814963,0.126404,0.351811,1.02224
950931118,715093703,699733581,V1,V1,sf,0.407475,0.952537,2.94218,0.341639,0.487846,0.253667,0.348368,1.01224
950931164,715093703,699733581,V1,V1,sf,0.566159,1.77518,2.02369,0.517955,0.639663,0.330721,0.478522,1.39042
950931181,715093703,699733581,V1,V1,sf,0.145614,3.64962,7.15749,0.0506821,0.784928,0.122587,0.169581,0.492744
950931200,715093703,699733581,V1,V1,sf,0.164331,1.74987,2.28749,0.0714784,0.636347,0.304184,0.240068,0.697557
950931236,715093703,699733581,V1,V1,sf,0.398325,1.30025,1.3997,0.331472,0.565264,0.416719,0.427412,1.24191
950931272,715093703,699733581,V1,V1,sf,0.323528,0.562863,1.78571,0.248365,0.360149,0.358974,0.317842,0.923542
950931423,715093703,699733581,V1,V1,sf,0.141324,5.66393,1.43762,0.045916,0.849938,0.410236,0.259297,0.753429
950931517,715093703,699733581,V1,V1,sf,0.108995,6.20415,1.15853,0.00999409,0.861191,0.463279,0.271209,0.788041
950931533,715093703,699733581,V1,V1,sf,0.181751,11.7169,0.84285,0.0908345,0.921364,0.542638,0.356777,1.03667
950931490,715093703,699733581,V1,V1,sf,0.240035,0.486926,1.29847,0.155594,0.327472,0.435072,0.280916,0.816246
950933840,715093703,699733581,V1,V1,sf,0.152201,5.5427,1.88095,0.0580006,0.847158,0.347107,0.257407,0.747937
950931581,715093703,699733581,V1,V1,sf,0.316164,2.29741,1.46167,0.240182,0.696732,0.406228,0.408124,1.18587
950931598,715093703,699733581,V1,V1,sf,0.121794,6.76101,1.02193,0.0242153,0.871151,0.494577,0.278248,0.808495
