group,map,unit_rows,unique_units,median_tuning_strength,median_stability_proxy,weight_p10,weight_median,weight_p90
AL,sf,1404,1404,0.136083,0.389976,0.697734,0.939954,1.38767
AL,tf,1519,1519,0.180148,0.197368,0.650462,0.939502,1.41962
AM,sf,979,979,0.118475,0.411052,0.724762,0.938396,1.40381
AM,tf,1126,1126,0.149206,0.200879,0.666141,0.956241,1.40227
HVA pooled,sf,4749,4749,0.130802,0.395134,0.700657,0.935561,1.40436
HVA pooled,tf,5438,5438,0.160746,0.200693,0.647688,0.942614,1.44756
LM,sf,818,818,0.147005,0.388837,0.696233,0.945959,1.38521
LM,tf,931,931,0.168158,0.197926,0.643397,0.964516,1.4275
PM,sf,591,591,0.129347,0.415199,0.711437,0.932931,1.38826
PM,tf,720,720,0.145639,0.21734,0.655687,0.933537,1.45022
RL,sf,957,957,0.122592,0.374181,0.702871,0.945181,1.38186
RL,tf,1142,1142,0.154363,0.198159,0.646849,0.939765,1.43467
V1,sf,2196,2196,0.194073,0.369182,0.690438,0.96216,1.38018
V1,tf,2596,2596,0.234587,0.227676,0.659227,0.956132,1.39859
