ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,interior_v1_units,fit_identifiable,regularization_weight,translation_at_bound
715093703,absolute_log2_rf_area_degree_2_translation,2.43948,15.9369,0,0,0,0,27,True,0.01,False
719161530,absolute_log2_rf_area_degree_2_translation,30,30,0,0,0,0,6,True,0.01,True
721123822,absolute_log2_rf_area_degree_2_translation,10.4313,-4.54946,0,0,0,0,43,True,0.01,False
744228101,absolute_log2_rf_area_degree_2_translation,-30,-27.7953,0,0,0,0,26,True,0.01,True
750749662,absolute_log2_rf_area_degree_2_translation,24.1109,-14.2924,0,0,0,0,76,True,0.01,False
751348571,absolute_log2_rf_area_degree_2_translation,10.2476,17.8089,0,0,0,0,55,True,0.01,False
754312389,absolute_log2_rf_area_degree_2_translation,2.58093,10.0351,0,0,0,0,119,True,0.01,False
754829445,absolute_log2_rf_area_degree_2_translation,17.905,3.03238,0,0,0,0,49,True,0.01,False
755434585,absolute_log2_rf_area_degree_2_translation,15.8256,10.8096,0,0,0,0,116,True,0.01,False
756029989,absolute_log2_rf_area_degree_2_translation,7.88003,0.693324,0,0,0,0,72,True,0.01,False
757216464,absolute_log2_rf_area_degree_2_translation,30,7.82826,0,0,0,0,114,True,0.01,True
757970808,absolute_log2_rf_area_degree_2_translation,1.71842,7.24431,0,0,0,0,59,True,0.01,False
758798717,absolute_log2_rf_area_degree_2_translation,-7.30332,6.31425,0,0,0,0,68,True,0.01,False
759883607,absolute_log2_rf_area_degree_2_translation,4.48467,13.8849,0,0,0,0,71,True,0.01,False
760345702,absolute_log2_rf_area_degree_2_translation,28.4684,13.5716,0,0,0,0,76,True,0.01,False
761418226,absolute_log2_rf_area_degree_2_translation,-18.6115,-30,0,0,0,0,9,True,0.01,True
762602078,absolute_log2_rf_area_degree_2_translation,-13.5778,-13.4753,0,0,0,0,47,True,0.01,False
763673393,absolute_log2_rf_area_degree_2_translation,-4.85843,19.9457,0,0,0,0,60,True,0.01,False
773418906,absolute_log2_rf_area_degree_2_translation,20.8287,5.44257,0,0,0,0,85,True,0.01,False
791319847,absolute_log2_rf_area_degree_2_translation,16.5482,1.78762,0,0,0,0,96,True,0.01,False
797828357,absolute_log2_rf_area_degree_2_translation,17.951,-17.1224,0,0,0,0,63,True,0.01,False
798911424,absolute_log2_rf_area_degree_2_translation,15.3052,9.38631,0,0,0,0,99,True,0.01,False
799864342,absolute_log2_rf_area_degree_2_translation,-10.2651,4.83993,0,0,0,0,102,True,0.01,False
