ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,interior_v1_units,fit_identifiable,regularization_weight,translation_at_bound
715093703,absolute_log2_rf_area_degree_2_translation,-8.74609,-9.01839,0,0,0,0,27,True,0.01,False
721123822,absolute_log2_rf_area_degree_2_translation,15.2508,-10.3727,0,0,0,0,43,True,0.01,False
744228101,absolute_log2_rf_area_degree_2_translation,-8.3802,27.4184,0,0,0,0,26,True,0.01,False
750749662,absolute_log2_rf_area_degree_2_translation,10.6991,24.277,0,0,0,0,76,True,0.01,False
751348571,absolute_log2_rf_area_degree_2_translation,8.37362,-9.02745,0,0,0,0,55,True,0.01,False
754312389,absolute_log2_rf_area_degree_2_translation,-14.6199,-13.0078,0,0,0,0,119,True,0.01,False
754829445,absolute_log2_rf_area_degree_2_translation,25.5823,6.76119,0,0,0,0,49,True,0.01,False
755434585,absolute_log2_rf_area_degree_2_translation,7.14131,-20.6016,0,0,0,0,116,True,0.01,False
756029989,absolute_log2_rf_area_degree_2_translation,19.6839,22.5088,0,0,0,0,72,True,0.01,False
757216464,absolute_log2_rf_area_degree_2_translation,30,-19.2308,0,0,0,0,114,True,0.01,True
757970808,absolute_log2_rf_area_degree_2_translation,-8.23235,-20.0384,0,0,0,0,59,True,0.01,False
758798717,absolute_log2_rf_area_degree_2_translation,-0.99866,-28.0489,0,0,0,0,68,True,0.01,False
759883607,absolute_log2_rf_area_degree_2_translation,7.70068,-17.458,0,0,0,0,71,True,0.01,False
760345702,absolute_log2_rf_area_degree_2_translation,25.3976,-14.32,0,0,0,0,76,True,0.01,False
762602078,absolute_log2_rf_area_degree_2_translation,-30,30,0,0,0,0,47,True,0.01,True
763673393,absolute_log2_rf_area_degree_2_translation,-20.2119,3.63393,0,0,0,0,60,True,0.01,False
773418906,absolute_log2_rf_area_degree_2_translation,-30,26.4942,0,0,0,0,85,True,0.01,True
791319847,absolute_log2_rf_area_degree_2_translation,26.4198,10.4958,0,0,0,0,96,True,0.01,False
797828357,absolute_log2_rf_area_degree_2_translation,8.57261,15.1905,0,0,0,0,63,True,0.01,False
798911424,absolute_log2_rf_area_degree_2_translation,8.77227,-21.0703,0,0,0,0,99,True,0.01,False
799864342,absolute_log2_rf_area_degree_2_translation,-14.4696,-26.5278,0,0,0,0,102,True,0.01,False
