ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,interior_v1_units,fit_identifiable,regularization_weight,translation_at_bound
715093703,absolute_log2_rf_area_degree_2_translation,-2.95456,4.16684,0,0,0,0,27,True,0.3,False
721123822,absolute_log2_rf_area_degree_2_translation,1.05908,1.51499,0,0,0,0,43,True,0.3,False
744228101,absolute_log2_rf_area_degree_2_translation,-4.96648,11.0026,0,0,0,0,26,True,0.3,False
750749662,absolute_log2_rf_area_degree_2_translation,5.12995,9.20276,0,0,0,0,76,True,0.3,False
751348571,absolute_log2_rf_area_degree_2_translation,0.151796,2.39107,0,0,0,0,55,True,0.3,False
754312389,absolute_log2_rf_area_degree_2_translation,-3.75765,-1.65734,0,0,0,0,119,True,0.3,False
754829445,absolute_log2_rf_area_degree_2_translation,4.64563,2.57585,0,0,0,0,49,True,0.3,False
755434585,absolute_log2_rf_area_degree_2_translation,0.893145,-4.87509,0,0,0,0,116,True,0.3,False
756029989,absolute_log2_rf_area_degree_2_translation,-0.923234,4.28235,0,0,0,0,72,True,0.3,False
757216464,absolute_log2_rf_area_degree_2_translation,15.1536,-5.34672,0,0,0,0,114,True,0.3,False
757970808,absolute_log2_rf_area_degree_2_translation,-3.21798,-5.76808,0,0,0,0,59,True,0.3,False
758798717,absolute_log2_rf_area_degree_2_translation,-1.63093,-11.5334,0,0,0,0,68,True,0.3,False
759883607,absolute_log2_rf_area_degree_2_translation,2.83394,-2.56758,0,0,0,0,71,True,0.3,False
760345702,absolute_log2_rf_area_degree_2_translation,4.32045,-3.03054,0,0,0,0,76,True,0.3,False
762602078,absolute_log2_rf_area_degree_2_translation,-15.7123,15.8158,0,0,0,0,47,True,0.3,False
763673393,absolute_log2_rf_area_degree_2_translation,-4.5749,4.88716,0,0,0,0,60,True,0.3,False
773418906,absolute_log2_rf_area_degree_2_translation,3.07933,-12.2673,0,0,0,0,85,True,0.3,False
791319847,absolute_log2_rf_area_degree_2_translation,7.22725,3.84601,0,0,0,0,96,True,0.3,False
797828357,absolute_log2_rf_area_degree_2_translation,-1.44942,5.02905,0,0,0,0,63,True,0.3,False
798911424,absolute_log2_rf_area_degree_2_translation,0.425374,-5.28797,0,0,0,0,99,True,0.3,False
799864342,absolute_log2_rf_area_degree_2_translation,-5.73205,-12.3805,0,0,0,0,102,True,0.3,False
