ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,interior_v1_units,fit_identifiable,regularization_weight,translation_at_bound
715093703,absolute_log2_rf_area_quadratic_translation,0,0,0,0,0,0,1,False,3,False
721123822,absolute_log2_rf_area_quadratic_translation,-0.112906,2.88454,0,0,0,0,21,True,3,False
744228101,absolute_log2_rf_area_quadratic_translation,0,0,0,0,0,0,1,False,3,False
750749662,absolute_log2_rf_area_quadratic_translation,-0.105535,-0.573664,0,0,0,0,36,True,3,False
751348571,absolute_log2_rf_area_quadratic_translation,-1.05391,1.24257,0,0,0,0,10,True,3,False
754312389,absolute_log2_rf_area_quadratic_translation,-1.2108,1.41197,0,0,0,0,48,True,3,False
754829445,absolute_log2_rf_area_quadratic_translation,0.608524,1.85063,0,0,0,0,13,True,3,False
755434585,absolute_log2_rf_area_quadratic_translation,-0.14463,1.24105,0,0,0,0,43,True,3,False
756029989,absolute_log2_rf_area_quadratic_translation,-2.1791,-1.40205,0,0,0,0,24,True,3,False
757216464,absolute_log2_rf_area_quadratic_translation,0.079431,-5.71172,0,0,0,0,72,True,3,False
757970808,absolute_log2_rf_area_quadratic_translation,0.460119,1.74163,0,0,0,0,7,True,3,False
758798717,absolute_log2_rf_area_quadratic_translation,-4.39968,-2.19594,0,0,0,0,42,True,3,False
759883607,absolute_log2_rf_area_quadratic_translation,-0.839661,0.250733,0,0,0,0,26,True,3,False
760345702,absolute_log2_rf_area_quadratic_translation,-0.516735,0.0199808,0,0,0,0,18,True,3,False
762602078,absolute_log2_rf_area_quadratic_translation,0,0,0,0,0,0,3,False,3,False
763673393,absolute_log2_rf_area_quadratic_translation,-0.0841216,1.4292,0,0,0,0,8,True,3,False
773418906,absolute_log2_rf_area_quadratic_translation,1.8257,-3.65822,0,0,0,0,58,True,3,False
791319847,absolute_log2_rf_area_quadratic_translation,-1.35318,1.35403,0,0,0,0,42,True,3,False
797828357,absolute_log2_rf_area_quadratic_translation,-1.06812,0.965557,0,0,0,0,14,True,3,False
798911424,absolute_log2_rf_area_quadratic_translation,0.442175,-1.98283,0,0,0,0,30,True,3,False
799864342,absolute_log2_rf_area_quadratic_translation,-0.737453,-3.4214,0,0,0,0,63,True,3,False
