ecephys_session_id,interior_v1_units,supported_grid_points,supported_grid_fraction,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound
715093703,61,371,0.386056,interior_v1_rf_size_translation,14.6193,8.13607,0,0,0,0,1.15675,0.59655,0.560205,-0.156754,0.453214,0.75,2.25,False
719161530,15,186,0.193548,interior_v1_rf_size_translation,-15,-2.28,0,0,0,0,0.959518,0.368548,0.590969,0.0404822,0.672376,0,2.625,True
721123822,47,492,0.511967,interior_v1_rf_size_translation,-1.33419,9.33217,0,0,0,0,0.478128,0.344543,0.133586,0.522681,0.671256,1.5,4.875,False
732592105,136,722,0.751301,interior_v1_rf_size_translation,14.6666,-10.3534,0,0,0,0,1.6709,1.0026,0.668295,-0.670896,0.0546969,0.375,2.25,False
737581020,76,530,0.551509,interior_v1_rf_size_translation,-15,15,0,0,0,0,1.82869,0.790982,1.0377,-0.828686,0.289018,0.375,0.375,True
739448407,16,251,0.261186,interior_v1_rf_size_translation,3.61396,6.92778,0,0,0,0,0.774489,0.278215,0.496274,0.225511,0.732639,2.25,8.25,False
742951821,62,329,0.342352,interior_v1_rf_size_translation,-8.00031,-0.00546927,0,0,0,0,1.31695,0.550355,0.766592,-0.311622,0.461024,,2.25,False
744228101,39,336,0.349636,interior_v1_rf_size_translation,10.6702,-14.9994,0,0,0,0,1.58152,0.769311,0.812213,-0.581524,0.290927,4.125,0,True
746083955,21,244,0.253902,interior_v1_rf_size_translation,-10.6597,6.6626,0,0,0,0,1.04697,0.326051,0.720923,-0.0469738,0.702041,1.125,1.875,False
750332458,89,647,0.673257,interior_v1_rf_size_translation,12.0021,-4.0006,0,0,0,0,0.554215,0.19008,0.364135,0.445785,0.838374,5.625,3.375,False
750749662,80,653,0.679501,interior_v1_rf_size_translation,5.72534e-06,14.9992,0,0,0,0,1.12928,0.583582,0.545695,-0.129276,0.456414,1.125,0,True
751348571,62,571,0.594173,interior_v1_rf_size_translation,-0.000132212,5.35432,0,0,0,0,0.36456,0.14343,0.22113,0.63579,0.861667,4.5,1.875,False
754312389,127,739,0.768991,interior_v1_rf_size_translation,-15,0.214091,0,0,0,0,1.21341,0.91443,0.298977,-0.212598,0.125578,30,9.75,True
754829445,85,771,0.802289,interior_v1_rf_size_translation,2.6698,0.00114899,0,0,0,0,0.364121,0.207164,0.156957,0.635879,0.794104,0.75,4.125,False
755434585,125,664,0.690947,interior_v1_rf_size_translation,-0.0227234,5.3334,0,0,0,0,0.493875,0.383046,0.11083,0.507024,0.622011,1.125,4.875,False
756029989,78,548,0.570239,interior_v1_rf_size_translation,15,-15,0,0,0,0,1.65628,0.696134,0.960144,-0.655551,0.383866,0,0.75,True
757216464,122,721,0.75026,interior_v1_rf_size_translation,3.53103,-6.66685,0,0,0,0,0.767263,0.332607,0.434655,0.232737,0.677511,0.75,3.75,False
757970808,89,481,0.50052,interior_v1_rf_size_translation,-15,2.6544,0,0,0,0,0.853209,0.385822,0.467386,0.148441,0.65543,0.375,2.625,True
758798717,68,596,0.620187,interior_v1_rf_size_translation,-15,-1.98989,0,0,0,0,0.733227,0.533096,0.20013,0.266773,0.507608,0.375,4.5,True
759883607,78,534,0.555671,interior_v1_rf_size_translation,14.6512,-1.33337,0,0,0,0,0.531246,0.337781,0.193465,0.468754,0.700696,1.875,0.375,False
760345702,83,538,0.559834,interior_v1_rf_size_translation,14.5175,5.33581,0,0,0,0,0.605012,0.351886,0.253126,0.394988,0.690643,6,5.25,False
760693773,129,710,0.738814,interior_v1_rf_size_translation,5.3317,1.33401,0,0,0,0,0.61951,0.413213,0.206297,0.38049,0.592157,11.25,1.5,False
761418226,27,238,0.247659,interior_v1_rf_size_translation,-9.33713,14.9992,0,0,0,0,1.4016,0.666614,0.734987,-0.400764,0.388881,0.75,0,True
762120172,108,675,0.702393,interior_v1_rf_size_translation,-14.6383,5.33337,0,0,0,0,0.750814,0.387389,0.363425,0.249186,0.655762,2.625,3,False
762602078,68,433,0.450572,interior_v1_rf_size_translation,5.33244,-14.9998,0,0,0,0,0.857206,0.266429,0.590777,0.142794,0.778625,1.5,0.375,True
763673393,76,558,0.580645,interior_v1_rf_size_translation,-14.9998,-13.3333,0,0,0,0,1.60203,1.20886,0.393169,-0.601319,-0.13726,0,0,True
773418906,87,632,0.657648,interior_v1_rf_size_translation,-4.00191,-2.66593,0,0,0,0,0.497193,0.388849,0.108344,0.502807,0.615262,8.25,2.625,False
791319847,106,670,0.69719,interior_v1_rf_size_translation,-0.000368799,14.7206,0,0,0,0,0.63569,0.35561,0.28008,0.364608,0.682914,3.75,1.5,True
797828357,77,592,0.616025,interior_v1_rf_size_translation,0.0080169,-15,0,0,0,0,0.838276,0.450596,0.38768,0.161724,0.589404,1.125,0,True
798911424,112,741,0.771072,interior_v1_rf_size_translation,-1.33369,1.3541,0,0,0,0,0.498808,0.421158,0.0776503,0.501998,0.579484,0,3,False
799864342,108,726,0.755463,interior_v1_rf_size_translation,-14.9987,-2.66716,0,0,0,0,1.06004,0.634941,0.425096,-0.0600364,0.406317,0.375,4.875,True
