ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
715093703,interior_v1_rf_size_translation,-6.1768,-14.6667,0,0,0,0,0.705349,0.200004,0.505345,0.295192,0.825322,4,,False,0
719161530,interior_v1_rf_size_translation,-4.14373,13.3334,0,0,0,0,1.63716,0.37674,1.26042,-0.635783,0.642754,2.5,0.5,False,0
721123822,interior_v1_rf_size_translation,19.3223,9.33333,0,0,0,0,1.44591,0.311083,1.13483,-0.444161,0.734963,2.5,0.5,False,0
732592105,interior_v1_rf_size_translation,-19.7596,-12.357,0,0,0,0,1.32463,0.588054,0.736572,-0.324626,0.46626,5,4,True,0
737581020,interior_v1_rf_size_translation,-20,-18.6686,0,0,0,0,1.50903,0.476856,1.03218,-0.509031,0.597996,1,2.5,True,0
739448407,interior_v1_rf_size_translation,17.2642,-2.66668,0,0,0,0,1.04444,0.342104,0.702339,-0.0444437,0.688412,1.5,0.5,False,0
742951821,interior_v1_rf_size_translation,-9.33449,-0.00648485,0,0,0,0,0.865738,0.515835,0.349903,0.135496,0.492878,1,1.5,False,0
744228101,interior_v1_rf_size_translation,18.6667,-10.3119,0,0,0,0,1.11214,0.0820412,1.0301,-0.112143,0.963437,1.5,3,False,0
746083955,interior_v1_rf_size_translation,-12.8584,1.3295,0,0,0,0,0.957518,0.257035,0.700483,0.0424819,0.759676,1,0.5,False,0
750332458,interior_v1_rf_size_translation,3.96312,-1.33425,0,0,0,0,0.819549,0.528185,0.291364,0.180451,0.473564,3,0.5,False,0
750749662,interior_v1_rf_size_translation,20,-5.36429,0,0,0,0,1.11519,0.487336,0.62785,-0.115186,0.555542,0,26,True,0
751348571,interior_v1_rf_size_translation,-19.994,10.6668,0,0,0,0,1.34002,0.473986,0.866033,-0.339586,0.577368,1,,True,0
754312389,interior_v1_rf_size_translation,15.6277,-20,0,0,0,0,0.834718,0.379732,0.454986,0.16894,0.68469,3,1,True,0
754829445,interior_v1_rf_size_translation,-18.6249,0.00100056,0,0,0,0,1.05286,0.675968,0.376889,-0.0528574,0.35872,3,3.5,False,0
755434585,interior_v1_rf_size_translation,19.4067,14.6667,0,0,0,0,1.54653,0.475685,1.07085,-0.544536,0.583489,2.5,2.5,False,0
756029989,interior_v1_rf_size_translation,16,-7.24476,0,0,0,0,1.17963,0.17695,1.00268,-0.179631,0.853898,3.5,2.5,False,0
757216464,interior_v1_rf_size_translation,19.9999,5.33721,0,0,0,0,1.46963,0.65737,0.812256,-0.469626,0.385479,2,10,True,0
757970808,interior_v1_rf_size_translation,-12.2542,-20,0,0,0,0,1.07066,0.233037,0.837624,-0.0685906,0.821979,1.5,0,True,0
758798717,interior_v1_rf_size_translation,-2.71516,3.62921e-05,0,0,0,0,0.736507,0.660707,0.0758008,0.263493,0.34003,4,1.5,False,0
759883607,interior_v1_rf_size_translation,-19.9994,4.00211,0,0,0,0,1.37574,0.484536,0.8912,-0.375737,0.557063,0,4.5,True,0
760345702,interior_v1_rf_size_translation,14.673,5.33359,0,0,0,0,1.07316,0.417119,0.656044,-0.0731625,0.607256,1.5,1.5,False,0
760693773,interior_v1_rf_size_translation,-19.7727,-17.8004,0,0,0,0,1.48865,0.425738,1.06291,-0.488647,0.645043,1.5,1.5,True,0
761418226,interior_v1_rf_size_translation,3.34065,-20,0,0,0,0,0.695044,0.297047,0.397997,0.309629,0.744069,1.5,0,True,0
762120172,interior_v1_rf_size_translation,-17.3595,-20,0,0,0,0,1.13292,0.384118,0.748805,-0.132611,0.686017,3,1,True,0
762602078,interior_v1_rf_size_translation,6.66597,20,0,0,0,0,0.70291,0.16325,0.539661,0.29709,0.881194,2,0,True,0
763673393,interior_v1_rf_size_translation,-15.6851,-20,0,0,0,0,0.964729,0.340887,0.623842,0.0386968,0.723715,3,1,True,0
773418906,interior_v1_rf_size_translation,-6.671,-0.000267679,0,0,0,0,1.10419,0.809862,0.294332,-0.10389,0.194588,13,0.5,False,0
791319847,interior_v1_rf_size_translation,9.33441,5.33328,0,0,0,0,0.696686,0.478963,0.217722,0.30457,0.532594,3.5,1.5,False,0
797828357,interior_v1_rf_size_translation,-13.3286,19.9993,0,0,0,0,1.1821,0.863537,0.31856,-0.182098,0.194225,4.5,0.5,True,0
798911424,interior_v1_rf_size_translation,-19.6892,12,0,0,0,0,1.31682,0.859986,0.456829,-0.315132,0.19318,1,1.5,True,0
799864342,interior_v1_rf_size_translation,-19.51,-1.3517,0,0,0,0,1.36946,0.490326,0.879131,-0.369457,0.54792,1.5,0.5,False,0
