bound_deg,ecephys_session_id,training_half,test_half,translation_azimuth_deg,translation_elevation_deg,identity_heldout_correlation,aligned_heldout_correlation,heldout_correlation_gain,identity_heldout_rmse,aligned_heldout_rmse
10,715093703,0,1,-7.17927,-10,0.701427,0.232712,-0.468715,0.121091,0.0787613
10,719161530,0,1,-6.66667,9.48392,0.348297,0.684893,0.336596,0.577246,0.602548
10,721123822,0,1,9.9974,8,0.476597,0.45312,-0.0234776,0.392824,0.306911
10,732592105,0,1,9.44343,-5.34154,-0.631145,-0.506347,0.124799,0.138669,0.0869269
10,737581020,0,1,-9.33365,-4.00655,-0.599714,-0.587706,0.0120078,0.260869,0.241068
10,739448407,0,1,8.3654,-8,0.152014,-0.0281326,-0.180147,0.208424,0.154176
10,742951821,0,1,-9.33403,-0.00170082,0.127843,0.207078,0.0792352,0.277894,0.287493
10,744228101,0,1,10,-10,-0.723734,-0.817022,-0.0932886,0.252681,0.281728
10,746083955,0,1,-6.69686,-9.33333,0.532873,0.289431,-0.243441,0.066055,0.0486452
10,750332458,0,1,2.65831,-1.33364,0.759851,0.825238,0.0653872,0.133046,0.136
10,750749662,0,1,10,10,-0.293227,-0.0549277,0.2383,0.265609,0.221541
10,751348571,0,1,-5.34158,9.33357,0.727297,0.71085,-0.0164473,0.298181,0.185682
10,754312389,0,1,6.66666,-1.47035,-0.249205,-0.0341149,0.21509,0.354114,0.339619
10,754829445,0,1,9.99665,6.6667,0.782123,0.662912,-0.11921,0.255411,0.213699
10,755434585,0,1,10,10,0.128927,0.40488,0.275953,0.277033,0.261183
10,756029989,0,1,10,-10,-0.0437991,0.286682,0.330481,0.191542,0.205991
10,757216464,0,1,9.98821,-8.60006e-05,0.54991,0.460237,-0.0896723,0.352899,0.402448
10,757970808,0,1,-7.01786,-10,-0.369645,-0.608652,-0.239008,0.16626,0.144632
10,758798717,0,1,-1.60791,1.33333,0.288468,0.219595,-0.0688731,0.0885682,0.0914065
10,759883607,0,1,-10,10,0.163057,-0.393142,-0.556198,0.277186,0.341017
10,760345702,0,1,9.97339,4.00001,0.450818,0.543246,0.0924278,0.107477,0.123036
10,760693773,0,1,9.33322,9.99989,-0.240533,-0.63134,-0.390807,0.115454,0.110483
10,761418226,0,1,-6.02063,-1.33333,-0.760712,-0.720991,0.0397206,0.248592,0.274307
10,762120172,0,1,-9.99357,6.66748,0.81097,0.867523,0.0565529,0.120398,0.113049
10,762602078,0,1,10,10,-0.63371,-0.491258,0.142452,0.388868,0.358135
10,763673393,0,1,-6.69307,3.99997,-0.695034,-0.857983,-0.162949,0.185414,0.215705
10,773418906,0,1,-6.66858,-0.000844985,0.691565,0.581459,-0.110105,0.0988558,0.114739
10,791319847,0,1,9.33351,5.33319,0.311635,0.223368,-0.088267,0.202729,0.27371
10,797828357,0,1,-5.33428,-4.00112,-0.10215,-0.00919526,0.0929546,0.38589,0.341288
10,798911424,0,1,-1.30304,9.33324,0.0188298,-0.160473,-0.179303,0.158697,0.193565
10,799864342,0,1,-10,-9.33435,0.210039,0.035511,-0.174528,0.18743,0.166136
10,715093703,1,0,2.83808,1.34247,0.295192,0.14325,-0.151942,0.409932,0.382638
10,719161530,1,0,-9.56594,5.69748,-0.635783,0.36369,0.999473,0.141089,0.0976691
10,721123822,1,0,-6.66664,-9.33928,-0.444161,-0.306796,0.137365,0.128713,0.130819
10,732592105,1,0,10,-0.0432738,-0.324626,0.0387415,0.363367,0.109802,0.101919
10,737581020,1,0,-9.33326,10,-0.509031,-0.243809,0.265222,0.0704424,0.0658445
10,739448407,1,0,2.97472,10,-0.0444437,0.229224,0.273668,0.244712,0.265277
10,742951821,1,0,-5.33352,1.30226,0.135496,0.336832,0.201336,0.367237,0.36575
10,744228101,1,0,10,10,-0.112143,-0.170867,-0.0587235,0.374976,0.429084
10,746083955,1,0,-8.00001,3.31771,0.0424819,0.39779,0.355308,0.407225,0.389106
10,750332458,1,0,-6.66882,-5.33414,0.180451,-0.115316,-0.295767,0.240306,0.254268
10,750749662,1,0,-0.340967,10,-0.115186,0.0264758,0.141662,0.159007,0.178397
10,751348571,1,0,-4.02625,2.66673,-0.339586,0.0425556,0.382141,0.177712,0.172476
10,754312389,1,0,9.99838,3.36972e-05,0.16894,0.281608,0.112667,0.27645,0.271733
10,754829445,1,0,3.99576,1.3336,-0.0528574,-0.0019217,0.0509357,0.169422,0.173258
10,755434585,1,0,9.29536,4.08623,-0.544536,-0.240799,0.303737,0.326946,0.374315
10,756029989,1,0,4.99847,10,-0.179631,-0.174244,0.00538695,0.177853,0.182399
10,757216464,1,0,-4.00505,-5.3336,-0.469626,-0.713505,-0.24388,0.283131,0.250317
10,757970808,1,0,-10,6.45494,-0.0685906,0.14432,0.21291,0.197208,0.240968
10,758798717,1,0,9.32887,-1.33356,0.263493,-0.423552,-0.687044,0.0778687,0.0856234
10,759883607,1,0,9.99998,-1.33618,-0.375737,-0.218491,0.157245,0.102838,0.0982934
10,760345702,1,0,5.33331,2.61523,-0.0731625,0.1212,0.194362,0.136488,0.120532
10,760693773,1,0,-4.07492,-10,-0.488647,-0.587696,-0.0990495,0.325609,0.311702
10,761418226,1,0,-10,-10,0.309629,-0.0849753,-0.394604,0.208988,0.163734
10,762120172,1,0,-2.65978,2.66682,-0.132611,-0.0392699,0.0933408,0.183018,0.183784
10,762602078,1,0,6.66618,-6.65775,0.29709,0.560035,0.262946,0.481626,0.447974
10,763673393,1,0,2.6665,-9.99856,0.0386968,0.0837781,0.0450813,0.137432,0.153126
10,773418906,1,0,7.50732,-2.66667,-0.10389,-0.350615,-0.246725,0.174122,0.187259
10,791319847,1,0,-0.00147057,9.99945,0.30457,0.339927,0.035357,0.229306,0.240895
10,797828357,1,0,-3.99995,-9.99895,-0.182098,-0.19944,-0.0173423,0.187665,0.179431
10,798911424,1,0,10,-2.66667,-0.315132,-0.369531,-0.0543989,0.249758,0.232409
10,799864342,1,0,9.33244,-1.33452,-0.369457,-0.405287,-0.0358298,0.185454,0.180588
15,715093703,0,1,-6.04434,-14.6666,0.701427,0.124375,-0.577052,0.121091,0.0716093
15,719161530,0,1,-4.14675,13.3334,0.348297,0.202209,-0.146088,0.577246,0.620465
15,721123822,0,1,14.9998,9.33332,0.476597,0.509709,0.0331117,0.392824,0.261133
15,732592105,0,1,-13.3336,-10.6666,-0.631145,-0.707454,-0.0763086,0.138669,0.126515
15,737581020,0,1,14.9975,-11.9999,-0.599714,-0.477794,0.121919,0.260869,0.28623
15,739448407,0,1,8.23303,-8.00001,0.152014,-0.0254573,-0.177472,0.208424,0.154573
15,742951821,0,1,-9.33395,-0.00168125,0.127843,0.207196,0.079353,0.277894,0.287483
15,744228101,0,1,9.33343,-13.3786,-0.723734,-0.729321,-0.00558772,0.252681,0.273953
15,746083955,0,1,-12.751,1.33155,0.532873,,,0.066055,
15,750332458,0,1,3.9574,-1.33336,0.759851,0.828559,0.0687077,0.133046,0.139211
15,750749662,0,1,14.6669,14.9984,-0.293227,0.308587,0.601814,0.265609,0.206987
15,751348571,0,1,-14.1721,9.33352,0.727297,0.350544,-0.376753,0.298181,0.10561
15,754312389,0,1,6.66666,-1.47741,-0.249205,-0.0342053,0.214999,0.354114,0.339684
15,754829445,0,1,14.6679,5.33349,0.782123,0.536377,-0.245745,0.255411,0.190308
15,755434585,0,1,14.9901,14.6667,0.128927,0.431587,0.30266,0.277033,0.251025
15,756029989,0,1,13.3334,-8.64789,-0.0437991,0.388313,0.432112,0.191542,0.221992
15,757216464,0,1,14.6957,-1.33335,0.54991,0.549073,-0.000836846,0.352899,0.441935
15,757970808,0,1,-12.0001,-14.9999,-0.369645,-0.66614,-0.296495,0.16626,0.119608
15,758798717,0,1,-1.35842,1.33329,0.288468,0.230273,-0.0581952,0.0885682,0.0906015
15,759883607,0,1,-14.9916,8.00002,0.163057,-0.35994,-0.522997,0.277186,0.325923
15,760345702,0,1,13.3349,5.33411,0.450818,0.424993,-0.0258251,0.107477,0.124983
15,760693773,0,1,14.6669,14.8916,-0.240533,-0.352794,-0.112261,0.115454,0.099623
15,761418226,0,1,10.6924,-13.3334,-0.760712,0.0989075,0.859619,0.248592,0.264347
15,762120172,0,1,-14.5175,8.0003,0.81097,0.882402,0.0714322,0.120398,0.136707
15,762602078,0,1,14.9711,-4.00043,-0.63371,-0.515237,0.118473,0.388868,0.319022
15,763673393,0,1,-15,-15,-0.695034,-0.283372,0.411663,0.185414,0.126943
15,773418906,0,1,-6.66978,-0.000334868,0.691565,0.581207,-0.110358,0.0988558,0.114741
15,791319847,0,1,9.34041,5.33327,0.311635,0.223475,-0.0881592,0.202729,0.273833
15,797828357,0,1,-13.3845,-1.3334,-0.10215,-0.0856413,0.0165086,0.38589,0.295769
15,798911424,0,1,-1.32364,9.33322,0.0188298,-0.161136,-0.179965,0.158697,0.193635
15,799864342,0,1,-14.7101,-6.66737,0.210039,0.225576,0.0155375,0.18743,0.154093
15,715093703,1,0,2.01417,1.35699,0.295192,0.154092,-0.1411,0.409932,0.38939
15,719161530,1,0,-12.0276,5.50674,-0.635783,0.539696,1.17548,0.141089,0.0974295
15,721123822,1,0,-6.66656,-9.34319,-0.444161,-0.306857,0.137305,0.128713,0.130855
15,732592105,1,0,14.6668,-1.33929,-0.324626,0.267714,0.59234,0.109802,0.0890592
15,737581020,1,0,-14.6665,15,-0.509031,-0.3218,0.187231,0.0704424,0.0625247
15,739448407,1,0,3.40524,12,-0.0444437,0.28972,0.334164,0.244712,0.262656
15,742951821,1,0,-5.33345,1.31202,0.135496,0.336833,0.201336,0.367237,0.365754
15,744228101,1,0,14.6664,12.0081,-0.112143,-0.154121,-0.0419772,0.374976,0.43265
15,746083955,1,0,14.6671,0.00271508,0.0424819,0.00865739,-0.0338245,0.407225,0.393406
