ecephys_session_id,interior_v1_units,supported_grid_points,supported_grid_fraction,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound
715093703,61,371,0.386056,interior_v1_rf_size_translation,9.31916,5.43486,0,0,0,0,1.15675,0.742501,0.414253,-0.156754,0.304052,1,2.5,False
719161530,15,186,0.193548,interior_v1_rf_size_translation,1.33574,6.66347,0,0,0,0,0.959518,0.735696,0.223821,0.0404822,0.282778,0.75,0,False
721123822,47,492,0.511967,interior_v1_rf_size_translation,-1.33433,9.33243,0,0,0,0,0.478128,0.364288,0.11384,0.522681,0.671262,2.25,8,False
732592105,136,722,0.751301,interior_v1_rf_size_translation,-9.33677,-9.33311,0,0,0,0,1.6709,1.2791,0.391793,-0.670896,-0.20939,20,1.25,False
737581020,76,530,0.551509,interior_v1_rf_size_translation,-10,10,0,0,0,0,1.82869,1.42178,0.406907,-0.828686,-0.341779,0.25,0.5,True
739448407,16,251,0.261186,interior_v1_rf_size_translation,3.45051,6.73843,0,0,0,0,0.774489,0.291274,0.483215,0.225511,0.731651,2.5,5.75,False
742951821,62,329,0.342352,interior_v1_rf_size_translation,-6.66695,-0.00285986,0,0,0,0,1.31695,0.575166,0.741781,-0.311622,0.442613,1.5,3.25,False
744228101,39,336,0.349636,interior_v1_rf_size_translation,5.25257e-05,9.99688,0,0,0,0,1.58152,1.25466,0.326861,-0.581524,-0.214687,10,0.5,True
746083955,21,244,0.253902,interior_v1_rf_size_translation,-9.80825,6.66666,0,0,0,0,1.04697,0.359506,0.687468,-0.0469738,0.696753,0.5,1.75,True
750332458,89,647,0.673257,interior_v1_rf_size_translation,8.02397,-2.66672,0,0,0,0,0.554215,0.226621,0.327594,0.445785,0.801978,3.25,1.5,False
750749662,80,653,0.679501,interior_v1_rf_size_translation,6.5015e-05,9.99975,0,0,0,0,1.12928,0.80903,0.320246,-0.129276,0.230968,1.75,0.5,True
751348571,62,571,0.594173,interior_v1_rf_size_translation,-1.33632,4.00038,0,0,0,0,0.36456,0.147772,0.216788,0.63579,0.859343,2.5,3,False
754312389,127,739,0.768991,interior_v1_rf_size_translation,-9.70449,1.59304,0,0,0,0,1.21341,1.08189,0.131519,-0.212598,-0.0432024,20,5,False
754829445,85,771,0.802289,interior_v1_rf_size_translation,2.66971,0.000477268,0,0,0,0,0.364121,0.208529,0.155592,0.635879,0.794322,1.25,4,False
755434585,125,664,0.690947,interior_v1_rf_size_translation,-0.0328464,5.33337,0,0,0,0,0.493875,0.389289,0.104586,0.507024,0.622089,1.25,5,False
756029989,78,548,0.570239,interior_v1_rf_size_translation,10,-10,0,0,0,0,1.65628,1.11086,0.545415,-0.655551,-0.0308633,0.25,1,True
757216464,122,721,0.75026,interior_v1_rf_size_translation,2.66697,-5.33612,0,0,0,0,0.767263,0.339656,0.427607,0.232737,0.674578,1.5,3,False
757970808,89,481,0.50052,interior_v1_rf_size_translation,6.66667,5.10255,0,0,0,0,0.853209,0.645396,0.207813,0.148441,0.382797,1.5,1.75,False
758798717,68,596,0.620187,interior_v1_rf_size_translation,1.32094,-1.33352,0,0,0,0,0.733227,0.724454,0.00877248,0.266773,0.276955,14,2.75,False
759883607,78,534,0.555671,interior_v1_rf_size_translation,3.9975,-0.000194742,0,0,0,0,0.531246,0.477993,0.0532538,0.468754,0.528399,8.75,2.75,False
760345702,83,538,0.559834,interior_v1_rf_size_translation,7.96248,1.40123,0,0,0,0,0.605012,0.377236,0.227776,0.394988,0.64891,4.75,5.25,False
760693773,129,710,0.738814,interior_v1_rf_size_translation,5.33035,1.33365,0,0,0,0,0.61951,0.419866,0.199644,0.38049,0.59221,3.25,1.5,False
761418226,27,238,0.247659,interior_v1_rf_size_translation,-9.33327,-9.90007,0,0,0,0,1.4016,0.780047,0.621553,-0.400764,0.294001,,1,True
762120172,108,675,0.702393,interior_v1_rf_size_translation,-9.99986,5.33334,0,0,0,0,0.750814,0.457619,0.293195,0.249186,0.593758,4.5,2.25,True
762602078,68,433,0.450572,interior_v1_rf_size_translation,5.33098,-9.99982,0,0,0,0,0.857206,0.522494,0.334712,0.142794,0.528872,2.75,0.25,True
763673393,76,558,0.580645,interior_v1_rf_size_translation,-9.99941,-6.66667,0,0,0,0,1.60203,1.56224,0.0397946,-0.601319,-0.504465,10,4.75,True
773418906,87,632,0.657648,interior_v1_rf_size_translation,-2.66669,-2.53567,0,0,0,0,0.497193,0.396188,0.101005,0.502807,0.609228,9.25,2.75,False
791319847,106,670,0.69719,interior_v1_rf_size_translation,2.14847,9.82051,0,0,0,0,0.63569,0.446415,0.189275,0.364608,0.594009,4.25,1.75,True
797828357,77,592,0.616025,interior_v1_rf_size_translation,-1.33159,-10,0,0,0,0,0.838276,0.633342,0.204934,0.161724,0.407367,2,0.5,True
798911424,112,741,0.771072,interior_v1_rf_size_translation,-1.33874,1.33348,0,0,0,0,0.498808,0.422621,0.0761876,0.501998,0.578808,0.25,3,False
799864342,108,726,0.755463,interior_v1_rf_size_translation,-9.99633,-2.66704,0,0,0,0,1.06004,0.829372,0.230665,-0.0600364,0.213444,0.75,2.5,True
