ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
715093703,interior_v1_rf_size_translation,-7.29183,-13.3333,0,0,0,0,0.705349,0.320241,0.385107,0.295192,0.772138,5.25,2.25,False,0
719161530,interior_v1_rf_size_translation,-5.46448,12.0005,0,0,0,0,1.63716,0.436044,1.20112,-0.635783,0.633505,1.5,,False,0
721123822,interior_v1_rf_size_translation,-9.33849,-27.9994,0,0,0,0,1.44591,0.477541,0.96837,-0.444161,0.870927,0.75,0,False,0
732592105,interior_v1_rf_size_translation,16,-5.33457,0,0,0,0,1.32463,0.643847,0.680779,-0.324626,0.469936,3.75,0,False,0
737581020,interior_v1_rf_size_translation,-3.99979,-29.3513,0,0,0,0,1.50903,0.617987,0.891044,-0.509031,0.733013,3.75,0.75,False,0
739448407,interior_v1_rf_size_translation,8.3606,-8.00024,0,0,0,0,1.04444,0.405517,0.638927,-0.0444437,0.648044,1.5,0,False,0
742951821,interior_v1_rf_size_translation,-9.33442,1.33005,0,0,0,0,0.865738,0.552245,0.313493,0.135496,0.483315,,1.5,False,0
744228101,interior_v1_rf_size_translation,9.33344,-13.3721,0,0,0,0,1.11214,0.198053,0.91409,-0.112143,0.908318,6.75,6,False,0
746083955,interior_v1_rf_size_translation,-12.7507,1.33155,0,0,0,0,0.957518,0.306764,0.650754,0.0424819,0.758977,0.75,0.75,False,0
750332458,interior_v1_rf_size_translation,2.65482,-1.33345,0,0,0,0,0.819549,0.534148,0.285401,0.180451,0.469383,3,0,False,0
750749662,interior_v1_rf_size_translation,26.6667,-4.27974,0,0,0,0,1.11519,0.42593,0.689255,-0.115186,0.865841,2.25,3,False,0
751348571,interior_v1_rf_size_translation,-22.6697,10.6667,0,0,0,0,1.34002,0.625004,0.715016,-0.339586,0.626074,14.25,,False,0
754312389,interior_v1_rf_size_translation,9.32038,-27.9995,0,0,0,0,0.834718,0.481087,0.353631,0.16894,0.86725,7.5,,False,0
754829445,interior_v1_rf_size_translation,25.3357,2.66678,0,0,0,0,1.05286,0.792255,0.260602,-0.0528574,0.467348,0.75,,False,0
755434585,interior_v1_rf_size_translation,18.6642,13.3338,0,0,0,0,1.54653,0.644211,0.902322,-0.544536,0.566246,3,2.25,False,0
756029989,interior_v1_rf_size_translation,13.3333,-8.67071,0,0,0,0,1.17963,0.257205,0.922425,-0.179631,0.843978,3,2.25,False,0
757216464,interior_v1_rf_size_translation,-29.2495,-4.00032,0,0,0,0,1.46963,0.749324,0.720302,-0.469626,0.59929,1.5,0,False,0
757970808,interior_v1_rf_size_translation,-12,-20.8315,0,0,0,0,1.07066,0.388551,0.68211,-0.0685906,0.84263,0.75,1.5,False,0
758798717,interior_v1_rf_size_translation,-2.66402,1.33277,0,0,0,0,0.736507,0.654649,0.0818582,0.263493,0.3489,2.25,0.75,False,0
759883607,interior_v1_rf_size_translation,-25.3341,5.33332,0,0,0,0,1.37574,0.454984,0.920753,-0.375737,0.813121,2.25,2.25,False,0
760345702,interior_v1_rf_size_translation,13.3372,5.33363,0,0,0,0,1.07316,0.487051,0.586111,-0.0731625,0.59548,1.5,1.5,False,0
