ecephys_session_id,axis,translation_deg,regularized_loss,loss_above_optimum
715093703,azimuth,-30,3,2.46145
715093703,azimuth,-29.25,3,2.46145
715093703,azimuth,-28.5,3,2.46145
715093703,azimuth,-27.75,3,2.46145
715093703,azimuth,-27,3,2.46145
715093703,azimuth,-26.25,1.32372,0.78517
715093703,azimuth,-25.5,1.11094,0.572388
715093703,azimuth,-24.75,1.0023,0.463748
715093703,azimuth,-24,0.92412,0.385572
715093703,azimuth,-23.25,0.721509,0.182961
715093703,azimuth,-22.5,0.655284,0.116736
715093703,azimuth,-21.75,0.563322,0.0247736
715093703,azimuth,-21,0.561258,0.0227099
715093703,azimuth,-20.25,0.554205,0.0156572
715093703,azimuth,-19.5,0.603927,0.065379
715093703,azimuth,-18.75,0.642014,0.103466
715093703,azimuth,-18,0.715285,0.176737
715093703,azimuth,-17.25,0.782637,0.244089
715093703,azimuth,-16.5,0.831417,0.292869
715093703,azimuth,-15.75,0.890056,0.351508
715093703,azimuth,-15,0.92774,0.389192
715093703,azimuth,-14.25,0.975098,0.43655
715093703,azimuth,-13.5,1.00269,0.464142
715093703,azimuth,-12.75,1.0364,0.497849
715093703,azimuth,-12,1.06684,0.528294
715093703,azimuth,-11.25,1.08672,0.548168
715093703,azimuth,-10.5,1.10111,0.56256
715093703,azimuth,-9.75,1.12363,0.58508
715093703,azimuth,-9,1.13873,0.600182
715093703,azimuth,-8.25,1.16554,0.62699
715093703,azimuth,-7.5,1.19179,0.653241
715093703,azimuth,-6.75,1.2214,0.682857
715093703,azimuth,-6,1.24902,0.710476
715093703,azimuth,-5.25,1.26961,0.731057
715093703,azimuth,-4.5,1.27666,0.738116
715093703,azimuth,-3.75,1.25161,0.713067
715093703,azimuth,-3,1.23811,0.699563
715093703,azimuth,-2.25,1.18862,0.650069
715093703,azimuth,-1.5,1.17353,0.634981
715093703,azimuth,-0.75,1.14038,0.601828
715093703,azimuth,0,1.1183,0.579748
715093703,azimuth,0.75,1.09797,0.559421
715093703,azimuth,1.5,1.09381,0.555264
715093703,azimuth,2.25,1.11251,0.573958
715093703,azimuth,3,1.1054,0.566853
715093703,azimuth,3.75,1.11108,0.572531
715093703,azimuth,4.5,1.10125,0.562699
715093703,azimuth,5.25,1.10148,0.562932
715093703,azimuth,6,1.12354,0.584989
715093703,azimuth,6.75,1.15119,0.612642
715093703,azimuth,7.5,1.13391,0.595365
715093703,azimuth,8.25,1.18757,0.649021
715093703,azimuth,9,1.15614,0.617589
715093703,azimuth,9.75,1.1987,0.660156
715093703,azimuth,10.5,1.15581,0.617266
715093703,azimuth,11.25,1.21579,0.677243
715093703,azimuth,12,1.16636,0.627815
715093703,azimuth,12.75,1.21809,0.67954
715093703,azimuth,13.5,1.27376,0.735214
715093703,azimuth,14.25,1.20621,0.667665
715093703,azimuth,15,1.21672,0.678175
715093703,azimuth,15.75,1.15418,0.61563
715093703,azimuth,16.5,1.11817,0.579624
715093703,azimuth,17.25,1.06516,0.526611
715093703,azimuth,18,1.00357,0.465027
715093703,azimuth,18.75,0.923697,0.385149
715093703,azimuth,19.5,0.877408,0.33886
715093703,azimuth,20.25,0.806658,0.26811
715093703,azimuth,21,0.772101,0.233553
715093703,azimuth,21.75,0.72633,0.187782
715093703,azimuth,22.5,0.699286,0.160738
715093703,azimuth,23.25,0.675201,0.136653
715093703,azimuth,24,0.663287,0.124739
715093703,azimuth,24.75,0.650965,0.112417
