preference,area,bandwidth_deg,source_units,source_sessions,supported_grid_fraction,surface_median_preference,surface_p10_preference,surface_p90_preference
sf,Multi-probe V1,8,843,8,0.836407,0.0817357,0.0680012,0.091153
sf,Multi-probe V1,12,843,8,0.948245,0.0814153,0.0704916,0.0871926
sf,Multi-probe V1,16,843,8,0.986913,0.0807084,0.0723255,0.0856289
sf,Probe A,8,227,8,0.228435,0.0716023,0.0667376,0.0814365
sf,Probe A,12,227,8,0.342653,0.0735351,0.0700114,0.0849221
sf,Probe A,16,227,8,0.46044,0.0753419,0.0707337,0.0855217
sf,Probe B,8,200,8,0.191553,0.0694567,0.0631607,0.0765914
sf,Probe B,12,200,8,0.362284,0.0711827,0.0659644,0.0767434
sf,Probe B,16,200,8,0.558001,0.0710144,0.0668235,0.0880381
sf,Probe C,8,283,8,0.261154,0.0820479,0.0691415,0.0975958
sf,Probe C,12,283,8,0.412255,0.0852761,0.0749374,0.0931027
sf,Probe C,16,283,8,0.547293,0.086081,0.077083,0.093782
sf,Probe E,8,133,8,0.140988,0.0948683,0.0765476,0.109122
sf,Probe E,12,133,8,0.25818,0.0924174,0.0759053,0.10169
sf,Probe E,16,133,8,0.381916,0.0919392,0.0770215,0.100271
tf,Multi-probe V1,8,528,8,0.770375,2.04803,1.81761,2.33956
tf,Multi-probe V1,12,528,8,0.921475,2.02397,1.92838,2.35428
tf,Multi-probe V1,16,528,8,0.979774,2.0356,1.96038,2.2948
tf,Probe A,8,138,8,0.158834,2.00366,1.86207,2.05729
tf,Probe A,12,138,8,0.284355,2.00517,1.86371,2.06898
tf,Probe A,16,138,8,0.396193,2.00407,1.86474,2.09781
tf,Probe B,8,127,8,0.1279,2.04163,1.67882,2.72476
tf,Probe B,12,127,8,0.290303,1.98123,1.81676,2.9604
tf,Probe B,16,127,8,0.451517,2.00597,1.89193,2.75222
tf,Probe C,8,188,8,0.20583,2.21223,1.81705,2.38668
tf,Probe C,12,188,8,0.3605,2.20272,2.00767,2.29185
tf,Probe C,16,188,8,0.501487,2.21557,2.12031,2.29606
tf,Probe E,8,75,8,0.0826889,1.83003,1.76967,1.95733
tf,Probe E,12,75,8,0.176086,1.77158,1.60593,1.91709
tf,Probe E,16,75,8,0.274242,1.72627,1.58318,1.89067
