site,probe,analysis_eligible,tuning_eligible_sf,tuning_eligible_tf
site2,A,41,35,19
site2,B,43,30,17
site2,C,17,11,6
site2,E,19,11,5
site3,A,45,38,21
site3,B,79,59,34
site3,C,72,53,33
site3,E,15,9,5
site4,A,28,21,15
site4,B,28,15,14
site4,C,28,22,17
site4,E,10,9,5
site5,A,55,46,26
site5,B,41,26,21
site5,C,73,60,39
site5,E,68,53,28
site6,A,22,19,13
site6,B,33,28,15
site6,C,39,31,23
site6,E,13,10,8
site7,A,10,8,5
site7,B,16,13,10
site7,C,60,43,28
site7,E,4,2,1
site8,A,24,18,13
site8,B,23,13,9
site8,C,31,23,14
site8,E,10,9,4
site9,A,49,42,26
site9,B,22,16,7
site9,C,50,40,28
site9,E,42,30,19
