map,probe,azimuth_deg,elevation_deg,estimate,estimate_log2,effective_sessions,local_units,supported,source_units,source_sessions
rf_density,A,10,-30,0.134392,,5.91507,41,True,274,8
rf_density,A,12,-30,0.1582,,6.09232,48,True,274,8
rf_density,A,14,-30,0.183294,,6.23597,58,True,274,8
rf_density,A,16,-30,0.209023,,6.33801,69,True,274,8
rf_density,A,18,-30,0.234583,,6.39418,76,True,274,8
rf_density,A,20,-30,0.259056,,6.40497,83,True,274,8
rf_density,A,22,-30,0.281451,,6.37566,92,True,274,8
rf_density,A,24,-30,0.300764,,6.31519,96,True,274,8
rf_density,A,26,-30,0.316058,,6.2346,98,True,274,8
rf_density,A,28,-30,0.326536,,6.14532,105,True,274,8
rf_density,A,30,-30,0.331617,,6.05789,108,True,274,8
rf_density,A,32,-30,0.330994,,5.98118,108,True,274,8
rf_density,A,34,-30,0.324673,,5.92217,102,True,274,8
rf_density,A,36,-30,0.312971,,5.88593,95,True,274,8
rf_density,A,38,-30,0.296501,,5.87584,91,True,274,8
rf_density,A,40,-30,0.276109,,5.89376,78,True,274,8
rf_density,A,42,-30,0.252805,,5.94008,76,True,274,8
rf_density,A,44,-30,0.227673,,6.01364,65,True,274,8
rf_density,A,46,-30,0.201786,,6.11138,55,True,274,8
rf_density,A,48,-30,0.176128,,6.22777,50,True,274,8
rf_density,A,50,-30,0.151537,,6.35405,44,True,274,8
rf_density,A,52,-30,0.128663,,6.47736,34,True,274,8
rf_density,A,54,-30,0.10796,,6.58,28,True,274,8
rf_density,A,56,-30,0.089682,,6.6396,24,True,274,8
rf_density,A,58,-30,,,6.63085,18,False,274,8
rf_density,A,60,-30,,,6.53004,12,False,274,8
rf_density,A,62,-30,,,6.32229,8,False,274,8
rf_density,A,64,-30,,,6.00954,7,False,274,8
rf_density,A,66,-30,,,5.6142,6,False,274,8
rf_density,A,68,-30,,,5.17477,5,False,274,8
rf_density,A,70,-30,,,4.73415,4,False,274,8
rf_density,A,72,-30,,,4.32746,3,False,274,8
rf_density,A,74,-30,,,3.97553,3,False,274,8
rf_density,A,76,-30,,,3.68522,4,False,274,8
rf_density,A,78,-30,,,3.45369,4,False,274,8
rf_density,A,80,-30,,,3.27307,2,False,274,8
rf_density,A,82,-30,,,3.13395,2,False,274,8
rf_density,A,84,-30,,,3.02738,1,False,274,8
rf_density,A,86,-30,,,2.94569,1,False,274,8
rf_density,A,88,-30,,,2.88269,1,False,274,8
rf_density,A,90,-30,,,2.83362,0,False,274,8
rf_density,A,10,-28,0.155207,,6.16415,53,True,274,8
rf_density,A,12,-28,0.182118,,6.35698,63,True,274,8
rf_density,A,14,-28,0.210348,,6.51547,74,True,274,8
rf_density,A,16,-28,0.239152,,6.63089,82,True,274,8
rf_density,A,18,-28,0.267629,,6.69831,90,True,274,8
rf_density,A,20,-28,0.294754,,6.71779,99,True,274,8
rf_density,A,22,-28,0.319433,,6.69443,103,True,274,8
rf_density,A,24,-28,0.340568,,6.63731,108,True,274,8
rf_density,A,26,-28,0.357137,,6.55782,117,True,274,8
rf_density,A,28,-28,0.368284,,6.46787,125,True,274,8
rf_density,A,30,-28,0.373393,,6.37849,127,True,274,8
rf_density,A,32,-28,0.372156,,6.299,123,True,274,8
rf_density,A,34,-28,0.364604,,6.23662,121,True,274,8
rf_density,A,36,-28,0.351119,,6.19656,115,True,274,8
rf_density,A,38,-28,0.332395,,6.18211,105,True,274,8
rf_density,A,40,-28,0.309385,,6.19482,96,True,274,8
rf_density,A,42,-28,0.283214,,6.23459,83,True,274,8
rf_density,A,44,-28,0.255083,,6.29947,75,True,274,8
rf_density,A,46,-28,0.226174,,6.38541,62,True,274,8
rf_density,A,48,-28,0.197568,,6.48567,54,True,274,8
rf_density,A,50,-28,0.17018,,6.59025,49,True,274,8
rf_density,A,52,-28,0.14472,,6.68521,42,True,274,8
rf_density,A,54,-28,0.12168,,6.7525,37,True,274,8
rf_density,A,56,-28,0.101333,,6.77061,27,True,274,8
rf_density,A,58,-28,0.0837664,,6.71707,22,True,274,8
rf_density,A,60,-28,,,6.57297,18,False,274,8
rf_density,A,62,-28,,,6.32951,13,False,274,8
rf_density,A,64,-28,,,5.99377,7,False,274,8
rf_density,A,66,-28,,,5.59024,7,False,274,8
rf_density,A,68,-28,,,5.15547,7,False,274,8
rf_density,A,70,-28,,,4.72772,5,False,274,8
rf_density,A,72,-28,,,4.33712,4,False,274,8
rf_density,A,74,-28,,,4.00084,4,False,274,8
rf_density,A,76,-28,,,3.72395,4,False,274,8
rf_density,A,78,-28,,,3.5031,4,False,274,8
rf_density,A,80,-28,,,3.33067,4,False,274,8
rf_density,A,82,-28,,,3.19776,4,False,274,8
rf_density,A,84,-28,,,3.09591,2,False,274,8
rf_density,A,86,-28,,,3.01785,1,False,274,8
rf_density,A,88,-28,,,2.9577,1,False,274,8
rf_density,A,90,-28,,,2.91085,1,False,274,8
rf_density,A,10,-26,0.176077,,6.38817,59,True,274,8
rf_density,A,12,-26,0.205957,,6.59645,72,True,274,8
rf_density,A,14,-26,0.23715,,6.77045,84,True,274,8
rf_density,A,16,-26,0.268822,,6.9007,96,True,274,8
