site,subject_id,map,azimuth_deg,elevation_deg,estimate,estimate_log2,local_units,supported,source_units,source_probes
site2,816305,rf_density,10,-30,,,0,False,120,4
site2,816305,rf_density,12,-30,,,0,False,120,4
site2,816305,rf_density,14,-30,,,0,False,120,4
site2,816305,rf_density,16,-30,,,0,False,120,4
site2,816305,rf_density,18,-30,,,0,False,120,4
site2,816305,rf_density,20,-30,,,0,False,120,4
site2,816305,rf_density,22,-30,,,0,False,120,4
site2,816305,rf_density,24,-30,,,0,False,120,4
site2,816305,rf_density,26,-30,,,1,False,120,4
site2,816305,rf_density,28,-30,,,1,False,120,4
site2,816305,rf_density,30,-30,,,1,False,120,4
site2,816305,rf_density,32,-30,,,1,False,120,4
site2,816305,rf_density,34,-30,,,1,False,120,4
site2,816305,rf_density,36,-30,,,1,False,120,4
site2,816305,rf_density,38,-30,,,1,False,120,4
site2,816305,rf_density,40,-30,,,1,False,120,4
site2,816305,rf_density,42,-30,,,1,False,120,4
site2,816305,rf_density,44,-30,,,1,False,120,4
site2,816305,rf_density,46,-30,,,1,False,120,4
site2,816305,rf_density,48,-30,,,1,False,120,4
site2,816305,rf_density,50,-30,,,1,False,120,4
site2,816305,rf_density,52,-30,,,1,False,120,4
site2,816305,rf_density,54,-30,,,0,False,120,4
site2,816305,rf_density,56,-30,,,0,False,120,4
site2,816305,rf_density,58,-30,,,0,False,120,4
site2,816305,rf_density,60,-30,,,0,False,120,4
site2,816305,rf_density,62,-30,,,0,False,120,4
site2,816305,rf_density,64,-30,,,0,False,120,4
site2,816305,rf_density,66,-30,,,0,False,120,4
site2,816305,rf_density,68,-30,,,0,False,120,4
site2,816305,rf_density,70,-30,,,0,False,120,4
site2,816305,rf_density,72,-30,,,0,False,120,4
site2,816305,rf_density,74,-30,,,0,False,120,4
site2,816305,rf_density,76,-30,,,0,False,120,4
site2,816305,rf_density,78,-30,,,0,False,120,4
site2,816305,rf_density,80,-30,,,0,False,120,4
site2,816305,rf_density,82,-30,,,0,False,120,4
site2,816305,rf_density,84,-30,,,0,False,120,4
site2,816305,rf_density,86,-30,,,0,False,120,4
site2,816305,rf_density,88,-30,,,0,False,120,4
site2,816305,rf_density,90,-30,,,0,False,120,4
site2,816305,rf_density,10,-28,,,0,False,120,4
site2,816305,rf_density,12,-28,,,0,False,120,4
