site,probe,n_units,observed_rf_azimuth_deg,observed_rf_elevation_deg,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,residual_deg,declared_rank
site2,A,41,32.62123273203673,-11.5542499307018,207,221,32.571728,-11.327286,0.05472281671771159,2
site2,B,43,65.65173206025842,22.051248399856895,302,239,65.71205,22.254812,0.12467214208027311,0
site2,C,17,31.74985738256457,29.623796352691823,309,187,31.607765,29.632544,0.1836843033821051,1
site2,E,19,23.530341936438266,6.203987133602362,252,195,23.416622,6.3758726,0.05309538235048202,3
site3,A,45,23.434267883932982,-26.098279770459328,167,210,23.387959,-26.186857,0.14369444531724024,2
site3,B,79,71.07611945976855,-4.255908006195214,236,266,71.394585,-4.224028,0.2651678531699778,0
site3,C,72,37.99108436724727,19.322214086528213,288,205,38.11301,19.406618,0.09760566415637645,1
site3,E,15,14.99413322353596,-12.837681261614744,197,195,14.922307,-12.831521,0.12597007958515954,3
site4,A,28,32.122062228374226,-31.35784093745778,155,222,32.22749,-31.215078,0.07502277816719982,2
site4,B,28,79.84822591673024,-4.294051947446512,237,277,79.65865,-4.0337014,0.28594614684582864,0
site4,C,28,41.604176922680956,23.21608296205868,298,206,41.72431,23.093811,0.23217245175423099,1
site5,A,55,28.614780739623836,-19.124272054264967,185,217,28.892786,-19.380363,0.31053698532656887,2
site5,B,41,77.72901331645679,-1.2151232828843486,244,273,77.71683,-1.3719795,0.07628545399089429,0
site5,C,73,45.05332020399981,25.061589966937163,303,209,45.024002,25.280415,0.30911589215629615,1
site5,E,68,23.470154838879385,8.39191935211865,257,193,23.371603,8.280989,0.11879648998124956,3
site6,A,22,24.036207454693614,-24.50283224054789,170,211,24.071981,-24.74633,0.18530346260684002,2
site6,B,33,67.14402218640693,-0.5929832843711035,245,259,67.36184,-0.7613457,0.0280835869902463,0
site6,C,39,40.27056092387268,20.326250619001826,291,207,40.481438,20.219307,0.046062070000139434,1
site7,B,16,83.25573652963267,11.256997648325724,277,273,83.03115,11.188805,0.049083938422614826,0
site7,C,60,22.37520638389449,28.899099167698633,304,173,22.23037,28.77366,0.0490839384226109,1
site8,A,24,16.985017792043138,-28.59414833658639,160,200,16.852503,-28.646608,0.1833767028773944,2
site8,B,23,75.36474391204209,-9.004616383193037,222,274,75.73222,-9.0139675,0.3186270497449013,0
site8,C,31,24.889325108144618,15.222567255626725,274,189,24.901155,15.167509,0.04069705319733241,1
site9,A,49,29.46666411009527,-20.417047924349273,183,218,29.662632,-20.427328,0.04515753915424694,2
site9,B,22,70.03323533129908,5.325316316205021,259,259,70.19736,5.4107776,0.05659423122131877,0
site9,C,50,58.46770099746375,24.104185054442002,304,228,58.782623,24.038662,0.16890056424422062,1
site9,E,42,12.555474646084907,8.080633618634682,252,175,12.596503,8.175959,0.14962490362728997,3
