site,probe,n_units,dispersion_trace_deg2,log2_dispersion_trace,median_log2_rf_area,inferred_row,inferred_col
site2,A,41,297.6690291000981,8.217565314313184,8.423129114319604,217,211
site2,B,43,254.50445319831496,7.991547089890695,8.334440021000344,308,232
site2,C,17,280.56782533932846,8.132205764360329,8.105744157342677,313,191
site2,E,19,130.72328401070334,7.030372321994306,9.075315154725473,254,191
site3,A,45,114.94901909516544,6.844850344803603,8.675952303051266,150,206
site3,B,79,223.12774843491036,7.801726129802711,8.242632789760787,239,271
site3,C,72,270.87076943376235,8.081460905690928,8.572063615324817,285,206
site3,E,15,741.7017528963945,9.534695368378195,8.458205183341539,199,191
site4,A,28,328.51284798993703,8.35980598458078,8.959801017415955,151,199
site4,B,28,422.44581233327784,8.722622486692082,8.115704569104071,235,278
site4,C,28,192.99890021431423,7.592448816232456,8.71754779115044,294,189
site5,A,55,325.6428301094956,8.347146652041296,8.776703997510735,157,208
site5,B,41,612.0792340759674,9.257574612642578,8.322394007169786,233,282
site5,C,73,247.1958307974264,7.94951060074112,8.388861551114575,303,219
site5,E,68,400.80563066511576,8.646758965961487,8.13135090643931,254,198
site6,A,22,474.8266171626885,8.891256999590883,8.30996776310669,147,217
site6,B,33,880.3224130622557,9.781888189135472,8.573848502072742,231,283
site6,C,39,173.97514835757673,7.442737427446935,8.424618089520948,301,211
site7,B,16,364.0329150084519,8.507925091222319,8.62587008438678,197,276
site7,C,60,472.425011403462,8.883941536543109,8.070159710144974,288,163
site8,A,24,268.16631559267444,8.06698422127747,8.279560091300901,140,188
site8,B,23,424.48539709512073,8.729571113633547,8.659381265966193,202,278
site8,C,31,230.24993334681957,7.847056928457343,8.336805948572822,291,167
site9,A,49,390.58381609976345,8.609488361947895,8.4974284298336,169,217
site9,B,22,826.6348804961668,9.691106430401215,8.919666836421865,288,274
site9,C,50,516.1042850630583,9.011518798721742,8.487436126279944,304,228
site9,E,42,209.76092840615357,7.712602165858879,7.657378654106447,252,168
