unit_id,site,site_number,subject_id,probe,pilot_qc,default_qc,rf_baseline_spikes,rf_amplitude_spikes,rf_center_x_deg,rf_center_y_deg,rf_sigma_major_deg,rf_sigma_minor_deg,rf_theta_deg,rf_deviance,rf_null_deviance,rf_pseudo_r2,rf_lrt_p,rf_fit_success,rf_fit_evaluations,rf_center_on_screen,rf_split_half_r,rf_split_half_spearman_brown,rf_reliability_p,rf_presentations,rf_position_cells,rf_lrt_q,rf_reliability_q,rf_model_supported,supported_rf_center_x_deg,supported_rf_center_y_deg,azimuth_deg,elevation_deg,rf_area_deg2,log2_rf_area,inferred_row,inferred_col
2000432,site2,2,816305,A,True,True,3.928023,2.931297,19.83945,-8.969349,15.91945,6.020618,37.79197,173.7671,460.1677,0.6223831,6.696224e-59,True,13,True,0.8335056,0.9091934,2.3573150000000003e-22,4860,81,3.048177e-58,1.706213e-21,True,19.83945,-8.969349,67.66824646972657,-10.494869218963622,301.10571923851455,8.234126300821973,218,264
2000457,site2,2,816305,A,True,True,6.259271,5.652336,-9.042039,33.2887,11.49613,5.620883,83.26338,1405.219,1870.719,0.2488348,2.261702e-97,True,31,True,0.729103,0.8433309,5.929477e-15,4860,81,1.3488830000000001e-96,2.925777e-14,True,-9.042039,33.2887,38.78675746972656,31.763179781036378,203.0046960133674,7.665369290765649,316,195
2000465,site2,2,816305,A,True,True,0.02989402,0.2148609,-30.41281,4.638015,11.81931,6.73054,52.81902,135.8972,223.0062,0.3906123,1.206432e-16,True,27,True,0.2743516,0.4305745,0.006596004,4860,81,3.274601e-16,0.01467611,True,-30.41281,4.638015,17.415986469726562,3.1124947810363777,249.91475973657947,7.965292297961884,240,189
2000466,site2,2,816305,A,True,True,0.02201371,2.813877,-33.66726,-10.08269,9.400946,7.829473,-38.65111,104.9205,2628.654,0.9600858,0.0,True,13,True,0.9640295,0.9816854,1.604901e-47,4860,81,0.0,4.674638e-46,True,-33.66726,-10.08269,14.161536469726563,-11.608210218963622,231.23520844388452,7.853217272648367,200,193
2000473,site2,2,816305,A,True,True,0.9894213,12.22459,-22.0979,-8.943248,13.25815,11.64673,10.7037,259.7807,10050.87,0.9741534,0.0,True,9,True,0.9690731,0.9842937,4.525498e-50,4860,81,0.0,1.6472849999999998e-48,True,-22.0979,-8.943248,25.730896469726563,-10.468768218963623,485.10618127751775,8.922156752407034,206,211
2000484,site2,2,816305,A,True,True,0.4218862,2.773479,-17.22079,-14.17855,8.260455,7.349126,25.53575,274.1491,1138.304,0.75916,2.104868e-183,True,15,True,0.8853564,0.9391926,2.657647e-28,4860,81,1.880688e-182,2.68333e-27,True,-17.22079,-14.17855,30.60800646972656,-15.704070218963622,190.71705670265604,7.5752900660416325,194,219
2000487,site2,2,816305,A,True,True,0.1921971,2.472242,-15.95567,-12.02218,7.531224,6.251816,4.59583,98.356,975.2232,0.8991451,3.7623599999999994e-186,True,11,True,0.9060484,0.9507087,1.539635e-31,4860,81,3.3995609999999997e-185,1.822534e-30,True,-15.95567,-12.02218,31.873126469726564,-13.547700218963623,147.91820407236114,7.208655803461087,202,220
2000492,site2,2,816305,A,True,True,0.009432398,0.2924072,-28.71859,-9.355437,6.506065,4.862921,67.00955,95.91034,204.7913,0.5316679,3.49594e-21,True,38,True,0.5708336,0.7267907,1.317029e-08,4860,81,1.0215799999999999e-20,4.620177e-08,True,-28.71859,-9.355437,19.110206469726563,-10.880957218963623,99.39521670274823,6.635104520062553,203,201
2000499,site2,2,816305,A,True,True,2.229151,0.7988519,-9.785769,4.367321,42.48059,8.139677,-22.62033,224.5221,323.5513,0.3060695,3.9999959999999997e-19,True,41,True,0.5194493,0.6837336,3.365111e-07,4860,81,1.131058e-18,1.088339e-06,True,-9.785769,4.367321,38.04302746972656,2.841800781036377,1086.2945085211056,10.085199574159466,247,220
2000500,site2,2,816305,A,True,True,0.07058484,0.3184072,-13.09883,-6.493507,11.75398,7.015508,-47.1608,89.37942,195.0758,0.5418222,1.620973e-20,True,19,True,0.2741615,0.4303403,0.006629109,4860,81,4.699648e-20,0.01474294,True,-13.09883,-6.493507,34.72996646972656,-8.019027218963622,259.05617230571306,8.017121147610004,217,222
