site,probe,n_units,fit_loss,p0_row,p0_col,p1_row,p1_col,shank_length_px,rf_span_estimated_angle_deg,expected_shank_length_px
site2,A,41,18.368248711102034,211.90718194013098,227.85253068644755,237.89518410450987,179.5953827166347,54.8099314602397,48.65290007330955,62.908998149543294
site2,B,43,18.390084296448006,146.41437445359682,379.00000004738945,302.90439948047276,341.37727026979763,160.94905320886468,58.753204136229805,179.96997444967704
site2,C,17,54.536934588794196,287.95361542220166,108.2491455528612,302.8161899893055,140.21574050618761,35.25279160113076,23.9064511035988,35.302769138622494
site2,E,19,12.862105089484402,194.28225389817857,289.99999999783506,206.26179001865205,238.57811119099676,52.798863000301154,18.38126636594893,71.02506719541579
site3,A,45,13.209858184239723,189.4466233625784,122.93581450830243,228.93764319894206,141.1707463201575,43.49774000909784,48.16190529628043,54.65387242996172
site3,B,79,18.735116858097637,275.21061003413007,130.35143441639303,275.4671352724381,206.04036235660283,75.6893626471789,55.84589119786112,116.22673863043028
site3,C,72,19.501541181659864,197.04300179808467,317.53038311914656,226.77138904832418,241.36923306486665,81.75755491751661,60.62747155712455,177.04847050004759
site3,E,15,22.4464417205287,248.03581758557158,205.99999955398,190.0290166131937,147.60391904335043,82.30972711686626,37.24752475494795,131.55778320426174
site4,A,28,21.596624426105603,220.13327890699372,147.75950276037827,223.11020336608277,112.73054509375893,35.155226559431135,26.863636624026693,34.8565133890579
site4,B,28,24.863620168968687,245.25259349721642,269.5836935554996,306.86173535228056,195.4983645535988,96.35518840953662,31.38439046188224,154.3513837490577
site4,C,28,14.007172008833757,195.52003699448983,312.39797629663155,227.58624132223014,283.3801873717938,43.24665922443985,53.723458916626335,58.37173660351067
site5,A,55,18.408551533244545,206.70931647180618,186.0978078344608,233.67528523884113,122.6340611959047,68.95513475403804,61.18723597062378,82.06778305403809
site5,B,41,26.82110145550635,267.3969290991392,144.37534727220867,300.0000068405203,227.53628521870357,89.32358187148182,48.48620670683494,111.77891112500967
site5,C,73,35.918704798650005,247.14881586339965,80.95706508335282,324.67213992579036,171.7115260700348,119.35760538258813,60.14288052852727,149.98308527445943
site5,E,68,24.727709311265635,251.24112429680162,376.92960804147253,204.9370274579082,198.4122806142591,184.42479653186703,62.83774568088918,262.07698905501826
site6,A,22,22.338055264175104,190.00000026346993,242.00000049861737,217.38115696414553,147.48663090318757,98.39971938247214,19.142624230519544,77.04600141256302
site6,B,33,26.625376774882255,190.2504510481524,283.32729566110226,281.89320157900386,236.32716701916925,102.99226095789007,14.793679353334031,64.83180062021717
site6,C,39,15.900264637232613,195.19974736478207,306.7647759763808,226.8484319608292,265.5581980493851,51.9578800675474,57.87314609964943,73.05961583553824
site7,B,16,32.25669239153063,309.119491399975,238.84682526597328,297.98838111516886,220.99999655090124,21.03356630145342,19.81088374965221,19.351277106725874
site7,C,60,30.259759793304983,298.59934241319513,205.04634922144885,274.2381091474531,88.95343257328507,118.62139344193103,63.67933743459914,184.71002814118947
site8,A,24,18.785722477398323,201.2249558400347,198.03867727171473,169.19919219446422,138.53594980065918,67.57384193293034,56.11182072820998,100.76025117492689
site8,B,23,23.853019103515855,366.2896251582755,204.11435324747754,277.52797477842086,163.44525540462865,97.63506592155693,59.33790486422272,131.24702109078368
site8,C,31,20.816119485436072,238.6465474036125,304.318683835227,80.75178630705199,255.6730750301584,165.21849423643735,45.71690961187184,77.21803989000801
site9,A,49,18.774021253796118,201.67873203004774,181.1876966336862,223.0941974945021,109.49121619912563,74.82651580664813,54.16863733511023,68.16677706429233
site9,B,22,30.447228523345288,199.9999983364657,204.34310057779177,283.6181243469713,242.4485381101709,91.89132367662813,18.26903159280221,86.53287622917418
site9,C,50,44.29093344327534,243.41572507925656,203.21820819460584,377.01115536698217,246.99999989406155,140.58657218303986,54.106048362375375,142.87189096468876
site9,E,42,21.35245816103198,258.720341458458,260.0000003586907,104.92106864242557,186.16338629081758,170.6049878982101,64.14202626135216,155.42562712498085
