site,probe,thickness_um,band_start_um,band_end_um,ratio_to_allen,estimated_angle_from_vertical_deg,n_trials
site2,A,680.0,2520.0,3200.0,1.0,0.0,300
site2,B,760.0,1680.0,2440.0,1.1176470588235294,26.525352016609688,300
site2,C,480.0,2560.0,3040.0,0.7058823529411765,0.0,300
site2,E,360.0,2080.0,2440.0,0.5294117647058824,0.0,300
site3,A,720.0,2360.0,3080.0,1.0588235294117647,19.18813645372093,300
site3,B,760.0,2040.0,2800.0,1.1176470588235294,26.525352016609688,300
site3,C,760.0,2040.0,2800.0,1.1176470588235294,26.525352016609688,300
site3,E,440.0,2640.0,3080.0,0.6470588235294118,0.0,300
site4,A,760.0,2360.0,3120.0,1.1176470588235294,26.525352016609688,300
site4,B,440.0,2680.0,3120.0,0.6470588235294118,0.0,300
site4,C,400.0,2800.0,3200.0,0.5882352941176471,0.0,300
site4,E,520.0,2640.0,3160.0,0.7647058823529411,0.0,300
site5,A,680.0,2320.0,3000.0,1.0,0.0,300
site5,B,560.0,2640.0,3200.0,0.8235294117647058,0.0,300
site5,C,360.0,2120.0,2480.0,0.5294117647058824,0.0,300
site5,E,400.0,2600.0,3000.0,0.5882352941176471,0.0,300
site6,A,400.0,2520.0,2920.0,0.5882352941176471,0.0,300
site6,B,440.0,2440.0,2880.0,0.6470588235294118,0.0,300
site6,C,360.0,1520.0,1880.0,0.5294117647058824,0.0,300
site6,E,400.0,2640.0,3040.0,0.5882352941176471,0.0,300
site7,A,520.0,2360.0,2880.0,0.7647058823529411,0.0,300
site7,B,760.0,2200.0,2960.0,1.1176470588235294,26.525352016609688,300
site7,C,280.0,1920.0,2200.0,0.4117647058823529,0.0,300
site7,E,760.0,2000.0,2760.0,1.1176470588235294,26.525352016609688,300
site8,A,560.0,2560.0,3120.0,0.8235294117647058,0.0,300
site8,B,480.0,1960.0,2440.0,0.7058823529411765,0.0,300
site8,C,400.0,2480.0,2880.0,0.5882352941176471,0.0,300
site8,E,760.0,2440.0,3200.0,1.1176470588235294,26.525352016609688,300
site9,A,360.0,2760.0,3120.0,0.5294117647058824,0.0,300
site9,B,400.0,2760.0,3160.0,0.5882352941176471,0.0,300
site9,C,400.0,2680.0,3080.0,0.5882352941176471,0.0,300
site9,E,760.0,1960.0,2720.0,1.1176470588235294,26.525352016609688,300
