ecephys_probe_id,ecephys_session_id,session_type,probe_letter,n_units,primary_structure,n_structures_traversed,angle_from_vertical_deg,azimuth_from_anterior_deg,r2_colinearity,ccf_3d_path_length_um,depth_range_um
810755797,715093703,brain_observatory_1.1,probeA,237,APN,4,25.6124,53.1333,0.9977,3273.5047,3080.0000
729445648,719161530,brain_observatory_1.1,probeA,233,VISam,4,19.6094,42.4105,0.9975,3323.8156,3180.0000
760213137,721123822,brain_observatory_1.1,probeA,156,VISam,5,32.2958,39.6419,0.9996,2939.5891,2740.0000
769325777,743475441,brain_observatory_1.1,probeA,272,APN,4,23.3314,52.3994,0.9985,3037.9067,2700.0000
757904508,744228101,brain_observatory_1.1,probeA,323,VIS,4,26.1805,43.2491,0.9991,2833.0984,2620.0000
769322802,750749662,brain_observatory_1.1,probeA,347,VISam,6,20.6244,35.5479,0.9912,3151.5766,3220.0000
757984813,751348571,brain_observatory_1.1,probeA,319,VISam,5,20.2201,34.2810,0.9954,3386.8359,3120.0000
756781553,754312389,brain_observatory_1.1,probeA,211,VISam,5,23.7543,44.2951,0.9974,2635.0600,2340.0000
760640033,754829445,brain_observatory_1.1,probeA,330,APN,6,22.1733,25.6032,0.9938,3281.4757,3300.0000
760642621,755434585,brain_observatory_1.1,probeA,250,VISam,5,29.6042,48.5534,0.9996,2937.3166,2940.0000
760640083,756029989,brain_observatory_1.1,probeA,291,VISam,3,23.0824,45.2082,0.9945,3261.0533,2840.0000
769322745,757216464,brain_observatory_1.1,probeA,318,VISam,6,25.5084,54.3730,0.9931,3344.9614,3260.0000
769322852,757970808,brain_observatory_1.1,probeA,478,CA1,8,29.3103,59.6548,0.9929,3299.9528,3020.0000
770930067,758798717,brain_observatory_1.1,probeA,363,CA1,8,27.0168,50.3959,0.9947,2785.1958,2560.0000
769322785,759883607,brain_observatory_1.1,probeA,338,VISam,7,31.9133,50.0591,0.9875,2781.3983,2780.0000
810753195,760345702,brain_observatory_1.1,probeA,177,VISam,4,26.7544,47.2213,0.9988,2623.2652,2620.0000
768908579,761418226,brain_observatory_1.1,probeA,228,VISrl,4,26.0292,35.6328,0.9962,2906.1558,2660.0000
768909178,762602078,brain_observatory_1.1,probeA,253,VISam,4,28.4854,38.2256,0.9931,2873.0925,2760.0000
773463013,763673393,brain_observatory_1.1,probeA,263,VISam,4,22.4601,55.2220,0.9977,3080.8591,2980.0000
773592315,766640955,functional_connectivity,probeA,316,VISam,5,24.3724,58.4045,0.9975,3122.4210,3020.0000
773462985,767871931,functional_connectivity,probeA,250,VISam,5,27.9163,47.0053,0.9969,3039.5573,2900.0000
773549842,768515987,functional_connectivity,probeA,284,VISam,5,28.3565,62.5017,0.9922,3091.6779,2760.0000
773621937,771160300,functional_connectivity,probeA,386,VISam,6,33.1530,55.4697,0.9943,2420.2318,2240.0000
773654723,771990200,functional_connectivity,probeA,157,VISam,4,20.6516,39.3890,0.9956,2961.8301,2900.0000
792676154,773418906,brain_observatory_1.1,probeA,59,VISam,3,17.2414,47.1527,0.9942,1404.5707,1420.0000
792602650,774875821,functional_connectivity,probeA,300,VISam,6,21.1384,33.5914,0.9854,2627.3547,2300.0000
792607545,778240327,functional_connectivity,probeA,323,CA1,5,24.3603,63.1761,0.9798,2376.2167,2460.0000
792626841,778998620,functional_connectivity,probeA,303,VISam,4,22.5067,45.1468,0.9982,2461.8972,2720.0000
792645490,779839471,functional_connectivity,probeA,271,VISam,6,29.5503,39.5588,0.9974,2758.2460,2700.0000
792586876,781842082,functional_connectivity,probeA,252,VISam,5,24.2789,40.7395,0.9891,2891.9483,2640.0000
792623916,786091066,functional_connectivity,probeA,204,VISam,4,28.0684,47.2384,0.9790,2497.8168,2480.0000
792586836,787025148,functional_connectivity,probeA,352,CA1,7,27.1825,36.7131,0.9981,2948.3331,2720.0000
805002027,789848216,functional_connectivity,probeA,224,VISam,6,25.0088,14.5001,0.9804,2742.0602,2880.0000
805008600,791319847,brain_observatory_1.1,probeA,129,VISam,4,29.4506,61.1649,0.9915,2346.5404,2560.0000
805124802,793224716,functional_connectivity,probeA,224,CA1,4,23.2275,26.3657,0.9989,2287.7856,2300.0000
810758777,794812542,functional_connectivity,probeA,418,VISam,7,18.8041,35.0993,0.9969,2402.2565,2560.0000
