ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_vis_units,dv_thickness_um,dv_range_minmax_um
729445648,719161530,probeA,VISam,85,613.4000,697.0000
729445650,719161530,probeB,VISpm,50,580.5000,674.0000
729445652,719161530,probeC,VISp,112,493.0000,628.0000
729445654,719161530,probeD,VISl,83,332.4000,461.0000
729445656,719161530,probeE,VISal,30,339.0000,391.0000
729445658,719161530,probeF,VISrl,36,208.5000,434.0000
756781553,754312389,probeA,VISam,115,499.8000,601.0000
756781555,754312389,probeB,VISpm,63,574.8000,700.0000
756781557,754312389,probeC,VISp,202,518.2000,605.0000
756781559,754312389,probeD,VISl,26,235.0000,259.0000
756781561,754312389,probeE,VISal,73,394.8000,473.0000
756781563,754312389,probeF,VISrl,82,414.0000,545.0000
757904508,744228101,probeA,VIS,146,567.0000,700.0000
757904510,744228101,probeB,VIS,122,543.0000,654.0000
757904513,744228101,probeC,VISp,97,623.0000,726.0000
757904516,744228101,probeD,VISl,120,349.2500,405.0000
757904520,744228101,probeE,VISal,90,186.7500,301.0000
757904522,744228101,probeF,VISrl,70,599.0000,660.0000
757904554,750332458,probeD,VISl,103,551.0000,658.0000
757984813,751348571,probeA,VISam,135,541.0000,745.0000
757984818,751348571,probeB,VISpm,87,526.0000,659.0000
757984820,751348571,probeC,VISp,119,744.0000,828.0000
757984822,751348571,probeD,VISl,56,455.0000,603.0000
757984826,751348571,probeE,VISrl,106,422.0000,599.0000
757984830,751348571,probeF,VISrl,125,546.0000,692.0000
760213137,721123822,probeA,VISam,92,409.7000,491.0000
760213142,721123822,probeB,VIS,97,451.8000,557.0000
760213145,721123822,probeC,VISp,110,622.5000,714.0000
760213147,721123822,probeD,VISl,95,549.0000,634.0000
760213150,721123822,probeE,VISal,139,295.5000,328.0000
760213153,721123822,probeF,VISrl,89,449.4000,504.0000
760640033,754829445,probeA,VISam,97,506.2000,625.0000
760640037,754829445,probeB,VISpm,53,491.6000,640.0000
760640039,754829445,probeC,VISp,141,534.0000,653.0000
760640043,754829445,probeE,VISrl,88,354.2000,434.0000
760640049,754829445,probeF,VISp,54,503.7500,603.0000
760640083,756029989,probeA,VISam,133,534.4000,600.0000
760640087,756029989,probeB,VISpm,158,577.0000,664.0000
760640090,756029989,probeC,VISp,140,624.6000,739.0000
760640094,756029989,probeD,VISl,98,631.0000,723.0000
760640097,756029989,probeE,VISal,104,454.0000,499.0000
760640104,756029989,probeF,VISrl,59,482.2000,532.0000
760642621,755434585,probeA,VISam,172,519.0000,689.0000
760642624,755434585,probeB,VISpm,131,585.5000,769.0000
760642628,755434585,probeC,VISp,184,830.0000,967.0000
760642631,755434585,probeD,VISl,110,628.5000,695.0000
760642634,755434585,probeE,VISal,89,519.6000,586.0000
760647913,746083955,probeE,VISal,75,430.8000,537.0000
768908579,761418226,probeA,VISrl,129,538.2000,672.0000
768908582,761418226,probeB,VISpm,114,530.0000,682.0000
768908585,761418226,probeC,VISp,80,503.0000,583.0000
768908587,761418226,probeD,VISal,190,664.0000,812.0000
768908589,761418226,probeE,VISal,148,610.1500,827.0000
768908591,761418226,probeF,VISrl,111,507.5000,646.0000
768909178,762602078,probeA,VISam,119,515.0000,665.0000
768909180,762602078,probeB,VISmmp,72,358.1500,433.0000
768909182,762602078,probeC,VISp,164,626.6500,743.0000
768909184,762602078,probeD,VIS,73,373.2000,478.0000
768909186,762602078,probeE,VIS,159,450.4000,525.0000
768909188,762602078,probeF,VISrl,133,367.2000,501.0000
769322745,757216464,probeA,VISam,122,562.0000,694.0000
769322747,757216464,probeB,VIS,112,506.4000,654.0000
769322749,757216464,probeC,VISp,205,715.0000,878.0000
769322751,757216464,probeD,VISl,126,381.0000,489.0000
