ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_units,n_visp_units_other_probes,dist_entry_to_v1_um,dist_tip_to_v1_um,delta_um
810755797,715093703,probeA,APN,237,135,1420.9729,1625.5113,204.5385
769325777,743475441,probeA,APN,272,113,1704.6226,1626.5380,-78.0846
760640033,754829445,probeA,APN,330,195,1192.5848,1020.9571,-171.6277
770930071,758798717,probeB,APN,223,147,1323.6787,1154.9520,-168.7267
773462999,767871931,probeF,APN,273,201,1325.3195,1627.2179,301.8984
773654734,771990200,probeF,APN,212,163,1518.9487,1648.3634,129.4147
792645504,779839471,probeF,APN,247,241,1594.7928,1426.4629,-168.3299
792586840,787025148,probeB,APN,144,168,1360.6683,1515.3691,154.7009
792586852,787025148,probeF,APN,220,168,1503.3747,1550.2017,46.8271
805124815,793224716,probeF,APN,282,176,1923.9974,1774.3774,-149.6200
729445654,719161530,probeD,CA1,322,112,1973.2523,1497.2123,-476.0401
729445658,719161530,probeF,CA1,100,112,1429.3137,756.0898,-673.2239
756781559,754312389,probeD,CA1,117,202,1389.1655,776.1570,-613.0085
769322852,757970808,probeA,CA1,478,193,1561.1550,2244.2528,683.0978
770930067,758798717,probeA,CA1,363,147,1459.6186,1450.6757,-8.9429
773592318,766640955,probeB,CA1,400,119,1228.6558,1794.5702,565.9144
773621939,771160300,probeB,CA1,269,171,654.9747,1240.9829,586.0081
773621950,771160300,probeF,CA1,306,171,871.6309,1750.3557,878.7248
792607545,778240327,probeA,CA1,323,172,1075.2022,1485.7663,410.5640
792586836,787025148,probeA,CA1,352,168,1461.7649,1390.9019,-70.8629
805002029,789848216,probeB,CA1,186,44,1616.8419,2024.0728,407.2309
805124802,793224716,probeA,CA1,224,176,1605.0442,1327.0220,-278.0222
805124804,793224716,probeB,CA1,244,176,1788.5918,1908.0161,119.4243
805124809,793224716,probeD,CA1,346,176,1887.2850,1578.0457,-309.2393
800036202,798911424,probeD,CA1,298,200,1695.9308,1631.4153,-64.5155
805579706,799864342,probeD,CA1,262,155,1667.4789,1664.5743,-2.9046
837761708,835479236,probeB,CA1,227,159,1546.3710,1707.5584,161.1874
848037568,847657808,probeA,CA1,523,122,1748.6929,1597.5120,-151.1809
805579753,797828357,probeF,DG,201,190,1873.5993,1110.6979,-762.9014
760640037,754829445,probeB,Eth,329,195,986.2023,1357.0821,370.8797
805002037,789848216,probeF,LD,212,44,2079.2003,1952.0773,-127.1230
729445656,719161530,probeE,LGd,307,112,1952.2251,997.5061,-954.7190
769322810,750749662,probeE,LGd,423,143,1575.5738,1418.1093,-157.4645
760640049,754829445,probeF,LGd,264,141,1616.6136,665.2225,-951.3911
760642634,755434585,probeE,LGd,299,184,1473.0057,1189.0460,-283.9596
760640097,756029989,probeE,LGd,367,140,2037.9097,1436.3438,-601.5659
773654732,771990200,probeE,LGd,369,163,1477.5593,1125.2993,-352.2600
805579710,799864342,probeE,LGd,352,155,1633.5983,1053.2664,-580.3319
810755805,715093703,probeE,LP,406,135,1437.0853,1553.1960,116.1106
757904522,744228101,probeF,LP,318,97,2328.0224,1442.9990,-885.0235
757984818,751348571,probeB,LP,319,119,1368.3217,1210.7116,-157.6101
760640039,754829445,probeC,LP,447,54,1562.6476,1448.8927,-113.7549
868297131,840012044,probeE,MGd,524,137,1498.3529,345.5513,-1152.8016
810758785,794812542,probeE,MGv,399,226,1847.2103,937.7004,-909.5099
769322753,757216464,probeE,PO,440,205,1586.4856,1827.0551,240.5695
729445650,719161530,probeB,POL,403,112,751.8018,871.7906,119.9887
760213142,721123822,probeB,VIS,177,110,1213.3470,1342.3952,129.0481
757904508,744228101,probeA,VIS,323,97,2134.5182,1628.8701,-505.6481
757904510,744228101,probeB,VIS,311,97,1533.9006,1810.2129,276.3123
769322747,757216464,probeB,VIS,311,205,1302.7110,1811.2466,508.5357
768909184,762602078,probeD,VIS,142,164,1803.7848,1144.0500,-659.7348
768909186,762602078,probeE,VIS,242,164,1914.6389,887.8900,-1026.7489
773463023,763673393,probeE,VIS,405,145,1661.6318,422.3993,-1239.2325
792645499,779839471,probeD,VIS,362,241,1518.5703,1089.9860,-428.5843
792645501,779839471,probeE,VIS,503,241,1431.8928,728.4152,-703.4776
836943721,816200189,probeE,VIS,344,168,1834.2216,1800.6037,-33.6179
868929140,839068429,probeE,VIS,276,178,1604.2603,584.7455,-1019.5148
760213150,721123822,probeE,VISal,236,110,2189.5871,1374.4871,-815.1000
757904520,744228101,probeE,VISal,234,97,2226.9216,1619.8486,-607.0730
756781561,754312389,probeE,VISal,171,202,1654.1787,1061.3305,-592.8482
769322860,757970808,probeE,VISal,389,193,1368.1264,1728.1705,360.0441
770930077,758798717,probeE,VISal,385,147,1790.6188,551.3095,-1239.3093
769322797,759883607,probeE,VISal,426,182,1660.8083,724.1214,-936.6869
810753203,760345702,probeE,VISal,350,155,1747.0212,287.4117,-1459.6095
768908587,761418226,probeD,VISal,246,80,1367.6836,1104.1603,-263.5234
768908589,761418226,probeE,VISal,379,80,1557.6971,405.2963,-1152.4007
773592328,766640955,probeE,VISal,531,119,1443.5287,873.8353,-569.6933
773462997,767871931,probeE,VISal,324,201,1758.9424,743.4386,-1015.5038
773549852,768515987,probeE,VISal,500,159,2059.1245,883.7950,-1175.3295
773621948,771160300,probeE,VISal,508,171,1662.0203,353.6316,-1308.3887
792676160,773418906,probeD,VISal,307,135,1869.5244,1473.3704,-396.1540
792676162,773418906,probeE,VISal,503,135,1906.4633,915.7130,-990.7503
792602658,774875821,probeE,VISal,422,196,1465.6995,521.5377,-944.1618
792607557,778240327,probeE,VISal,345,172,1769.4468,702.0436,-1067.4032
792626853,778998620,probeE,VISal,410,174,2114.7021,820.5113,-1294.1908
792586883,781842082,probeD,VISal,279,174,1924.4847,2194.5918,270.1071
792586887,781842082,probeE,VISal,423,174,2460.9287,1743.9311,-716.9976
792623925,786091066,probeD,VISal,198,171,1407.6786,1248.3597,-159.3189
792623928,786091066,probeE,VISal,383,171,1479.7467,704.0614,-775.6853
792586848,787025148,probeE,VISal,400,168,1954.1427,666.3221,-1287.8206
805008608,791319847,probeE,VISal,331,190,1897.5936,1054.1489,-843.4447
805124812,793224716,probeE,VISal,366,176,2135.3083,989.5434,-1145.7649
805579749,797828357,probeE,VISal,333,190,2095.5907,998.6495,-1096.9412
800036204,798911424,probeE,VISal,364,200,1888.6332,1140.8105,-747.8227
832129159,829720705,probeE,VISal,209,121,2341.9116,1253.9464,-1087.9653
832810582,831882777,probeE,VISal,133,130,1948.6818,1321.5389,-627.1429
837761714,835479236,probeE,VISal,181,159,2550.2684,1956.4269,-593.8415
846401841,839557629,probeE,VISal,200,151,2149.4040,925.0988,-1224.3052
848037576,847657808,probeE,VISal,300,122,1564.9904,772.6050,-792.3854
729445648,719161530,probeA,VISam,233,112,1057.6364,889.6467,-167.9897
760213137,721123822,probeA,VISam,156,110,1455.2829,1165.7012,-289.5817
769322802,750749662,probeA,VISam,347,143,1960.1361,1498.2030,-461.9330
757984813,751348571,probeA,VISam,319,119,1477.8499,1029.3503,-448.4996
756781553,754312389,probeA,VISam,211,202,1238.4629,1181.0653,-57.3976
760642621,755434585,probeA,VISam,250,184,1486.2143,1522.8152,36.6009
760640083,756029989,probeA,VISam,291,140,1723.2992,1416.4831,-306.8161
769322745,757216464,probeA,VISam,318,205,1517.9299,1752.3767,234.4468
769322785,759883607,probeA,VISam,338,182,1412.3705,1712.5968,300.2263
810753195,760345702,probeA,VISam,177,155,1245.3338,1163.2317,-82.1022
768909178,762602078,probeA,VISam,253,164,1721.1478,1298.5725,-422.5754
773463013,763673393,probeA,VISam,263,145,1002.2048,1442.8922,440.6874
773463015,763673393,probeB,VISam,156,145,1144.2993,1321.8440,177.5447
773592315,766640955,probeA,VISam,316,119,1188.5124,1735.0656,546.5532
773462985,767871931,probeA,VISam,250,201,1502.0369,1399.3593,-102.6776
773549842,768515987,probeA,VISam,284,159,1152.8690,1535.6266,382.7576
773621937,771160300,probeA,VISam,386,171,905.3583,1515.7231,610.3648
773654723,771990200,probeA,VISam,157,163,1717.4115,1541.3465,-176.0650
792676154,773418906,probeA,VISam,59,135,1403.1754,1302.5985,-100.5769
792602650,774875821,probeA,VISam,300,196,1350.1696,1384.7499,34.5803
792626841,778998620,probeA,VISam,303,174,1388.3663,1248.9321,-139.4343
792645490,779839471,probeA,VISam,271,241,1579.5791,1579.8796,0.3005
792586876,781842082,probeA,VISam,252,174,2146.1945,1612.1614,-534.0331
792623916,786091066,probeA,VISam,204,171,1513.4722,1520.8863,7.4141
805002027,789848216,probeA,VISam,224,44,2242.5158,1680.6968,-561.8189
805008600,791319847,probeA,VISam,129,190,1508.4739,1510.5609,2.0870
810758777,794812542,probeA,VISam,418,226,1367.3658,1128.1973,-239.1685
805579734,797828357,probeA,VISam,204,190,1639.3126,1711.9946,72.6820
800036196,798911424,probeA,VISam,332,200,1543.1757,1316.8267,-226.3490
800036198,798911424,probeB,VISam,240,200,1325.4890,1538.6074,213.1184
805579698,799864342,probeA,VISam,138,155,1452.9683,1144.2683,-308.7000
836943713,816200189,probeA,VISam,270,168,1268.9804,1093.0923,-175.8882
832129149,829720705,probeA,VISam,188,121,1556.5868,1397.0176,-159.5692
832810573,831882777,probeA,VISam,248,130,1539.1008,1150.5217,-388.5791
841435557,839068429,probeA,VISam,294,178,1506.6906,1393.9434,-112.7472
846401828,839557629,probeA,VISam,239,151,1251.8107,1287.1421,35.3314
841431754,840012044,probeA,VISam,241,137,1100.8706,1250.2144,149.3438
810755803,715093703,probeD,VISl,349,135,1589.7881,976.4848,-613.3034
760213147,721123822,probeD,VISl,159,110,1488.2017,1037.2727,-450.9290
