session,session_type,n_probes,AP_um,DV_um,LR_um,residual_um
715093703,brain_observatory_1.1,5,7741.27,3344.27,7389.63,494.18
719161530,brain_observatory_1.1,6,7950.28,3146.27,7621.94,816.27
721123822,brain_observatory_1.1,6,7796.46,3036.55,7685.86,583.05
743475441,brain_observatory_1.1,6,7807.91,3740.49,7455.82,637.20
744228101,brain_observatory_1.1,6,7708.30,3850.30,7339.71,610.88
750749662,brain_observatory_1.1,6,7442.35,4100.88,7270.68,419.91
751348571,brain_observatory_1.1,6,8026.97,3712.56,7553.27,493.25
754312389,brain_observatory_1.1,6,7809.08,3661.97,7734.31,573.70
754829445,brain_observatory_1.1,5,7587.35,3483.12,7332.79,459.20
755434585,brain_observatory_1.1,5,8199.32,4092.21,7466.39,649.27
756029989,brain_observatory_1.1,6,7892.31,3882.36,7156.64,579.94
757216464,brain_observatory_1.1,6,7934.81,3830.41,7209.05,579.10
757970808,brain_observatory_1.1,5,7929.89,3759.63,7260.70,597.23
758798717,brain_observatory_1.1,4,8209.74,3636.63,7274.69,533.30
759883607,brain_observatory_1.1,4,8072.63,3786.19,6917.67,598.82
760345702,brain_observatory_1.1,5,7626.13,3181.22,7859.25,692.61
761418226,brain_observatory_1.1,6,7876.40,3070.26,7904.73,703.68
762602078,brain_observatory_1.1,6,8289.06,3747.07,7473.22,709.10
763673393,brain_observatory_1.1,6,7838.95,3862.35,7443.59,815.14
766640955,functional_connectivity,6,7774.27,3801.33,6825.59,526.14
767871931,functional_connectivity,6,8004.80,3586.29,7551.98,626.57
768515987,functional_connectivity,6,7793.15,3591.11,7132.32,621.92
771160300,functional_connectivity,6,7904.65,2505.77,7697.36,1029.57
771990200,functional_connectivity,6,7815.37,3502.40,7643.47,688.83
773418906,brain_observatory_1.1,6,8102.39,3503.87,7451.34,798.15
774875821,functional_connectivity,6,8298.94,3428.71,7958.90,795.21
778240327,functional_connectivity,6,7807.52,3414.13,7369.14,588.81
778998620,functional_connectivity,6,7990.37,4146.08,7400.73,758.02
779839471,functional_connectivity,6,7967.31,3218.31,7589.34,810.85
781842082,functional_connectivity,6,7992.94,3417.63,7751.61,901.85
786091066,functional_connectivity,6,8275.10,3097.27,7780.29,822.99
787025148,functional_connectivity,6,8244.35,3844.50,7281.56,643.80
789848216,functional_connectivity,6,7026.27,3464.95,7393.37,773.52
791319847,brain_observatory_1.1,6,7737.16,3256.93,7572.33,955.35
793224716,functional_connectivity,6,7879.81,3913.37,7576.43,948.68
794812542,functional_connectivity,6,8215.78,3869.21,7556.52,710.05
797828357,brain_observatory_1.1,6,7861.36,3813.22,7363.51,866.41
798911424,brain_observatory_1.1,6,7875.70,3653.41,7896.98,791.06
799864342,brain_observatory_1.1,6,7825.11,3057.56,7825.71,728.62
816200189,functional_connectivity,5,8019.16,3893.98,7876.27,704.33
819186360,functional_connectivity,5,8060.88,3261.46,7542.61,688.23
819701982,functional_connectivity,5,7861.13,3160.58,7497.78,652.22
821695405,functional_connectivity,4,7910.22,3474.11,7346.39,642.40
829720705,functional_connectivity,5,8066.15,3888.01,6886.30,675.07
831882777,functional_connectivity,5,8306.35,3537.62,7135.05,302.87
835479236,functional_connectivity,5,7729.93,4485.83,7193.41,748.99
839068429,functional_connectivity,6,8136.31,4178.92,7501.51,440.76
839557629,functional_connectivity,5,8005.17,3787.58,7479.45,713.64
840012044,functional_connectivity,6,8043.82,4074.70,7222.31,448.34
847657808,functional_connectivity,6,8269.99,4316.21,7177.45,355.77
