outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
715093703,V1,within_area_location,ccf_anatomy,0.2,13,-0.07965144433849149
715093703,V1,within_area_location,ccf_anatomy,0.35,13,-0.0047393373790657126
715093703,V1,within_area_location,ccf_anatomy,0.55,13,0.14119623571724124
715093703,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
715093703,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
715093703,V1,within_area_location,registered_map,0.2,13,-0.0788680662696345
715093703,V1,within_area_location,registered_map,0.35,13,0.08944558234417067
715093703,V1,within_area_location,registered_map,0.55,13,0.14119623571724124
715093703,V1,within_area_location,registered_map,0.8,13,0.1287318977450329
715093703,V1,within_area_location,registered_map,1.15,13,0.1287318977450329
715093703,V1,within_area_location,observed_rf,0.2,13,0.04087385482734319
715093703,V1,within_area_location,observed_rf,0.35,13,0.16310892172961136
715093703,V1,within_area_location,observed_rf,0.55,13,0.25858585858585864
715093703,V1,within_area_location,observed_rf,0.8,13,0.24458874458874463
715093703,V1,within_area_location,observed_rf,1.15,13,0.24592807611675535
715093703,V1,total_group_map,ccf_anatomy,0.2,13,-0.07857526157186388
715093703,V1,total_group_map,ccf_anatomy,0.35,13,-0.0047393373790657126
715093703,V1,total_group_map,ccf_anatomy,0.55,13,0.14119623571724124
715093703,V1,total_group_map,ccf_anatomy,0.8,13,0.1287318977450329
715093703,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
715093703,V1,total_group_map,registered_map,0.2,13,-0.07998846266129227
715093703,V1,total_group_map,registered_map,0.35,13,0.08944558234417067
715093703,V1,total_group_map,registered_map,0.55,13,0.14119623571724124
715093703,V1,total_group_map,registered_map,0.8,13,0.1287318977450329
715093703,V1,total_group_map,registered_map,1.15,13,0.1287318977450329
715093703,V1,total_group_map,observed_rf,0.2,13,0.04087385482734319
715093703,V1,total_group_map,observed_rf,0.35,13,0.16310892172961136
715093703,V1,total_group_map,observed_rf,0.55,13,0.25858585858585864
715093703,V1,total_group_map,observed_rf,0.8,13,0.24458874458874463
715093703,V1,total_group_map,observed_rf,1.15,13,0.24592807611675535
755434585,V1,within_area_location,ccf_anatomy,0.2,13,0.010089430474208204
755434585,V1,within_area_location,ccf_anatomy,0.35,13,0.08697758791084204
755434585,V1,within_area_location,ccf_anatomy,0.55,13,0.07781835839633615
755434585,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
755434585,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
