session_id,translation_azimuth_deg,translation_elevation_deg,training_half
715093703,0,0,0
755434585,0,0,0
756029989,0,0,0
757216464,0,0,0
768515987,0,0,0
774875821,0,0,0
778240327,0,0,0
781842082,0,0,0
786091066,0,0,0
794812542,0,0,0
798911424,0,0,0
829720705,0,0,0
831882777,0,0,0
847657808,0,0,0
715093703,0,0,1
755434585,0,0,1
756029989,0,0,1
757216464,0,0,1
768515987,0,0,1
774875821,0,0,1
778240327,0,0,1
781842082,0,0,1
786091066,0,0,1
794812542,0,0,1
798911424,0,0,1
829720705,0,0,1
831882777,0,0,1
847657808,0,0,1
