session_id,ecephys_unit_id,ecephys_probe_id,ecephys_structure_acronym,ccf_ap_mm,ccf_ml_mm,visual_azimuth_deg,visual_elevation_deg,axis_area_deg2,axis_edge_distance_deg,axis_test_deviance,unit_split
798911424,951092369,800036196,VISam,7.754,7.462,66.9543269,-5.6112319,446.393041,23.0456731,2.89652878,evaluation
798911424,951092386,800036196,VISam,7.759,7.459,23.4213403,12.7162899,859.017786,13.4213403,2.93761466,calibration
798911424,951092398,800036196,VISam,7.754,7.462,39.8562925,-5.4949481,269.68952,24.5050519,1.24828897,calibration
798911424,951092437,800036196,VISam,7.744,7.467,28.5027148,14.8369444,3437.91625,18.5027148,3.25661508,evaluation
798911424,951092450,800036196,VISam,7.744,7.467,27.9340243,26.696794,2580.92165,17.9340243,1.78051453,evaluation
798911424,951092475,800036196,VISam,7.733,7.472,22.7452601,29.3973731,954.881182,12.7452601,1.05202732,calibration
798911424,951092642,800036196,VISam,7.713,7.483,33.5305194,16.7715311,1072.37783,23.5305194,0.981596204,evaluation
798911424,951092695,800036196,VISam,7.711,7.485,44.5731336,13.573168,605.289721,34.5731335,0.845266024,evaluation
798911424,951092772,800036196,VISam,7.703,7.489,75.6260284,15.7651562,1422.48997,14.3739716,1.76321235,evaluation
798911424,951092784,800036196,VISam,7.703,7.489,56.5109931,22.1313779,1246.14524,27.8686221,1.6235618,evaluation
798911424,951092798,800036196,VISam,7.701,7.49,62.2811275,31.3572618,520.331542,18.6427382,0.642137665,evaluation
798911424,951092836,800036196,VISam,7.687,7.5,62.266593,25.1569437,2425.80434,24.8430563,0.687960267,calibration
798911424,951092940,800036196,VISam,7.687,7.5,33.9099666,34.1769114,1760.21932,15.8230886,1.62305615,evaluation
798911424,951092961,800036196,VISam,7.684,7.501,69.7785193,25.8769316,427.977963,20.2214807,1.33298996,evaluation
798911424,951092973,800036196,VISam,7.684,7.501,39.4752618,23.7978682,1181.3962,26.2021318,1.99067209,evaluation
798911424,951093034,800036196,VISam,7.682,7.503,78.6755029,29.684631,864.528664,11.3244971,0.973555925,evaluation
798911424,951093059,800036196,VISam,7.682,7.503,70.385426,28.3425379,318.235858,19.614574,0.857649149,calibration
798911424,951093069,800036196,VISam,7.682,7.503,57.4779293,34.7446032,1251.85013,15.2553968,1.20253779,calibration
798911424,951093094,800036196,VISam,7.677,7.506,54.3849293,15.6984144,1038.37434,34.3015856,0.933921346,calibration
798911424,951093125,800036196,VISam,7.677,7.506,22.4833484,14.7462281,3967.85904,12.4833484,1.15316028,calibration
798911424,951093238,800036196,VISam,7.673,7.509,57.0180156,29.7447248,1978.28178,20.2552752,0.498902921,evaluation
798911424,951093252,800036196,VISam,7.673,7.509,24.4755349,11.7981089,1353.04427,14.4755349,1.0179595,calibration
798911424,951093283,800036196,VISam,7.671,7.511,37.6733413,24.0181134,944.295001,25.9818866,2.02347327,evaluation
798911424,951093349,800036196,VISam,7.666,7.514,33.3113883,22.1849272,1780.25602,23.3113883,1.83208617,calibration
798911424,951093363,800036196,VISam,7.666,7.514,50.5072014,6.41452208,2585.16308,36.4145221,1.0158117,evaluation
798911424,951093390,800036196,VISam,7.664,7.515,37.1432026,0.56473378,31.6216757,27.1432026,0.586867234,evaluation
798911424,951093459,800036196,VISam,7.687,7.5,50.3288501,9.29101765,3347.3067,39.2910177,1.17068233,calibration
798911424,951093484,800036196,VISam,7.675,7.507,50.3140116,18.3409411,321.452446,31.6590589,1.01043338,calibration
798911424,951093498,800036196,VISam,7.658,7.52,62.5070268,26.70056,338.898999,23.29944,1.19786333,evaluation
798911424,951093510,800036196,VISam,7.658,7.52,65.3998792,27.6836511,406.803263,22.3163489,0.816581835,calibration
798911424,951093525,800036196,VISam,7.666,7.514,45.4942642,16.5782086,950.316452,33.4217914,1.45980671,evaluation
798911424,951093582,800036196,VISam,7.656,7.522,66.1344716,29.8984623,1001.03809,20.1015377,1.25992931,calibration
798911424,951093595,800036196,VISam,7.654,7.524,46.4697292,38.8990904,716.825782,11.1009096,2.78172073,calibration
798911424,951093608,800036196,VISam,7.654,7.524,74.1735245,30.6091971,1581.22066,15.8264755,3.00796372,evaluation
798911424,951093688,800036196,VISam,7.64,7.535,65.6035469,25.8751262,606.331138,24.1248738,1.27249361,calibration
798911424,951093712,800036196,VISam,7.642,7.533,68.4167545,31.7511652,655.22059,18.2488348,0.935277561,calibration
798911424,951093821,800036196,VISam,7.64,7.535,73.4310624,28.6575519,995.155765,16.5689376,2.00516843,calibration
798911424,951093858,800036196,VISam,7.636,7.538,69.426117,24.3088335,581.5843,20.573883,0.339107627,calibration
798911424,951093980,800036196,VISam,7.634,7.54,79.6548656,29.0512157,689.932826,10.3451344,0.745877407,calibration
798911424,951094516,800036196,VISam,7.684,7.501,56.9457991,32.5897489,3599.9539,17.4102511,1.54757974,calibration
798911424,951094543,800036196,VISam,7.673,7.509,58.0128815,32.9928449,1537.83333,17.0071551,1.29420466,evaluation
798911424,951094603,800036196,VISam,7.671,7.511,40.6626035,20.2114608,417.468673,29.7885392,1.10179843,evaluation
798911424,951097452,800036198,VISam,7.883,7.394,29.1075577,27.055128,502.237214,19.1075577,1.63305341,calibration
798911424,951097467,800036198,VISam,7.883,7.394,36.6237554,36.1771075,1264.53249,13.8228925,1.96223024,evaluation
798911424,951097589,800036198,VISam,7.89,7.397,30.8443908,29.7535665,652.796561,20.2464335,0.994158897,evaluation
798911424,951097682,800036198,VISam,7.895,7.399,32.6797802,24.9095923,470.179242,22.6797802,1.14429159,evaluation
798911424,951097748,800036198,VISam,7.899,7.401,30.9802313,24.856705,1044.9377,20.9802313,0.821928432,calibration
798911424,951097947,800036198,VISam,7.911,7.406,33.8085076,12.1946778,424.369551,23.8085076,0.612471383,calibration
798911424,951098195,800036198,VISam,7.917,7.408,70.547395,34.0509979,433.40885,15.9490021,1.23936471,evaluation
798911424,951098229,800036198,VISam,7.92,7.41,43.9043477,7.93993987,1104.56813,33.9043477,1.08458425,calibration
798911424,951098242,800036198,VISam,7.92,7.41,37.8648878,23.3078344,870.971069,26.6921656,0.966623251,evaluation
798911424,951098332,800036198,VISam,7.922,7.41,72.4618057,-1.3268769,1897.72237,17.5381943,1.26814842,evaluation
798911424,951098633,800036198,VISam,7.93,7.415,26.3641056,39.5083846,953.343639,10.4916154,0.974033441,calibration
798911424,951098821,800036198,VISam,7.938,7.419,53.6998549,27.9021456,495.016982,22.0978544,1.12455078,calibration
798911424,951102476,800036200,VISp,8.862,8.192,66.9776543,12.956839,289.271465,23.0223457,1.43462064,calibration
798911424,951102508,800036200,VISp,8.862,8.192,46.6280628,21.3809247,167.088804,28.6190753,0.985785934,calibration
798911424,951102634,800036200,VISp,8.878,8.195,49.4530314,38.0139369,2312.48498,11.9860631,0.793965384,evaluation
798911424,951102673,800036200,VISp,8.895,8.198,60.0777395,13.3590124,481.138874,29.9222605,0.971909209,evaluation
798911424,951102724,800036200,VISp,8.902,8.199,44.3932796,26.000787,101.525026,23.999213,0.497326446,evaluation
798911424,951102738,800036200,VISp,8.902,8.199,52.1792954,15.1897407,696.413197,34.8102593,1.25101295,evaluation
798911424,951102789,800036200,VISp,8.905,8.2,51.1152904,11.8557004,107.982881,38.1442996,2.0890025,evaluation
798911424,951102834,800036200,VISp,8.912,8.201,43.2100185,12.0934215,210.265603,33.2100185,1.23249357,calibration
798911424,951102894,800036200,VISp,8.912,8.201,67.2764663,4.2201091,292.847588,22.7235337,1.40174551,calibration
798911424,951102934,800036200,VISp,8.915,8.201,54.3108561,18.018901,1293.44433,31.981099,1.76086442,evaluation
798911424,951102962,800036200,VISp,8.912,8.201,54.3834863,13.2948344,305.340978,35.6165137,1.0068633,evaluation
798911424,951103043,800036200,VISp,8.925,8.203,55.6418595,16.8658682,114.772159,33.1341318,1.89790772,calibration
798911424,951103055,800036200,VISp,8.946,8.206,69.3400406,7.95685592,1261.50859,20.6599594,0.957273013,evaluation
798911424,951103093,800036200,VISp,8.946,8.206,63.2071709,6.03577503,137.219132,26.7928291,0.366819496,calibration
798911424,951103107,800036200,VISp,8.942,8.206,57.8180848,18.2643248,553.219408,31.7356752,2.23332577,calibration
798911424,951103163,800036200,VISp,8.953,8.207,58.3786994,13.2970887,1175.03367,31.6213006,0.997175161,calibration
798911424,951103216,800036200,VISp,8.953,8.207,52.1613854,16.5447646,1468.03673,33.4552354,1.19635823,evaluation
798911424,951103238,800036200,VISp,8.956,8.208,55.3928755,9.40004091,158.832846,34.6071245,4.02430797,evaluation
798911424,951103290,800036200,VISp,8.956,8.208,48.9183679,18.4927818,505.900753,31.5072182,0.999543804,evaluation
798911424,951103332,800036200,VISp,8.97,8.21,60.3541382,10.6692205,602.996343,29.6458618,4.48627008,evaluation
798911424,951103361,800036200,VISp,8.956,8.208,58.7795884,13.4129212,2759.67297,31.2204116,1.06283833,evaluation
798911424,951103394,800036200,VISp,8.966,8.209,57.2848885,12.8563568,1635.55254,32.7151115,1.24494058,calibration
798911424,951103407,800036200,VISp,8.97,8.21,49.349027,10.8023185,979.128294,39.1976815,0.990900814,evaluation
798911424,951103420,800036200,VISp,8.97,8.21,57.0027571,15.2766581,569.287534,32.9972429,1.17493136,calibration
798911424,951103431,800036200,VISp,8.98,8.211,57.3716556,18.1218801,366.470431,31.8781199,0.253751125,calibration
798911424,951103455,800036200,VISp,8.973,8.21,57.5465378,19.9952857,684.334107,30.0047143,1.19963009,calibration
798911424,951103464,800036200,VISp,8.99,8.213,58.4220021,20.4054603,1157.81649,29.5945397,1.44336111,calibration
798911424,951103478,800036200,VISp,8.97,8.21,60.2925658,11.4359891,511.152288,29.7074342,2.3814008,calibration
798911424,951103498,800036200,VISp,8.976,8.211,54.4797127,12.5049154,943.319221,35.5202872,1.1442829,evaluation
798911424,951103508,800036200,VISp,8.99,8.213,53.8517484,15.1843454,1428.06122,34.8156546,1.4468264,evaluation
798911424,951103518,800036200,VISp,8.987,8.212,56.0443175,18.7917059,117.144387,31.2082941,0.657676826,calibration
798911424,951103530,800036200,VISp,8.987,8.212,56.1778447,-0.7995297,151.919039,29.2004703,1.58071339,evaluation
798911424,951103543,800036200,VISp,8.987,8.212,62.6266316,11.128732,288.757253,27.3733684,0.381984343,evaluation
798911424,951103553,800036200,VISp,8.987,8.212,46.4328948,14.4209597,2145.91394,35.5790403,1.41282075,calibration
798911424,951103589,800036200,VISp,8.99,8.213,54.3217484,14.2705314,107.707504,35.6782516,0.907742127,evaluation
798911424,951103652,800036200,VISp,9.001,8.214,50.8858868,1.38994662,415.326882,31.3899466,1.17829602,calibration
798911424,951103661,800036200,VISp,9.001,8.214,51.8185324,13.6664591,1351.91983,36.3335409,0.851268196,evaluation
798911424,951103671,800036200,VISp,9.001,8.214,60.1246264,23.6919654,162.557707,26.3080346,1.47692219,evaluation
798911424,951103704,800036200,VISp,9.004,8.215,49.2508921,17.033038,189.157078,32.966962,1.93744113,calibration
798911424,951103724,800036200,VISp,9.004,8.215,56.8142916,15.2836911,291.121853,33.1857084,1.48726189,calibration
798911424,951103735,800036200,VISp,9.004,8.215,62.2231431,29.6040316,106.220457,20.3959684,1.21777302,calibration
798911424,951103779,800036200,VISp,9.007,8.215,62.5530456,10.0529493,83.4500355,27.4469544,0.492731046,evaluation
798911424,951103830,800036200,VISp,9.004,8.215,37.6934424,19.7374944,2657.25026,27.6934424,1.35841242,evaluation
798911424,951103842,800036200,VISp,9.021,8.217,48.3428135,28.1025988,415.996953,21.8974012,1.11807462,calibration
798911424,951103864,800036200,VISp,9.025,8.218,62.3518891,11.2668291,207.793998,27.6481109,0.868578811,calibration
798911424,951103877,800036200,VISp,9.025,8.218,57.8950676,13.0540157,48.1458392,32.1049324,1.78749461,calibration
798911424,951103889,800036200,VISp,9.025,8.218,59.7034106,15.0424662,62.1872918,30.2965894,1.46146976,calibration
798911424,951103958,800036200,VISp,9.007,8.215,57.6493614,13.4239737,113.290804,32.3506386,1.75963393,evaluation
798911424,951103975,800036200,VISp,9.032,8.219,57.4989262,11.5590066,113.61596,32.5010738,0.553812796,calibration
798911424,951103994,800036200,VISp,9.032,8.219,57.98331,12.2526225,273.376452,32.01669,1.38912462,evaluation
