model,held_out_probe_id,held_out_area,observed_azimuth_deg,observed_elevation_deg,predicted_azimuth_deg,predicted_elevation_deg,rf_vector_error_deg,length_mm,ridge
geometry_only,800036196,VISam,55.447961,24.732889,47.062835,-2.9293734,28.905208,,
range_expansion,800036196,VISam,55.447961,24.732889,57.136932,9.0099203,15.813423,,
geometry_only,800036198,VISam,35.216132,25.98236,37.893866,-1.153732,27.267889,,
range_expansion,800036198,VISam,35.216132,25.98236,47.878767,10.032327,20.365311,,
geometry_only,800036200,VISp,57.328272,13.418447,55.009299,6.2431023,7.5407701,,
range_expansion,800036200,VISp,57.328272,13.418447,75.203153,42.024333,33.731411,,
geometry_only,800036202,VISl,44.158262,-4.932775,34.100535,-5,10.057952,,
range_expansion,800036202,VISl,44.158262,-4.932775,31.53928,11.353814,20.603196,,
geometry_only,800036204,VISal,71.909854,18.08813,42.635766,-2.6934047,35.90048,,
range_expansion,800036204,VISal,71.909854,18.08813,47.686742,11.525418,25.096382,,
geometry_only,800036206,VISrl,40.306536,-4.9096602,35.039029,-15,11.382513,,
range_expansion,800036206,VISrl,40.306536,-4.9096602,52.237174,2.6425854,14.120075,,
smooth_residual,800036196,VISam,55.447961,24.732889,52.744846,19.07539,6.2700976,0.35,0.1
smooth_residual,800036198,VISam,35.216132,25.98236,46.519391,20.953125,12.371617,0.35,0.1
smooth_residual,800036200,VISp,57.328272,13.418447,75.197315,42.027112,33.730674,0.35,0.1
smooth_residual,800036202,VISl,44.158262,-4.932775,40.585269,11.618963,16.932995,0.35,0.1
smooth_residual,800036204,VISal,71.909854,18.08813,51.873309,3.6449889,24.699544,0.35,0.1
smooth_residual,800036206,VISrl,40.306536,-4.9096602,52.280366,2.6737006,14.173212,0.35,0.1
