ecephys_probe_id,ecephys_structure_acronym,units,ccf_ap_mm,ccf_ml_mm,rf_azimuth_deg,rf_azimuth_iqr_deg,rf_elevation_deg,rf_elevation_iqr_deg,zhuang_area,template_x_px,template_y_px,target_azimuth_deg,target_elevation_deg,predicted_azimuth_deg,predicted_elevation_deg,display_observed_azimuth_deg,display_observed_elevation_deg,display_predicted_azimuth_deg,display_predicted_elevation_deg,azimuth_residual_deg,elevation_residual_deg,rf_vector_error_deg,named_area_distance_px,inside_named_area,model
800036196,VISam,42,7.677,7.506,55.4479612,27.877919,24.7328886,13.8977167,AM,281.231792,76.1305958,55.4479612,24.7328886,48.0382202,-0.274360026,55.4479612,24.7328886,48.0382202,-0.274360026,-7.40974104,-25.0072486,26.0819237,0,True,joint_anatomy_rf
800036198,VISam,12,7.914,7.407,35.2161315,15.4069533,25.9823601,10.2983791,AM,293.768594,105.574231,35.2161315,25.9823601,35,0,35.2161315,25.9823601,35,0,-0.2161315,-25.9823601,25.9832591,2.76859383,False,joint_anatomy_rf
800036200,VISp,86,9.004,8.215,57.328272,7.47461305,13.4184474,5.36437638,V1,225.871728,270,57.328272,13.4184474,44.8931063,8.18478362,57.328272,13.4184474,44.8931063,8.18478362,-12.4351657,-5.23366383,13.4916487,0,True,joint_anatomy_rf
800036202,VISl,63,8.459,9.784,44.1582625,11.9621496,-4.932775,12.0827303,LM,63.7321978,233.093675,44.1582625,-4.932775,31.9122661,-3.93007026,44.1582625,-4.932775,31.9122661,-3.93007026,-12.2459964,1.00270474,12.2869787,0,True,joint_anatomy_rf
800036204,VISal,43,8.16,9.737,71.9098544,6.7960832,18.0881301,15.5539129,AL,65.0000002,192.000126,71.9098544,18.0881301,39.9999999,-5.47373115e-05,71.9098544,18.0881301,39.9999999,-5.47373115e-05,-31.9098545,-18.0881848,36.6799843,0,True,joint_anatomy_rf
800036206,VISrl,29,7.299,8.855,40.3065362,15.2108951,-4.9096602,11.1746607,RL,142.857967,56.5214578,40.3065362,-4.9096602,35.343299,-14.1674935,40.3065362,-4.9096602,35.343299,-14.1674935,-4.96323722,-9.25783331,10.504342,3.3011729,False,joint_anatomy_rf
800036196,VISam,42,7.677,7.506,55.4479612,27.877919,24.7328886,13.8977167,AM,259.000731,354.981081,44.5520388,24.7328886,61.7596424,19.0773071,55.4479612,24.7328886,38.2403576,19.0773071,17.2076036,-5.65558155,18.1131782,230.065363,False,rf_only
800036198,VISam,12,7.914,7.407,35.2161315,15.4069533,25.9823601,10.2983791,AM,230.000004,363.112068,64.7838685,25.9823601,54.9519711,24.9649775,35.2161315,25.9823601,45.0480289,24.9649775,-9.83189736,-1.01738263,9.88439543,228.592549,False,rf_only
800036200,VISp,86,9.004,8.215,57.328272,7.47461305,13.4184474,5.36437638,V1,36.9553478,297.613284,42.671728,13.4184474,37.5531092,11.1252633,57.328272,13.4184474,62.4468908,11.1252633,-5.11861878,-2.29318411,5.608828,87.2799959,False,rf_only
800036202,VISl,63,8.459,9.784,44.1582625,11.9621496,-4.932775,12.0827303,LM,40.2938971,169.665986,55.8417375,-4.932775,49.9703437,-1.95396207,44.1582625,-4.932775,50.0296563,-1.95396207,-5.87139376,2.97881293,6.58381281,62.3414325,False,rf_only
800036204,VISal,43,8.16,9.737,71.9098544,6.7960832,18.0881301,15.5539129,AL,85.0000004,173.408695,28.0901456,18.0881301,24.9999996,5,71.9098544,18.0881301,75.0000004,5,-3.09014598,-13.0881301,13.4479795,0,True,rf_only
800036206,VISrl,29,7.299,8.855,40.3065362,15.2108951,-4.9096602,11.1746607,RL,248.999951,244.999984,59.6934638,-4.9096602,54.9999624,2.39477226e-06,40.3065362,-4.9096602,45.0000376,2.39477226e-06,-4.69350138,4.90966259,6.79218242,122.102365,False,rf_only
