ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_deviation,improvement_deg
715093703,810755797,265,49,22.29175726355065,22.29175726355065,0.0,0.0
715093703,810755801,222,92,21.522803445885373,21.740551637009133,3.0,-0.21774819112376065
715093703,810755803,259,55,19.095857612086373,18.87358313610066,6.0,0.2222744759857136
715093703,810755805,250,64,21.700232021119263,22.854796184556424,-1.0,-1.1545641634371613
715093703,810755807,260,54,13.69983314048276,13.21198284540047,2.0,0.48785029508228916
719161530,729445648,203,48,21.719946071385394,18.271243934280204,7.0,3.4487021371051902
719161530,729445650,217,34,62.66283462863109,59.99846191466722,8.0,2.6643727139638713
719161530,729445652,170,81,12.818878621334013,13.402266604787874,4.0,-0.5833879834538607
719161530,729445654,198,53,26.271350861878382,28.25690448550943,-1.0,-1.9855536236310485
719161530,729445656,232,19,26.638664283726175,16.46769018598215,7.0,10.170974097744025
719161530,729445658,235,16,11.040179645932731,7.841456572521787,8.0,3.198723073410944
721123822,760213137,265,65,29.331947770193807,26.273290394062073,3.0,3.058657376131734
721123822,760213145,273,57,12.316327588554284,10.853844958341679,5.0,1.4624826302126053
721123822,760213147,275,55,17.287242990577475,17.779514968517148,6.0,-0.4922719779396729
721123822,760213150,246,84,31.587476951562113,30.317198732343293,7.0,1.2702782192188202
721123822,760213153,261,69,17.293078853444413,12.527482223860886,4.0,4.765596629583527
744228101,757904513,112,56,25.31152339471128,24.007090939049217,8.0,1.304432455662063
744228101,757904516,128,40,14.114306748561338,18.236189214061106,8.0,-4.121882465499768
744228101,757904520,135,33,51.31298857839144,43.80230574073857,8.0,7.5106828376528725
744228101,757904522,129,39,22.504490455999374,28.737601480363804,-7.0,-6.23311102436443
750749662,769322802,248,50,17.03200789639719,17.21113634008952,-5.0,-0.17912844369233127
750749662,769322804,262,36,36.879682459291374,36.879682459291374,0.0,0.0
750749662,769322806,207,91,12.958574055182222,12.45844792384311,-5.0,0.5001261313391119
750749662,769322808,281,17,16.031254418044327,21.372767729819472,-7.0,-5.341513311775145
750749662,769322810,246,52,37.74092106905188,33.93974405385765,-4.0,3.8011770151942272
750749662,769322812,246,52,25.510538452777258,25.510538452777258,0.0,0.0
751348571,757984813,267,64,27.169630971540485,26.8482231867279,8.0,0.32140778481258536
751348571,757984818,278,53,45.55949645627537,40.42799097139998,6.0,5.13150548487539
751348571,757984820,258,73,30.71263049331537,29.70924463621808,7.0,1.003385857097289
751348571,757984822,303,28,52.43023752127539,50.02768638294975,2.0,2.4025511383256344
751348571,757984826,271,60,35.18502774362602,31.51392369254865,8.0,3.6711040510773714
751348571,757984830,278,53,27.71395822064314,26.60936323183125,1.0,1.1045949888118898
754312389,756781553,258,81,23.423074329515874,27.037049096148895,7.0,-3.613974766633021
754312389,756781555,312,27,50.73052541250353,46.92835176302251,4.0,3.80217364948102
754312389,756781557,196,143,27.308904768948857,29.414183143010412,6.0,-2.1052783740615553
754312389,756781559,334,5,31.92384385525133,26.308497750097086,6.0,5.615346105154245
754312389,756781561,300,39,32.20132235186729,27.208957907655734,6.0,4.992364444211557
754312389,756781563,295,44,26.788481822992743,26.71346197537313,8.0,0.07501984761961467
754829445,760640033,177,46,25.733788934356802,24.385249418668536,-1.0,1.348539515688266
754829445,760640037,205,18,35.507093939509076,37.12325322723631,-5.0,-1.6161592877272355
754829445,760640039,118,105,19.999266794550856,20.69553665620453,-7.0,-0.6962698616536755
754829445,760640043,198,25,26.960872892142802,31.522412888294596,-4.0,-4.561539996151794
754829445,760640049,194,29,19.28159373760581,19.06933034878929,-1.0,0.2122633888165204
755434585,760642621,302,98,32.6200676033223,29.16335781985796,7.0,3.456709783464337
755434585,760642624,319,81,59.680342659555016,58.89097716859368,8.0,0.7893654909613375
755434585,760642628,258,142,37.825437205991975,33.63273082238264,8.0,4.192706383609334
755434585,760642631,367,33,39.632007837390525,31.185765895443904,7.0,8.44624194194662
755434585,760642634,354,46,52.921640140375864,52.13032165963337,8.0,0.7913184807424969
756029989,760640083,315,78,17.758727743952207,20.163715143005604,4.0,-2.4049873990533968
756029989,760640087,309,84,34.32969984521188,33.483766496795894,-4.0,0.8459333484159828
756029989,760640090,303,90,35.011704697888376,34.714033747527026,1.0,0.2976709503613506
756029989,760640094,330,63,30.92796871183912,29.527962369648602,1.0,1.400006342190519
756029989,760640097,331,62,51.52457923001575,51.94183545410765,-3.0,-0.41725622409189356
756029989,760640104,377,16,22.85573984722742,24.95022120685115,4.0,-2.0944813596237317
757216464,769322745,350,59,38.92581653260338,36.61103731569235,8.0,2.3147792169110275
757216464,769322749,259,150,25.054720413032804,27.055579282770267,8.0,-2.0008588697374634
757216464,769322751,326,83,30.504178678591643,27.516877360941272,5.0,2.9873013176503704
757216464,769322753,328,81,28.354143128446026,27.91222749063309,1.0,0.4419156378129365
757216464,769322755,373,36,20.42979765777922,20.90814288359426,8.0,-0.47834522581504046
757970808,769322852,276,78,33.63907313628283,35.5383769341432,-8.0,-1.8993037978603695
757970808,769322856,208,146,34.71998075416052,34.18997123569471,1.0,0.5300095184658034
757970808,769322860,288,66,52.15517423492076,58.08397395933123,-8.0,-5.928799724410474
757970808,769322862,290,64,14.083997487678236,17.431439749211222,7.0,-3.3474422615329864
758798717,770930067,227,62,42.996402929141624,39.582527274731774,7.0,3.41387565440985
758798717,770930071,255,34,42.175942159552875,45.685726021632334,8.0,-3.509783862079459
758798717,770930073,206,83,35.34802194439187,34.802377411982526,5.0,0.5456445324093409
758798717,770930077,179,110,44.85443456967346,46.59295557679245,-2.0,-1.7385210071189903
759883607,769322785,225,73,21.489058000877787,14.433242074720603,8.0,7.055815926157184
759883607,769322789,220,78,17.71695097523037,16.812691996695598,8.0,0.9042589785347737
759883607,769322793,207,91,11.40174769103013,9.155045525450644,5.0,2.246702165579485
759883607,769322797,242,56,41.75367864245045,40.33295004441033,2.0,1.420728598040121
760345702,810753195,282,45,16.16730300544447,11.672751198590966,8.0,4.494551806853504
760345702,810753197,272,55,35.65489134457952,24.683663279067805,8.0,10.971228065511713
760345702,810753199,236,91,11.765423581138121,7.260634945194266,8.0,4.5047886359438545
760345702,810753201,258,69,27.2936567812205,30.53944892814718,6.0,-3.245792146926682
760345702,810753203,260,67,26.257861916337422,23.342619812976633,5.0,2.9152421033607894
761418226,768908579,283,45,17.103917478813674,18.384521240218618,-3.0,-1.2806037614049437
761418226,768908582,276,52,44.33418912443571,50.74233400786255,-4.0,-6.408144883426843
761418226,768908585,272,56,12.272154691495556,16.76065160932079,-8.0,-4.488496917825232
761418226,768908587,253,75,37.95974634009269,40.147244574683555,4.0,-2.187498234590862
761418226,768908589,266,62,34.04031257921413,35.47158401381672,3.0,-1.4312714346025857
761418226,768908591,290,38,13.484959097623644,18.79966777000486,-6.0,-5.314708672381215
762602078,768909178,172,56,28.83966518085532,24.3342618090156,8.0,4.505403371839719
762602078,768909182,123,105,19.57335191918056,17.707149012303766,8.0,1.8662029068767936
762602078,768909188,161,67,32.20550915687087,29.62961743005876,5.0,2.575891726812106
763673393,773463013,204,64,22.667754323415885,26.74247498693152,8.0,-4.0747206635156346
763673393,773463015,243,25,35.54540348061811,35.82284142083331,6.0,-0.27743794021520074
763673393,773463017,164,104,10.260448691088236,9.972006265530656,-2.0,0.28844242555758015
763673393,773463019,232,36,59.282868422821025,45.27533761680975,6.0,14.007530806011275
763673393,773463026,229,39,22.93528872538226,22.213658202061136,1.0,0.7216305233211244
766640955,773592315,257,60,30.582990798320047,26.841808741273997,5.0,3.74118205704605
766640955,773592320,242,75,22.492020783905613,24.698648579901263,8.0,-2.206627795995651
766640955,773592324,255,62,42.67517625425625,30.63640008784835,8.0,12.0387761664079
766640955,773592328,237,80,50.64580216063486,51.827562936659774,3.0,-1.181760776024916
766640955,773592330,277,40,14.916132796711993,19.951782130164812,7.0,-5.0356493334528185
767871931,773462985,325,47,30.260013494948623,25.042908294821704,7.0,5.21710520012692
767871931,773462990,310,62,66.04045247279261,70.8096323147872,-5.0,-4.7691798419945854
767871931,773462993,229,143,17.160757137122346,15.84285220462066,8.0,1.3179049325016852
767871931,773462997,295,77,29.57953955337977,25.214383713750102,8.0,4.365155839629669
767871931,773462999,329,43,12.60309003996313,11.821809549092032,8.0,0.7812804908710973
768515987,773549842,317,56,23.416358082332252,18.90575862765128,7.0,4.510599454680971
768515987,773549848,271,102,14.027486424366682,11.379501757792767,7.0,2.6479846665739153
768515987,773549850,294,79,17.43711583391858,15.36442753205328,7.0,2.0726883018652984
768515987,773549852,291,82,33.83928252868762,26.203395475310682,8.0,7.635887053376937
768515987,773549856,319,54,19.05267288594868,11.403986628872966,8.0,7.648686257075715
771160300,773621937,276,102,22.51624357788571,24.576321025744345,-3.0,-2.0600774478586352
771160300,773621939,308,70,22.819972580626292,23.401582897623094,4.0,-0.5816103169968017
771160300,773621942,239,139,13.425957045811279,20.830188172235307,8.0,-7.404231126424028
771160300,773621948,311,67,39.71392551521705,44.26962447898325,8.0,-4.555698963766204
771990200,773654723,198,54,28.809567977252712,24.64088864774579,8.0,4.168679329506922
771990200,773654726,212,40,36.97352712097629,38.03547314605237,7.0,-1.0619460250760753
771990200,773654728,156,96,22.02715708964788,21.155914694789942,2.0,0.8712423948579371
771990200,773654732,219,33,44.035531883435596,41.08854746366519,8.0,2.946984419770402
771990200,773654734,223,29,18.769438211674053,20.43001589659847,6.0,-1.6605776849244158
773418906,792676154,300,25,29.431196616194264,21.825573038611836,8.0,7.605623577582428
773418906,792676158,226,99,24.038445847867003,19.42493506065586,8.0,4.613510787211144
773418906,792676160,231,94,38.866621561460306,29.75570932939307,5.0,9.110912232067236
773418906,792676162,253,72,63.18652403383551,58.10820765707402,8.0,5.078316376761492
773418906,792676164,290,35,28.022929695340565,21.8912790627166,8.0,6.131650632623966
774875821,792602650,390,60,49.80361529610582,46.40953938988888,8.0,3.3940759062169406
774875821,792602654,316,134,17.53056644669192,18.906947075265272,8.0,-1.3763806285733509
774875821,792602656,370,80,23.3125680200434,15.442874766794391,8.0,7.869693253249009
774875821,792602658,340,110,33.03294235463548,25.328457419030162,8.0,7.704484935605318
774875821,792602660,384,66,15.655226536552334,12.428251105213203,8.0,3.226975431339131
778240327,792607545,386,69,37.50953052711971,33.758998649237114,3.0,3.750531877882594
778240327,792607547,406,49,37.06506305868679,36.52375740720007,5.0,0.5413056514867165
778240327,792607549,326,129,16.846215301353812,14.966274453700832,8.0,1.8799408476529802
778240327,792607553,367,88,26.178567387181317,23.47490319573963,8.0,2.703664191441689
778240327,792607557,356,99,33.24193811194966,27.175804518913644,8.0,6.066133593036014
778240327,792607559,434,21,17.9913574959853,15.007138233887407,8.0,2.984219262097895
778998620,792626841,289,56,30.733839229223783,32.66239520294358,3.0,-1.9285559737197957
778998620,792626844,285,60,39.78251849074162,37.5812263867579,8.0,2.201292103983725
778998620,792626847,222,123,23.263906862247914,21.356161401843472,8.0,1.907745460404442
778998620,792626851,300,45,42.292338445038446,41.23915532843374,2.0,1.053183116604707
778998620,792626853,323,22,44.0661725294321,43.212566870282984,3.0,0.8536056591491175
778998620,792626855,306,39,47.37865075883479,46.56311926829862,3.0,0.8155314905361664
779839471,792645490,215,48,42.33266913177199,46.23138206870429,-4.0,-3.8987129369322986
779839471,792645493,221,42,46.384923691503566,45.0124671737736,1.0,1.3724565177299652
779839471,792645497,117,146,29.77813031920181,29.05613116887021,5.0,0.7219991503316017
779839471,792645504,236,27,20.6103615369397,20.732414888045994,2.0,-0.12205335110629534
781842082,792586876,313,68,40.07159290663461,26.23732994920914,8.0,13.834262957425473
781842082,792586881,276,105,49.120240085741166,44.00483466188749,8.0,5.115405423853673
781842082,792586883,307,74,31.967939333041414,18.206830532734905,8.0,13.76110880030651
781842082,792586887,296,85,57.036686568884775,40.58471853730273,8.0,16.451968031582048
781842082,792586891,332,49,20.76241206815522,14.465307143284265,8.0,6.297104924870956
786091066,792623916,473,103,40.110425525724985,32.11831822609853,8.0,7.992107299626454
786091066,792623919,501,75,63.267823316932294,63.24227625738833,8.0,0.025547059543960415
786091066,792623921,441,135,20.0747109345088,18.280177366043077,8.0,1.7945335684657238
786091066,792623925,490,86,46.40145018324657,38.02985982140206,8.0,8.371590361844504
786091066,792623928,464,112,61.43060098140598,60.16163789152995,7.0,1.2689630898760313
786091066,792623931,511,65,20.047570040041023,22.744483003321534,7.0,-2.6969129632805107
787025148,792586836,152,63,43.356854051451265,42.376672365386845,1.0,0.9801816860644195
787025148,792586842,110,105,31.405841886354736,23.960783284774763,8.0,7.445058601579973
787025148,792586848,179,36,42.46521536158325,43.02376016692844,-4.0,-0.5585448053451927
787025148,792586852,204,11,12.341555023796452,20.68797265127607,8.0,-8.346417627479617
789848216,805002031,156,24,16.391398377534593,12.451721624843461,7.0,3.939676752691131
789848216,805002033,120,60,20.09641041889024,19.963009677652238,6.0,0.1334007412380025
789848216,805002035,159,21,20.21687660309438,47.52476651388511,8.0,-27.30788991079073
791319847,805008600,293,56,27.072862928608544,19.572373028016873,8.0,7.5004899005916705
791319847,805008602,324,25,31.363169521968484,31.619291631835335,8.0,-0.25612210986685113
791319847,805008604,223,126,13.169447927838402,12.913831053365342,5.0,0.25561687447305914
791319847,805008606,295,54,34.24376273194177,32.508539265173326,8.0,1.7352234667684456
791319847,805008608,322,27,45.44451449617251,48.57832877361735,8.0,-3.1338142774448414
791319847,805008610,288,61,12.967044170398246,12.493627205985023,-1.0,0.47341696441322334
793224716,805124806,127,126,14.486969982055673,16.902922733402356,3.0,-2.4159527513466834
793224716,805124809,211,42,22.32492264642683,33.54302016981771,-8.0,-11.218097523390878
793224716,805124812,210,43,41.88201593479609,33.86628010708653,6.0,8.015735827709555
793224716,805124815,211,42,27.5675661731335,32.495401320144836,6.0,-4.927835147011336
794812542,810758777,309,74,40.93496149749859,32.793308639947895,8.0,8.141652857550696
794812542,810758779,339,44,75.9829935087759,76.05772141961612,8.0,-0.07472791084020969
794812542,810758781,272,111,25.231379483795568,27.657383299821426,8.0,-2.426003816025858
794812542,810758783,301,82,40.640829634648895,30.292701101344086,8.0,10.34812853330481
794812542,810758785,342,41,44.59570979604582,44.75114338139328,7.0,-0.15543358534745977
794812542,810758787,352,31,24.401734068592372,20.390584936075207,8.0,4.011149132517165
797828357,805579734,283,57,42.14569737465783,44.63800795147051,-2.0,-2.4923105768126845
797828357,805579738,318,22,37.017048556381,39.46774335470419,8.0,-2.450694798323191
797828357,805579741,224,116,28.06996007676657,28.60042848593362,4.0,-0.5304684091670495
797828357,805579745,259,81,51.46035215516862,66.2344896146134,-8.0,-14.774137459444773
797828357,805579749,294,46,45.939651206000015,47.43893819347474,-8.0,-1.4992869874747257
797828357,805579753,322,18,34.713374405145956,38.54523401469986,7.0,-3.831859609553902
798911424,800036196,404,74,33.93726807992496,31.37043016207013,6.0,2.5668379178548335
798911424,800036198,423,55,56.90553339565339,54.70844960683017,5.0,2.197083788823221
798911424,800036200,352,126,21.57021286923491,17.033022752852148,7.0,4.537190116382764
798911424,800036202,395,83,23.577905513291412,22.690199644156632,8.0,0.8877058691347806
798911424,800036204,378,100,33.31283385511476,30.283641844109713,2.0,3.0291920110050476
798911424,800036206,438,40,16.736181078859868,15.023485982186848,7.0,1.71269509667302
799864342,805579698,280,47,30.475122511071444,42.33887053575752,7.0,-11.863748024686078
799864342,805579703,200,127,55.7458528678967,55.14171068023501,-3.0,0.6041421876616937
799864342,805579706,279,48,41.836447659831975,48.04507991896095,-8.0,-6.208632259128976
799864342,805579710,253,74,75.48712378993639,73.57794460081828,-8.0,1.909179189118106
799864342,805579713,296,31,24.546561538482496,24.783895406813972,2.0,-0.23733386833147563
816200189,836943713,255,67,20.827436488820773,17.269202471558785,8.0,3.558234017261988
816200189,836943715,238,84,19.099454941979836,14.231727263381655,8.0,4.867727678598181
816200189,836943717,229,93,7.865281656910537,7.198843932043271,8.0,0.6664377248672659
816200189,836943719,244,78,25.692487796931495,22.822212725765475,8.0,2.87027507116602
829720705,832129149,325,73,41.117312390737105,39.54337349386508,1.0,1.573938896872022
829720705,832129154,335,63,34.31459869442776,35.86679920529163,8.0,-1.5522005108638695
829720705,832129157,296,102,39.046923235093075,38.6777989302214,3.0,0.3691243048716757
829720705,832129159,321,77,27.19782970524235,37.35723764303434,8.0,-10.15940793779199
829720705,832129161,315,83,24.167772970175125,22.769235209885547,3.0,1.398537760289578
831882777,832810573,232,78,29.52786789381497,26.574069032950597,8.0,2.9537988608643744
831882777,832810576,241,69,44.53820335374739,45.56453915166046,8.0,-1.0263357979130703
831882777,832810578,233,77,27.466430541166435,25.784765175419288,4.0,1.681665365747147
831882777,832810582,224,86,37.29138321199284,32.65328553925366,8.0,4.638097672739178
835479236,837761710,209,62,67.7823254534548,70.1489293832516,-8.0,-2.3666039297967956
835479236,837761712,180,91,57.088684405882795,63.2125661536939,7.0,-6.1238817478111045
835479236,837761714,221,50,39.78401381054115,40.344503468545184,-8.0,-0.5604896580040375
835479236,837761716,203,68,28.256039245989374,28.842068043474647,1.0,-0.5860287974852731
839068429,841435557,281,48,45.892918186769094,38.70300701837442,4.0,7.189911168394673
839068429,841435559,265,64,15.379720680499478,11.392797162570979,8.0,3.986923517928499
839068429,868929135,264,65,42.01201077696073,35.027281774083555,6.0,6.984729002877174
839068429,868929138,217,112,20.146241825461995,21.73335461613423,8.0,-1.5871127906722329
839068429,868929142,289,40,20.17575744584222,12.32126450038313,8.0,7.854492945459089
840012044,841431754,336,49,23.715235283522897,16.279858001028032,8.0,7.435377282494866
840012044,841431758,326,59,20.813198205649144,15.6223050521656,6.0,5.190893153483543
840012044,868297127,305,80,31.04255978318176,24.30440147012763,8.0,6.738158313054129
840012044,868297129,305,80,7.996282273695374,9.907974119485143,8.0,-1.9116918457897691
840012044,868297131,312,73,14.956622535668487,15.015813825161274,8.0,-0.05919128949278729
840012044,868297133,341,44,30.887487333806035,18.306191027293032,8.0,12.581296306513003
847657808,848037568,356,58,49.01792148822245,44.38039499118895,8.0,4.637526497033498
847657808,848037570,370,44,25.571439307996346,26.95636115320862,-2.0,-1.384921845212272
847657808,848037572,332,82,31.42403207708528,28.60346212182742,3.0,2.8205699552578594
847657808,848037574,297,117,44.284002451258885,45.52350633777237,-1.0,-1.2395038865134822
847657808,848037576,349,65,51.667419081379556,48.377610917724674,-8.0,3.2898081636548824
847657808,848037578,366,48,31.318791622940992,34.610801045303646,8.0,-3.2920094223626535
