ecephys_session_id,target_subset,component,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005
760345702,full,absolute size,14.0,12.0,0.6002320339996321,961
760345702,full,covariance trace,12.0,2.0,0.5895955607570126,97
760345702,full,anisotropy,-16.0,30.0,0.16029211226199,72
760345702,full,all dispersion,8.0,2.0,0.38444454508023984,216
760345702,half_0,absolute size,24.0,8.0,0.503153138635155,497
760345702,half_0,covariance trace,10.0,2.0,1.192439292981233,101
760345702,half_0,anisotropy,-28.0,30.0,0.38597561931001423,21
760345702,half_0,all dispersion,0.0,0.0,0.8323850886956867,205
760345702,half_1,absolute size,-30.0,-30.0,0.689767484673397,961
760345702,half_1,covariance trace,8.0,2.0,0.1860595701457193,131
760345702,half_1,anisotropy,-2.0,30.0,0.19057907756876852,693
760345702,half_1,all dispersion,6.0,8.0,0.2047883310860055,324
719161530,full,absolute size,30.0,16.0,0.5779182863112048,961
719161530,full,covariance trace,-24.0,0.0,0.4740020277113792,95
719161530,full,anisotropy,26.0,-26.0,0.4335129143159386,40
719161530,full,all dispersion,12.0,-30.0,0.6299872855500934,335
719161530,half_0,absolute size,-22.0,28.0,0.5860944221718265,922
719161530,half_0,covariance trace,-30.0,16.0,0.06873576646156129,107
719161530,half_0,anisotropy,26.0,-26.0,0.7788425452568732,29
719161530,half_0,all dispersion,24.0,-30.0,0.6423599333127461,71
719161530,half_1,absolute size,30.0,22.0,0.5560272820427541,961
719161530,half_1,covariance trace,-22.0,4.0,1.5059724743861387,73
719161530,half_1,anisotropy,26.0,-26.0,0.15100789253661062,49
719161530,half_1,all dispersion,-10.0,-14.0,0.7831417210834235,406
759883607,full,absolute size,-28.0,8.0,0.5499223009503389,961
759883607,full,covariance trace,20.0,-10.0,0.6167358495757617,53
759883607,full,anisotropy,30.0,30.0,0.8997311916104738,28
759883607,full,all dispersion,20.0,-30.0,0.9107373994812059,130
759883607,half_0,absolute size,-20.0,26.0,0.548140599660652,711
759883607,half_0,covariance trace,20.0,-10.0,0.5452890182274209,52
759883607,half_0,anisotropy,22.0,-30.0,0.8166322836996747,49
759883607,half_0,all dispersion,22.0,-30.0,0.8070497054399737,87
759883607,half_1,absolute size,26.0,28.0,0.5394904390743769,961
759883607,half_1,covariance trace,14.0,-4.0,0.7157725798613626,92
759883607,half_1,anisotropy,30.0,30.0,1.108107282524807,14
759883607,half_1,all dispersion,30.0,28.0,1.1117952002986848,215
835479236,full,absolute size,22.0,-10.0,0.6747187180548095,841
835479236,full,covariance trace,-30.0,30.0,1.3704597806925476,4
835479236,full,anisotropy,10.0,-14.0,0.8066161298857619,62
835479236,full,all dispersion,12.0,-2.0,1.0329591538667444,58
835479236,half_0,absolute size,10.0,-28.0,0.6348858793159935,615
835479236,half_0,covariance trace,30.0,30.0,1.1400741033282031,2
835479236,half_0,anisotropy,2.0,8.0,0.4840509814550685,120
835479236,half_0,all dispersion,12.0,-2.0,0.8668037603753748,52
835479236,half_1,absolute size,22.0,30.0,0.6253508195628867,25
835479236,half_1,covariance trace,-30.0,28.0,0.8839338904975855,9
835479236,half_1,anisotropy,12.0,-12.0,1.2443592845710711,27
835479236,half_1,all dispersion,12.0,-12.0,1.1736011970608042,29
