property,n_cells,n_sessions,median_held_r2,frac_folds_positive,note
f1_f0_dg,5529,54,0.008907288977293815,0.7222222222222222,
run_mod_rf,3452,50,0.005099265461507685,0.7,
g_osi_dg,3197,31,0.0012962218993237684,0.5806451612903226,
g_dsi_dg,3197,31,0.0012830511698340707,0.6129032258064516,
pref_tf_dg,5529,54,0.0002922458401982686,0.5,
c50_dg,2632,31,-0.00011770419564394174,0.4838709677419355,
run_mod_dg,4649,50,-0.0004154161178051563,0.5,
lifetime_sparseness_ns,3195,31,-0.00047063250733780926,0.4838709677419355,
pref_sf_sg,3197,31,-0.0006888803842404201,0.41935483870967744,
lifetime_sparseness_dg,5529,54,-0.0008585534907341597,0.4444444444444444,
time_to_peak_rf,5529,54,-0.0011063807463816966,0.42592592592592593,
time_to_peak_sg,3197,31,-0.0015265877346821721,0.41935483870967744,
pref_speed_dm,2332,23,-0.002583805205794709,0.43478260869565216,
