initialization,iteration,objective,median_movement_deg,maximum_movement_deg
zero,0,4.262961404516362,3.6407056506244335,9.762812094883317
zero,1,4.207273074044264,3.1828286383206517,8.441539108452394
zero,2,4.152645392814403,2.4104387000446375,6.617234194972495
zero,3,4.10310067087461,2.633873325530249,5.878349688472696
zero,4,4.088425695422271,2.3559791388200444,8.998471496181319
zero,5,4.063857550225151,1.9544058240871527,8.614269691742786
zero,6,4.050515278786016,1.645849947066601,6.993136987980337
zero,7,4.046057424342202,1.2854209989728544,5.299563237876301
zero,8,4.041039534918608,0.9515769035373347,4.689697939920774
zero,9,4.021927049507259,1.1371361312474075,7.1307810382316115
zero,10,4.009827130889733,1.9279862394066365,5.808413205228583
zero,11,3.9549635428768135,1.6086800050149574,3.9733765201084217
zero,12,3.9521129838188496,1.4869113873515019,4.139264121271275
zero,13,3.973448747385971,1.0608868266674418,2.9963736577235625
zero,14,3.995685993476686,1.1402761551121294,2.866115117887901
zero,15,4.032955649475507,1.204229110617808,3.5209398115564032
zero,16,4.007621662552199,1.0361983070455265,3.5875202243078763
zero,17,4.008374675353707,1.0276441635400817,2.6444622080914324
zero,18,4.007506105009513,0.9079356423437234,2.0520543613482074
zero,19,3.9864255360229883,1.1106278844430282,4.917455357716166
zero,20,3.998023624186134,0.6433440677397202,1.4233136090952945
zero,21,3.998624617386851,0.5725568338943803,4.0114492017132894
zero,22,4.027463967048874,0.6022342097443389,2.857495230321257
zero,23,4.018717628936489,0.7265221392918179,3.277248768235791
zero,24,4.030492081402765,0.8449484804298603,1.7444864368973914
zero,25,4.02832322656584,1.2924420509930605,3.1422301230494
zero,26,4.0476334201121436,1.0720044630049017,1.8129937970566385
zero,27,4.009698583271971,1.3757586218637892,4.088759906155302
zero,28,4.015158196723196,0.9522825446320307,3.720818872332451
zero,29,4.006866035468359,0.8750250645963391,2.822008233628798
zero,30,4.04467826386356,0.6489317690774862,3.898465432871725
zero,31,4.037838328638497,0.5790406827282246,3.0069705388274075
zero,32,4.034915164481106,1.3866663190789383,2.5621306001544077
zero,33,4.02481741630381,0.9787094409360242,2.8967487007312913
zero,34,4.045620601765477,1.1386439164701962,3.873047377001048
zero,35,4.064016961161414,0.9679431303741914,4.5512920482864105
zero,36,4.07177835053381,0.905569169083584,2.949114971835084
zero,37,4.026565929132233,0.6918616349134679,2.3643917281510785
zero,38,4.030043522923194,0.6443160053221598,2.252723897201096
zero,39,4.0127541783512894,1.0246689007077987,3.1246280819543695
zero,40,4.038388213781512,0.7958273046268374,3.0481662343905205
zero,41,4.040316837079059,0.6512995548970038,2.277818321335325
zero,42,4.0592754287331765,0.6041611079714351,2.4955912823649364
zero,43,4.0375140611746145,0.7240396043666287,2.0627857564303422
zero,44,4.048279833584366,0.965283774062315,4.449142436525045
zero,45,4.056636455472385,1.3742877712810908,3.284244532837878
zero,46,4.063376186867064,0.9245198995952901,7.168405934006249
zero,47,4.04971360939027,0.7979636064390134,4.6723178622985495
zero,48,4.059648197284478,0.7583814864579422,3.54703463216467
zero,49,4.063595948576072,1.0095493481075428,3.0867258685750176
zero,50,4.032622084716147,1.159087666823292,2.1323340875046806
zero,51,4.016734735358837,1.1278491951124177,4.276835669031931
zero,52,4.004882830971151,0.9584483578725014,2.845469466792499
zero,53,4.017683090641296,0.9013335908624546,2.866838120413031
zero,54,4.027582233437855,0.5796385172171701,3.416609601614695
zero,55,4.002814115585861,0.6509297055497908,2.3804112728231415
zero,56,4.006677957073434,0.9530855248805205,5.895967067138657
zero,57,3.998304691411549,0.6265708901167666,4.577310467603892
zero,58,3.9754352204148784,0.5752202253774924,2.783713526659206
zero,59,3.9889853260617225,0.4375103402378012,1.75887716218555
v1_anatomy,0,4.653873117499576,5.859863850151083,14.617276903859448
v1_anatomy,1,4.440583856322967,4.534756966757366,11.151265659377541
v1_anatomy,2,4.294042324999572,3.3207460702320484,10.068692705497083
v1_anatomy,3,4.2054116410878235,2.6995006238325376,8.62269263344714
v1_anatomy,4,4.176681097543362,2.6890561808597853,6.346542876886189
v1_anatomy,5,4.1494694466440345,2.544099647555744,5.886083468983672
v1_anatomy,6,4.110552505731304,2.610236371648706,8.326418343603857
v1_anatomy,7,4.0734182298646,2.388661617190063,6.254284960448754
v1_anatomy,8,4.06070824478939,1.5770164762466699,5.210372999316784
v1_anatomy,9,4.05331952446309,1.305055311707221,6.650600596249286
v1_anatomy,10,4.069827657839317,1.448896402276267,5.6780278177443355
v1_anatomy,11,4.012929998422827,1.7018864958530524,3.8019228747735223
v1_anatomy,12,4.016540294234852,1.6516180465500443,4.26245509167375
v1_anatomy,13,4.002526082370283,1.3563249111983597,2.307021175376602
v1_anatomy,14,4.0029090220295505,1.0808091668277338,3.7103648506553535
v1_anatomy,15,4.000230369401464,1.0314774867324488,3.280409777098404
v1_anatomy,16,4.027330815745831,0.8351807019676452,2.7879651329571367
v1_anatomy,17,4.020371355057322,1.0793829350356854,2.64750330846246
v1_anatomy,18,4.015900667134318,0.9794560765387935,4.421750941962507
v1_anatomy,19,4.026315329482064,0.6581989606221631,4.647946556164401
v1_anatomy,20,4.0292035810211155,0.7726255908637012,2.3158662739013782
v1_anatomy,21,4.0275946284049935,0.6732496674029054,2.053390849521175
v1_anatomy,22,4.027371250803918,0.7692230275767771,5.401758207802318
v1_anatomy,23,4.0173938547242285,0.7946550550414464,2.5274923848442166
v1_anatomy,24,4.027943914308214,0.6725670169867268,1.6791455199962697
v1_anatomy,25,4.05417491567268,0.8399223407886542,5.007479929648878
v1_anatomy,26,4.061901452635398,1.03703173206442,4.27235535807343
v1_anatomy,27,4.054456287192086,0.876119166531131,3.514310889543886
v1_anatomy,28,4.043585255526801,0.9428906162735282,2.4904189542761648
v1_anatomy,29,4.02906079557905,1.0750864733048837,1.9235153474572046
v1_anatomy,30,4.031548199833156,1.1839909560906838,3.6097470497604047
v1_anatomy,31,4.028940444325468,0.9193468188126168,4.250165529743905
v1_anatomy,32,4.042146852751476,0.5649587623610746,3.5018565967739326
v1_anatomy,33,4.060750808048065,0.8938680991449559,5.0758382762575955
v1_anatomy,34,4.0414569823150295,0.6146029134429389,3.933025288105408
v1_anatomy,35,4.0656277161964915,0.9939886635357937,3.037868240558099
v1_anatomy,36,4.054926298201278,0.770879330729245,2.1861106670987813
v1_anatomy,37,4.039582251794637,1.2309371378248177,3.587101713835099
v1_anatomy,38,4.0395120018571316,1.2111532441380406,6.2055363530185845
v1_anatomy,39,4.046905450353898,0.7576767085143186,4.16906029261799
v1_anatomy,40,4.04558242187197,0.9045585880060852,3.2897243433914833
v1_anatomy,41,4.042553979519815,0.6155620569834861,3.9330255913051397
v1_anatomy,42,4.037490729177562,0.7520624664285549,4.923693550756395
v1_anatomy,43,4.027863719016285,0.6529247193583594,2.511917822850754
v1_anatomy,44,3.990849745738169,0.9863909374227515,5.51551053370055
v1_anatomy,45,3.991454502539819,0.8932709857978757,3.9139889761090396
v1_anatomy,46,4.015030337309701,1.0671362925548595,2.644467506760934
v1_anatomy,47,4.026592990051812,0.9082009383654819,2.428648522689959
v1_anatomy,48,4.021297986846873,1.0628478076625572,3.1994173593096833
v1_anatomy,49,4.031110450756535,0.8818326521876274,2.4717825548144625
v1_anatomy,50,4.039255669506069,0.7521581750435679,1.4143797096253252
v1_anatomy,51,4.040177621761779,0.9481118273695353,4.378914408260434
v1_anatomy,52,4.056772527891549,0.9695957979490123,4.733708402798103
v1_anatomy,53,4.0711829331295615,1.1605482912755747,3.1296170091055338
v1_anatomy,54,4.06132375385612,1.2723846773634753,3.079653946344377
v1_anatomy,55,4.046460318971464,1.0908798942042057,3.6003409638075534
v1_anatomy,56,4.036396929127801,0.9637612414765251,2.4619491125790627
v1_anatomy,57,4.0364797510072385,0.7371308439777344,3.809018231409834
v1_anatomy,58,4.018120302982105,0.8976914752707286,6.972256282329606
v1_anatomy,59,4.0081457207725775,1.0093635906715352,4.235302012073839
random_0,0,4.389930893804642,5.513862911801347,11.076907600995384
random_0,1,4.263840086693616,4.9481298143921535,9.883740763689344
random_0,2,4.194484616918877,2.814344092575664,7.87320427451241
random_0,3,4.148281183806321,2.6450072954655135,5.957086744576509
random_0,4,4.09302389825871,2.4868768531018475,8.223376367587008
random_0,5,4.079256153737759,2.2072617953158358,8.809352830261904
random_0,6,4.06879167029839,1.6838255328168854,6.643821825615014
random_0,7,4.036978537193802,1.1573833501870179,5.2865928995411
random_0,8,4.041598789977125,1.3032292193377684,3.832041317538431
random_0,9,4.071167788899433,1.2747682936073605,3.522842690085179
random_0,10,4.057659678977508,0.9264249432560968,5.955171337308259
random_0,11,4.057505341488657,1.1548554953710755,3.4694529362932895
random_0,12,4.045499401167207,1.2527071107278016,4.441853006572013
random_0,13,4.042396973026425,0.7806116212172629,2.8341095148424564
random_0,14,4.039193648208061,1.0477880763197542,5.355754425912892
random_0,15,4.013158713778362,1.1187938255321475,5.560292845685151
random_0,16,4.009545504611958,0.8945904522919532,4.0287763265683
