ecephys_session_id,role,ecephys_unit_id
715093703,strong interior,950947763.0
715093703,strong boundary,950948809.0
715093703,weak/control,950952915.0
719161530,strong interior,950950633.0
719161530,strong boundary,950950319.0
719161530,weak/control,950949737.0
721123822,strong interior,
721123822,strong boundary,
721123822,weak/control,950909957.0
743475441,strong interior,951014654.0
743475441,strong boundary,951014607.0
743475441,weak/control,951014705.0
744228101,strong interior,951775916.0
744228101,strong boundary,
744228101,weak/control,951775912.0
746083955,strong interior,951867177.0
746083955,strong boundary,951866981.0
746083955,weak/control,951866800.0
750332458,strong interior,951808782.0
750332458,strong boundary,
750332458,weak/control,951808831.0
750749662,strong interior,951856391.0
750749662,strong boundary,951856343.0
750749662,weak/control,951855916.0
751348571,strong interior,951879792.0
751348571,strong boundary,951879705.0
751348571,weak/control,951881036.0
754312389,strong interior,951782683.0
754312389,strong boundary,951782715.0
754312389,weak/control,951792525.0
754829445,strong interior,951773389.0
754829445,strong boundary,951774958.0
754829445,weak/control,951773560.0
755434585,strong interior,951857060.0
755434585,strong boundary,951856027.0
755434585,weak/control,951856767.0
756029989,strong interior,951805826.0
756029989,strong boundary,951805267.0
756029989,weak/control,951805552.0
757216464,strong interior,951818453.0
757216464,strong boundary,951818466.0
757216464,weak/control,951818478.0
757970808,strong interior,951837665.0
757970808,strong boundary,951837534.0
757970808,weak/control,951837554.0
759883607,strong interior,951766124.0
759883607,strong boundary,
759883607,weak/control,951766118.0
760345702,strong interior,951849390.0
760345702,strong boundary,951849520.0
760345702,weak/control,951849098.0
761418226,strong interior,
761418226,strong boundary,951894841.0
761418226,weak/control,951894788.0
763673393,strong interior,950925509.0
763673393,strong boundary,950926592.0
763673393,weak/control,950925111.0
766640955,strong interior,950939888.0
766640955,strong boundary,950939177.0
766640955,weak/control,950938702.0
768515987,strong interior,950950753.0
768515987,strong boundary,950950626.0
768515987,weak/control,950950134.0
771160300,strong interior,950935993.0
771160300,strong boundary,950936009.0
771160300,weak/control,950936027.0
771990200,strong interior,950990514.0
771990200,strong boundary,951000005.0
771990200,weak/control,951000022.0
778240327,strong interior,951033438.0
778240327,strong boundary,951033295.0
778240327,weak/control,951033333.0
779839471,strong interior,951024212.0
779839471,strong boundary,951029356.0
779839471,weak/control,951029196.0
781842082,strong interior,951013114.0
781842082,strong boundary,951013274.0
781842082,weak/control,951013201.0
791319847,strong interior,951060191.0
791319847,strong boundary,951060162.0
791319847,weak/control,951060153.0
799864342,strong interior,951102219.0
799864342,strong boundary,951101814.0
799864342,weak/control,951101362.0
819186360,strong interior,951142309.0
819186360,strong boundary,951142454.0
819186360,weak/control,951142403.0
819701982,strong interior,951143258.0
819701982,strong boundary,951143503.0
819701982,weak/control,951143347.0
835479236,strong interior,951168197.0
835479236,strong boundary,951168165.0
835479236,weak/control,951168179.0
839068429,strong interior,951175522.0
839068429,strong boundary,951175520.0
839068429,weak/control,951175530.0
839557629,strong interior,
839557629,strong boundary,951126713.0
839557629,weak/control,951129067.0
