ecephys_session_id,lgd_units,positive_heldout_gain,boundary_positive_gain,median_heldout_gain
715093703,173,66,34,-0.009636084524664579
719161530,118,28,6,-0.0347966142470435
721123822,1,0,0,-0.001839631475842922
743475441,92,39,15,-0.008014710709547346
744228101,10,6,0,0.025458803264812202
746083955,69,31,5,-0.004761329853275126
750332458,17,5,0,-0.008707436645429167
750749662,164,25,12,-0.05779221219158215
751348571,104,49,12,-0.0047975464211514884
754312389,77,27,14,-0.025484783718491832
754829445,170,43,16,-0.050117060371938096
755434585,93,19,1,-0.0425174657851814
756029989,107,18,3,-0.04743910906170723
757216464,14,5,3,-0.03087460979737444
757970808,90,21,9,-0.04747490006119276
759883607,64,3,0,-0.0385210862887847
760345702,78,20,5,-0.0168446799988762
761418226,81,13,10,-0.05565546981591285
763673393,128,24,8,-0.07493982515072062
766640955,125,39,10,-0.030520339359854542
768515987,81,34,10,-0.014502342457894002
771160300,10,7,4,0.03417773686341169
771990200,122,43,12,-0.024822233594469445
778240327,10,5,1,0.003571393524611055
779839471,120,19,7,-0.05622555503347232
781842082,35,12,5,-0.006743728550215596
791319847,19,14,9,0.047699612750913056
799864342,121,33,7,-0.03434715260635657
819186360,84,24,6,-0.07238222701980301
819701982,68,12,8,-0.045343718509142095
835479236,33,3,2,-0.10941785228587264
839068429,21,13,4,0.05527663501458702
839557629,83,3,1,-0.06183873145916374
