unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
4000000,5.87,,V1_site4_A
4000001,9.66,,V1_site4_A
4000002,19.76,,V1_site4_A
4000003,10.19,,V1_site4_A
4000004,4.8,,V1_site4_A
4000005,18.45,,V1_site4_A
4000006,16.33,,V1_site4_A
4000007,64.7,,V1_site4_A
4000008,72.87,,V1_site4_A
4000009,53.3,,V1_site4_A
4000010,61.89,,V1_site4_A
4000011,45.73,,V1_site4_A
4000012,42.73,,V1_site4_A
4000013,48.27,,V1_site4_A
4000014,68.0,,V1_site4_A
4000015,79.77,,V1_site4_A
4000016,57.1,,V1_site4_A
4000017,62.63,,V1_site4_A
4000018,55.26,,V1_site4_A
4000019,50.75,,V1_site4_A
4000020,64.62,,V1_site4_A
4000021,93.83,,V1_site4_A
4000022,109.21,,V1_site4_A
4000023,105.77,,V1_site4_A
4000024,113.82,,V1_site4_A
4000025,74.45,,V1_site4_A
4000026,94.26,,V1_site4_A
4000027,67.26,,V1_site4_A
4000028,98.97,,V1_site4_A
4000029,115.73,,V1_site4_A
4000030,134.52,,V1_site4_A
4000031,127.89,,V1_site4_A
4000032,140.36,,V1_site4_A
4000033,133.38,,V1_site4_A
4000034,140.91,,V1_site4_A
4000035,116.24,,V1_site4_A
4000036,137.18,,V1_site4_A
4000037,105.69,,V1_site4_A
4000038,166.02,,V1_site4_A
4000039,181.72,,V1_site4_A
4000040,173.21,,V1_site4_A
4000041,188.77,,V1_site4_A
4000042,177.67,,V1_site4_A
4000043,190.79,,V1_site4_A
4000044,194.52,,V1_site4_A
4000045,178.2,,V1_site4_A
4000046,150.88,,V1_site4_A
4000047,175.36,,V1_site4_A
4000048,152.64,,V1_site4_A
4000049,207.87,,V1_site4_A
4000050,203.67,,V1_site4_A
4000051,214.42,,V1_site4_A
4000052,224.41,,V1_site4_A
4000053,224.37,,V1_site4_A
4000054,205.83,,V1_site4_A
4000055,224.07,,V1_site4_A
4000056,195.09,,V1_site4_A
4000057,195.58,,V1_site4_A
4000058,258.78,,V1_site4_A
4000059,266.5,,V1_site4_A
4000060,264.89,,V1_site4_A
4000061,238.35,,V1_site4_A
4000062,258.69,,V1_site4_A
4000063,295.24,,V1_site4_A
4000064,291.79,,V1_site4_A
4000065,308.01,,V1_site4_A
4000066,282.83,,V1_site4_A
4000067,290.3,,V1_site4_A
4000068,311.97,,V1_site4_A
4000069,317.67,,V1_site4_A
4000070,321.42,,V1_site4_A
4000071,355.74,,V1_site4_A
4000072,2428.03,,V1_site4_A
4000073,2412.94,,V1_site4_A
4000074,416.57,,V1_site4_A
4000075,2426.52,,V1_site4_A
4000076,464.51,,V1_site4_A
4000077,496.73,,V1_site4_A
4000078,2405.02,,V1_site4_A
4000079,541.07,,V1_site4_A
4000080,2504.93,,V1_site4_A
4000081,2456.79,,V1_site4_A
4000082,2403.26,,V1_site4_A
4000083,597.01,,V1_site4_A
4000084,635.47,,V1_site4_A
4000085,599.9,,V1_site4_A
4000086,663.68,,V1_site4_A
4000087,664.31,,V1_site4_A
4000088,696.38,,V1_site4_A
4000089,712.84,,V1_site4_A
4000090,795.92,,V1_site4_A
4000091,749.3,,V1_site4_A
4000092,770.96,,V1_site4_A
4000093,725.79,,V1_site4_A
4000094,782.52,,V1_site4_A
4000095,764.8,,V1_site4_A
4000096,781.01,,V1_site4_A
4000097,771.28,,V1_site4_A
4000098,773.18,,V1_site4_A
4000099,776.04,,V1_site4_A
4000100,784.99,,V1_site4_A
4000101,818.29,,V1_site4_A
4000102,806.88,,V1_site4_A
4000103,814.62,,V1_site4_A
4000104,841.95,,V1_site4_A
4000105,821.02,,V1_site4_A
4000106,789.11,,V1_site4_A
4000107,812.88,,V1_site4_A
4000108,798.16,,V1_site4_A
4000109,976.02,,V1_site4_A
4000110,803.9,,V1_site4_A
4000111,834.02,,V1_site4_A
4000112,795.58,,V1_site4_A
4000113,817.55,,V1_site4_A
4000114,809.03,,V1_site4_A
4000115,792.74,,V1_site4_A
4000116,851.62,,V1_site4_A
4000117,852.12,,V1_site4_A
4000118,850.15,,V1_site4_A
4000119,872.64,,V1_site4_A
4000120,873.17,,V1_site4_A
4000121,871.35,,V1_site4_A
4000122,851.46,,V1_site4_A
4000123,871.08,,V1_site4_A
4000124,840.15,,V1_site4_A
4000125,882.24,,V1_site4_A
4000126,917.37,,V1_site4_A
4000127,922.26,,V1_site4_A
4000128,864.36,,V1_site4_A
4000129,904.85,,V1_site4_A
4000130,874.67,,V1_site4_A
4000131,920.5,,V1_site4_A
4000132,891.99,,V1_site4_A
4000133,913.28,,V1_site4_A
4000134,891.73,,V1_site4_A
4000135,889.31,,V1_site4_A
4000136,899.15,,V1_site4_A
4000137,898.07,,V1_site4_A
4000138,875.4,,V1_site4_A
4000139,944.91,,V1_site4_A
4000140,948.12,,V1_site4_A
4000141,940.48,,V1_site4_A
4000142,925.71,,V1_site4_A
4000143,926.12,,V1_site4_A
4000144,923.38,,V1_site4_A
4000145,915.04,,V1_site4_A
4000146,918.69,,V1_site4_A
4000147,1008.79,,V1_site4_A
4000148,960.91,,V1_site4_A
4000149,982.92,,V1_site4_A
4000150,969.55,,V1_site4_A
4000151,986.15,,V1_site4_A
4000152,950.28,,V1_site4_A
4000153,990.52,,V1_site4_A
4000154,893.85,,V1_site4_A
4000155,963.38,,V1_site4_A
4000156,978.15,,V1_site4_A
