unit_id,time_to_first_spike
8000000,0.073
8000001,0.102
8000002,0.104
8000003,0.096
8000004,0.1055
8000005,0.0895
8000006,0.096
8000007,0.068
8000008,0.126
8000009,0.092
8000010,0.069
8000011,0.0705
8000012,0.0805
8000013,0.098
8000014,0.0825
8000015,0.17
8000016,0.096
8000017,0.1075
8000018,0.133
8000019,0.128
8000020,0.116
8000021,0.1345
8000022,0.103
8000023,0.101
8000024,0.091
8000025,0.124
8000026,0.111
8000027,0.059
8000028,0.1035
8000029,0.126
8000030,0.085
8000031,0.0955
8000032,0.124
8000033,0.117
8000034,0.058
8000035,
8000036,0.096
8000037,0.19
8000038,0.057
8000039,0.105
8000040,0.0645
8000041,0.1345
8000042,0.123
8000043,0.071
8000044,0.096
8000045,0.106
8000046,
8000047,0.085
8000048,0.095
8000049,0.068
8000050,0.099
8000051,0.071
8000052,
8000053,0.1255
8000054,0.1
8000055,0.1025
8000056,0.057
8000057,0.061
8000058,0.089
8000059,0.109
8000060,0.117
8000061,0.071
8000062,0.097
8000063,0.106
8000064,0.0965
8000065,0.0895
8000066,0.056
8000067,0.1165
8000068,
8000069,0.127
8000070,0.109
8000071,0.108
8000072,0.0775
8000073,0.086
8000074,0.1225
8000075,0.127
8000076,0.056
8000077,0.0715
8000078,0.114
8000079,0.115
8000080,0.087
8000081,0.066
8000082,0.089
8000083,0.128
8000084,0.091
8000085,
8000086,0.079
8000087,0.0935
8000088,0.1395
8000089,0.12
8000090,0.114
8000091,0.107
8000092,0.111
8000093,0.065
8000094,0.098
8000095,0.0875
8000096,0.134
8000097,0.0945
8000098,0.094
8000099,0.101
8000100,0.114
8000101,0.1015
8000102,0.101
8000103,0.101
8000104,0.123
8000105,0.055
8000106,0.108
8000107,0.136
8000108,0.051
8000109,0.102
8000110,0.093
8000111,0.165
8000112,0.109
8000113,0.0795
8000114,0.1095
8000115,0.082
8000116,0.125
8000117,
8000118,0.1655
8000119,0.1095
8000120,0.1035
8000121,0.118
8000122,0.095
8000123,0.11
8000124,0.086
8000125,0.101
8000126,0.111
8000127,0.113
8000128,0.087
8000129,0.092
8000130,0.145
8000131,0.124
8000132,0.137
8000133,0.087
8000134,0.1
8000135,0.094
8000136,0.095
8000137,0.118
8000138,0.089
8000139,
8000140,
8000141,0.092
8000142,0.099
8000143,
8000144,0.0755
8000145,0.091
8000146,0.102
8000147,0.106
8000148,0.085
8000149,0.135
8000150,0.122
8000151,
8000152,0.0875
8000153,0.135
8000154,0.104
8000155,0.119
8000156,0.077
8000157,0.096
8000158,0.076
8000159,0.096
8000160,0.086
8000161,0.0985
8000162,0.088
8000163,0.077
8000164,0.096
8000165,0.084
8000166,0.085
8000167,0.052
8000168,0.094
8000169,0.091
8000170,0.104
8000171,0.106
8000172,0.11
8000173,0.108
8000174,0.101
8000175,0.1055
8000176,0.116
8000177,0.1
8000178,0.102
8000179,0.118
8000180,0.09
8000181,0.106
8000182,0.106
8000183,0.096
8000184,0.129
8000185,0.102
8000186,0.12
8000187,0.135
8000188,0.1025
8000189,
8000190,0.1105
8000191,0.088
8000192,0.101
8000193,0.082
8000194,0.1125
8000195,0.111
8000196,0.076
8000197,0.129
8000198,0.101
8000199,0.144
8000200,
8000201,0.071
8000202,0.1185
8000203,
8000204,0.131
8000205,0.187
8000206,0.113
8000207,0.0775
8000208,0.103
8000209,0.1
8000210,0.1055
8000211,0.112
8000212,0.11
8000213,0.112
8000214,0.056
8000215,
8000216,0.108
8000217,0.094
8000218,0.0655
8000219,0.133
8000220,0.122
8000221,0.099
8000222,0.099
8000223,0.098
8000224,0.094
8000225,0.081
8000226,0.083
8000227,0.065
8000228,0.0925
8000229,0.143
8000230,0.074
8000231,0.085
8000232,0.105
8000233,0.053
8000234,0.0945
8000235,0.111
8000236,0.094
8000237,0.095
8000238,0.085
8000239,0.057
8000240,0.106
8000241,0.1
8000242,0.118
8000243,0.092
8000244,0.094
8000245,0.091
8000246,0.086
8000247,0.141
8000248,0.103
8000249,0.091
8000250,0.076
8000251,0.1065
8000252,0.056
8000253,0.081
8000254,0.1025
8000255,0.088
8000256,0.095
8000257,0.106
8000258,0.1045
8000259,0.085
8000260,0.096
8000261,0.09
8000262,0.0985
8000263,0.106
8000264,0.1155
8000265,0.093
8000266,0.109
8000267,0.087
8000268,0.107
8000269,0.0945
8000270,0.091
8000271,0.1355
8000272,0.0975
8000273,0.106
8000274,0.103
8000275,0.082
8000276,0.1045
8000277,
8000278,0.1115
8000279,0.11
8000280,0.073
8000281,0.0915
8000282,0.105
8000283,0.095
8000284,0.101
8000285,0.098
8000286,0.097
8000287,0.109
8000288,0.0995
8000289,0.101
8000290,0.122
8000291,0.101
8000292,0.098
8000293,0.093
8000294,0.096
8000295,0.051
8000296,0.1195
8000297,0.12
8000298,0.103
8000299,0.074
8000300,0.093
8000301,0.1205
8000302,0.08
8000303,0.122
8000304,0.081
8000305,0.156
8000306,0.046
8000307,0.099
8000308,0.073
8000309,0.092
8000310,0.096
8000311,0.098
8000312,0.092
8000313,0.162
8000314,0.128
8000315,0.055
8000316,0.125
8000317,
8000318,0.12
8000319,0.113
8000320,
8000321,0.112
8000322,0.115
8000323,0.117
8000324,0.1
8000325,0.092
8000326,0.107
8000327,0.108
8000328,0.067
8000329,0.1205
8000330,
8000331,0.119
8000332,0.127
8000333,0.1225
8000334,0.096
8000335,0.0905
8000336,0.121
8000337,0.1
8000338,0.105
8000339,0.11
8000340,0.1195
8000341,0.0915
8000342,0.119
8000343,0.11
8000344,0.093
8000345,0.082
8000346,0.101
8000347,0.116
8000348,
8000349,0.111
8000350,0.1155
8000351,0.1165
8000352,0.0955
8000353,0.103
8000354,0.1005
8000355,
8000356,0.096
8000357,0.103
8000358,0.0905
8000359,0.093
8000360,0.101
8000361,0.068
8000362,0.11
8000363,0.081
8000364,0.075
8000365,0.085
8000366,0.116
8000367,0.088
8000368,0.12
8000369,0.1365
8000370,0.09
8000371,0.094
8000372,0.09
8000373,0.0865
8000374,0.062
8000375,0.077
8000376,0.093
8000377,0.1015
8000378,0.0795
8000379,0.113
8000380,0.0885
8000381,0.0525
8000382,0.099
8000383,0.0735
8000384,0.086
8000385,0.092
8000386,0.088
8000387,0.099
8000388,0.106
8000389,0.107
8000390,
8000391,0.112
8000392,0.077
8000393,0.114
8000394,0.118
8000395,0.089
8000396,0.093
8000397,0.095
8000398,0.103
8000399,0.052
8000400,0.054
8000401,0.0675
8000402,0.097
8000403,0.079
8000404,0.092
8000405,0.092
8000406,0.111
8000407,0.104
8000408,0.058
8000409,0.103
8000410,0.11
8000411,0.071
8000412,0.074
8000413,0.136
8000414,0.063
8000415,0.111
8000416,0.0545
8000417,0.1305
8000418,0.093
8000419,0.061
8000420,0.088
8000421,
8000422,0.054
8000423,0.095
8000424,0.063
8000425,0.106
8000426,0.109
8000427,0.1325
8000428,0.164
8000429,0.0515
8000430,0.109
8000431,0.134
8000432,0.0985
8000433,0.0955
8000434,0.158
8000435,0.047
8000436,0.122
8000437,0.0545
8000438,
8000439,0.065
8000440,0.1
8000441,
8000442,0.158
8000443,0.1215
8000444,0.123
8000445,0.0865
8000446,0.1155
8000447,0.056
8000448,0.057
8000449,0.107
8000450,0.0605
8000451,0.0495
8000452,0.073
8000453,0.162
8000454,0.0605
8000455,0.065
8000456,0.092
8000457,0.0405
8000458,0.064
8000459,0.126
8000460,0.066
8000461,0.0475
8000462,0.052
8000463,0.045
8000464,0.04
8000465,0.103
8000466,0.084
8000467,0.064
8000468,0.1
8000469,0.085
8000470,
8000471,0.061
8000472,
8000473,0.058
8000474,0.0595
8000475,0.066
8000476,0.091
8000477,0.077
8000478,0.1045
8000479,0.061
8000480,0.055
8000481,0.073
8000482,0.112
8000483,0.079
8000484,0.057
8000485,0.067
8000486,0.086
8000487,0.05
8000488,0.065
8000489,0.093
8000490,
8000491,0.099
8000492,0.17
8000493,0.074
8000494,0.13
8000495,0.0545
8000496,0.108
8000497,0.112
8000498,0.056
8000499,0.06
8000500,0.1045
8000501,0.064
8000502,0.047
8000503,0.047
8000504,0.072
8000505,0.072
8000506,0.065
8000507,0.057
8000508,0.053
8000509,0.099
8000510,0.142
8000511,0.0465
8000512,0.103
8000513,0.047
8000514,0.052
8000515,0.049
8000516,0.071
8000517,0.1455
8000518,0.0415
8000519,0.056
8000520,0.072
8000521,0.0915
8000522,0.0785
8000523,0.0615
8000524,0.078
8000525,0.103
8000526,0.082
8000527,0.064
8000528,0.067
8000529,0.1435
8000530,0.084
8000531,0.0505
8000532,0.067
8000533,0.065
8000534,0.06
8000535,0.045
8000536,0.057
8000537,0.0445
8000538,0.101
8000539,0.061
8000540,0.0655
8000541,0.075
8000542,0.058
8000543,0.089
8000544,0.1415
8000545,0.055
8000546,0.081
8000547,0.057
8000548,0.061
8000549,0.071
8000550,0.055
8000551,0.092
8000552,0.143
8000553,0.0485
8000554,0.098
8000555,0.047
8000556,0.05
8000557,0.066
8000558,0.0865
8000559,0.05
8000560,0.054
8000561,0.063
8000562,0.048
8000563,0.0515
8000564,0.0565
8000565,0.095
8000566,0.056
8000567,0.048
8000568,0.056
8000569,0.041
8000570,0.089
8000571,0.0545
8000572,0.061
8000573,0.051
8000574,0.079
8000575,0.0465
8000576,0.051
8000577,0.144
